line_number,content,category,character
1,{{活动信息,default,
2,|名称=「逴星之礼」,default,
3,|所属版本=2.0,default,
4,|系列活动=,default,
5,|开始时间=2024/02/06 10:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=2.0版本更新后<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2024/03/27 05:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=2.0版本结束<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=额外活动<!--版本活动/常规活动/常驻活动/网页活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=<!--选填-->,default,
11,|条件限制=,default,
12,|活动描述=欢迎来到，梦想之地！,default,
13,|官方公告链接=<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=<!--可留空-->,default,
16,|光锥获取=<!--可留空-->,default,
17,|装饰获取=<!--可留空-->,default,
18,|介绍语=<!--可留空-->,default,
19,|所属地区=<!-- 空间站「黑塔」=1，雅利洛-Ⅵ=2，仙舟「罗浮」=3 -->,default,
20,|活动奖励=星轨专票*10,default,
21,}},default,
22,===活动说明===,default,
23,活动期间登录游戏，开拓者即可在「旅情事记」中领取奖励：星轨专票*10。,content,中领取奖励
24,,default,
25,===活动奖励===,default,
26,{{图标|材料|星轨专票|10}},default,
