line_number,content,category,character
1,{{活动信息<!--此为备注，下方=后填写对应信息-->,default,
2,|名称=「邀游天外」,default,
3,|所属版本=1.0,default,
4,|开始时间=2023/04/26 10:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
5,|开始描述=正式开服后<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
6,|结束时间=2023/06/06 03:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
7,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
8,|类型=额外活动<!--版本活动/网页活动/常规活动/特殊活动/额外活动/永久活动-->,default,
9,|TAG=签到,default,
10,|条件限制=解锁「旅情事记」,default,
11,|活动描述=,default,
12,|官方公告链接=https://t.bilibili.com/787994274201337897<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
13,|出场人物=<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
14,|角色获取=<!--选填-->,default,
15,}}<!--,default,
16,-->===活动说明===,default,
17,活动期间，每日登录游戏即可获得签到奖励。<br>完成7日签到累计可领取{{图标|星轨专票|10}}。,default,
18,===活动奖励===,default,
19,{| class=wikitable,default,
20,! 第1天,default,
21,| {{图标|星轨专票|1}},default,
22,|-,default,
23,! 第2天,default,
24,| {{图标|星轨专票|1}},default,
25,|-,default,
26,! 第3天,default,
27,| {{图标|星轨专票|2}},default,
28,|-,default,
29,! 第4天,default,
30,| {{图标|星轨专票|1}},default,
31,|-,default,
32,! 第5天,default,
33,| {{图标|星轨专票|1}},default,
34,|-,default,
35,! 第6天,default,
36,| {{图标|星轨专票|1}},default,
37,|-,default,
38,! 第7天,default,
39,| {{图标|星轨专票|3}},default,
40,|},default,
