line_number,content,category,character
1,{{活动信息,default,
2,|名称=「酷得走火—宇宙！咻！咻！大挑战！」,default,
3,|所属版本=2.2,default,
4,|系列活动=,default,
5,|开始时间=2024/05/31 12:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2024/06/07 12:00<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=网页活动<!--版本活动/常规活动/常驻活动/网页活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=<!--选填-->,default,
11,|条件限制=,default,
12,|活动描述=早就听说你的事迹了，挺有两下子啊~<br>,default,
13,「酷得走火—宇宙！咻！咻！大挑战！」网页活动现已开启！<br>,default,
14,要不要来场酷得走火的射击挑战，还能赢取星琼奖励。,default,
15,|官方公告链接=https://www.bilibili.com/opus/937546693073698836<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
16,|出场人物=波提欧<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
17,|角色获取=<!--可留空-->,default,
18,|光锥获取=<!--可留空-->,default,
19,|装饰获取=<!--可留空-->,default,
20,|介绍语=<!--可留空-->,default,
21,|所属地区=<!-- 空间站「黑塔」=1，雅利洛-Ⅵ=2，仙舟「罗浮」=3 -->,default,
22,|活动奖励={{图标|星琼|100}}{{图标|信用点|30000}}{{图标|提纯以太|3}}{{图标|经典苏乐达|3}},default,
23,}},default,
24,===活动说明===,default,
25,*活动期间，开拓者可以参与射击活动挑战，完成网页活动任务获得星琼等游戏内奖励。,default,
26,==活动奖励==,default,
27,*完成网页活动任务，开拓者共可获得{{图标|星琼|100}}{{图标|信用点|30000}}{{图标|提纯以太|3}}{{图标|经典苏乐达|3}}等奖励。,default,
28,*开拓者在开启【邮件】功能后，即可领取以上奖励邮件，邮件有效期为30天，请开拓者及时领取。,default,
29,*具体活动规则详见活动页面-活动规则。,default,
30,,default,
31,,default,
32,<!-- ==活动玩法==,default,
33,===玩法介绍===,default,
34,<gallery>,default,
35,活动名-玩法介绍.jpg,default,
36,</gallery>,default,
37,===规则说明===,default,
38,{| class=wikitable,default,
39,!教程图名,default,
40,|[[File:活动名-规则说明1.png|400px]],default,
41,|教程图文本描述,default,
42,|-,default,
43,!教程图名,default,
44,|[[File:活动名-规则说明2.png|400px]],default,
45,|教程图文本描述,default,
46,|} -->,default,
47,,default,
48,<!-- ==社媒专栏== -->,default,
49,,default,
50,<!-- ==活动内容==,default,
51,,default,
52,==活动奖励==,default,
53,===常驻奖励===,default,
54,,default,
55,===限时奖励===,default,
56,,default,
57,==无名勋礼奖励==,default,
58,"{| class=""wikitable"" style=""text-align:center;width:100%""",default,
59,|{{图标|材料|无名客的经验|1400}},default,
60,|,default,
61,|} -->,default,
