line_number,content,category,character
1,{{活动信息,default,
2,|名称=「重返群星之旅」,default,
3,|所属版本=1.3,default,
4,|系列活动=重返群星之旅,default,
5,|开始时间=2023/08/30 07:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2023/10/11 06:00<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=网页活动<!--版本活动/网页活动/常规活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=回归<!--选填-->,default,
11,|条件限制=,default,
12,|活动描述=「重返群星之旅」回归网页活动上线，参与最高可得480星琼等好礼！,default,
13,|官方公告链接=https://www.bilibili.com/opus/835513749181825048<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=<!--可留空-->,default,
16,|光锥获取=<!--可留空-->,default,
17,|介绍语=「重返群星之旅」回归网页活动上线，参与最高可得480星琼等好礼！<br>,default,
18,亲爱的开拓者，列车的伙伴们都等着你哦，一同踏上旅途，重新出发银河大冒险吧！最高可获480星琼！<br>,default,
19,[https://act.mihoyo.com/sr/event/e20230830reflow/index.html 点击前往],default,
20,|活动时间补充=,default,
21,|奖励=星琼*480、信用点*60000、后勤材料箱•标准型*5、遗失碎金*2、冒险记录*12,default,
22,}},default,
23,===活动说明===,default,
24,1. 活动期间开拓者可通过邀请回归开拓者来获得星琼奖励等好礼。<br>,default,
25,2. 活跃开拓者可分享个人专属邀请码，邀请其他满足条件的开拓者回归，参与网页任务，最多可邀请三位开拓者回归。<br>,default,
26,3. 回归开拓者登录游戏后，也可分享个人专属邀请码，邀请其他满足条件的开拓者回归，参与网页任务；回归开拓者登录网页，填写邀请码，可额外获得星琼奖励。,default,
27,===回归开拓者===,default,
28,1. 开拓等级≥10级，且完成开拓任务「雅利洛-VI」-「她等待刀尖已经太久」；<br>,default,
29,2. 连续未登录游戏天数≥14天；<br>,default,
30,3. 距离上一次激活「循星归程」活动≥40天<br>,default,
31,4. 若当前已激活「循星归程」活动，激活时间为2023年8月30日 07:00后的开拓者会视为回归开拓者。,default,
32,==活动奖励==,default,
33,{{图标|材料|星琼|100}}{{图标|材料|提纯以太|6}}{{图标|材料|漫游指南|8}}{{图标|材料|信用点|60000}},default,
