line_number,content,category,character
1,{{活动信息,default,
2,|名称=「飞星之礼」,default,
3,|所属版本=2.5,default,
4,|系列活动=,default,
5,|开始时间=2024/09/10 10:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=2.5版本更新后<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2024/10/23 05:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=2.5版本结束<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=额外活动<!--版本活动/常规活动/常驻活动/网页活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=<!--选填-->,default,
11,|条件限制=解锁「旅情事记」,default,
12,|活动描述=「从协助证言到卷入幽囚狱事件，开拓者作为仙舟联盟的贵客，多次仗义出手，也屡次陷入险境。」<br>,default,
13,「仙舟联盟会尽快解决此次危机，还给大家一个热热闹闹的演武仪典。」<br>,default,
14,「同时借此机会，飞霄谨代表仙舟联盟向开拓者送上一份小小的礼物，祝愿开拓者之后的仙舟之行一切顺利。」<br>,default,
15,「未来如果星穹列车碰上什么麻烦，尽管联系，曜青随叫随到。」,default,
16,|官方公告链接=https://www.bilibili.com/opus/973572880957702147?spm_id_from=333.999.0.0<!--填写星铁驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
17,|出场人物=<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
18,|角色获取=<!--可留空-->,default,
19,|光锥获取=<!--可留空-->,default,
20,|装饰获取=<!--可留空-->,default,
21,|介绍语=「从协助证言到卷入幽囚狱事件，开拓者作为仙舟联盟的贵客，多次仗义出手，也屡次陷入险境。」<br>,default,
22,「仙舟联盟会尽快解决此次危机，还给大家一个热热闹闹的演武仪典。」<br>,default,
23,「同时借此机会，飞霄谨代表仙舟联盟向开拓者送上一份小小的礼物，祝愿开拓者之后的仙舟之行一切顺利。」<br>,default,
24,「未来如果星穹列车碰上什么麻烦，尽管联系，曜青随叫随到。」<!--可留空-->,default,
25,|所属地区=<!-- 空间站「黑塔」=1，雅利洛-Ⅵ=2，仙舟「罗浮」=3 -->,default,
26,|活动奖励=,default,
27,}},default,
28,===活动说明===,default,
29,活动期间，登录游戏即可领取星琼*1000、燃料*10、梦之珠泪*150！,default,
30,,default,
31,===活动奖励===,default,
32,{{图标|星琼|1000}}、{{图标|燃料|10}}、{{图标|梦之珠泪|150}},default,
