line_number,content,category,character
1,{{角色图鉴,default,
2,|名称=三月七,default,
3,|本体名=三月七,default,
4,|外文名=March 7th,default,
5,|称号=超超超厉害的本姑娘☆,default,
6,|全名=,default,
7,|性别=女,default,
8,|稀有度=4星,default,
9,|限定=否,default,
10,|阵营=星穹列车,default,
11,|命途=存护,default,
12,|命途材料=存护1,default,
13,|元素属性= 冰,default,
14,|介绍=一度沉睡于恒冰，对过去一无所知的少女。<br>为了寻找身世的真相，选择与星穹列车同行。<br>目前为自己准备了约六十七种「身世故事」。,default,
15,|TAG=单体护盾、反击、追加攻击、受击概率提升、附加伤害、效果解除、冻结、群攻,default,
16,|星魂TAG=能量、自身追击伤害提升、治疗,default,
17,|实装日期=2023年04月26日,default,
18,|实装版本=1.0,default,
19,|昵称/外号=小三月、阿七、{{黑幕|冷面小粉龙}}、{{黑幕|纠缠之缘}}、赵相机,default,
20,|派系=无名客、星穹列车,default,
21,|体型=女青年,default,
22,|职业=「星穹列车」乘员,default,
23,|短信签名=今天也是三月七~,default,
24,|中文CV=诺亚,default,
25,|日文CV=小倉唯,default,
26,|韩文CV=정혜원,default,
27,|英文CV=Skyler Davenport,default,
28,|卷首语=「这回我可没惹麻烦，还救了大家，所以我就不谦虚了，我真厉害！」,default,
29,|角色详细=精灵古怪的少女，自认热衷于这个年纪的女孩子「应当热衷」的所有事，比如照相。<br>从一块漂流的恒冰中苏醒，却发现自己对身世与过往都一无所知。短暂的消沉之后，她决定以重获新生的日期为自己命名。<br>这一天，三月七「诞生」了。,default,
30,|角色故事1=为什么三月七要拍照？<br>''「第一，自己这样的女孩子应该喜欢这么做。」<br>「第二，所有拍下来的东西，就不会忘啦。」''<br><br>,default,
31,三月七对拍照有什么心得？<br>''「第一，对黑暗料理需要进行局部细节拍摄，因为『拍过等于吃过，要细细品味』。」<br>「第二，只要自己闭着眼睛拍照，就一定能拍到对方闭着眼的表情。」''<br><br>,default,
32,为什么三月七要把相机挂在身上？<br>''「下次谁还想把我封在冰里，就必须把相机一起封进去！」''<br><br>,default,
33,所以三月七为什么不用手机拍照呢？<br>''「对哦，为什么呢——等等，什么为什么，这是仪式感嘛！」'',default,
34,|角色故事2=能力为「六相冰」，但三月七一直坚称那不是冰，而是某种凝聚态结晶。<br>''「拜托，你有见过这么好看的冰么？」''<br><br>,default,
35,战斗时使用的弓矢也是用「六相冰」凝成的，但实际上对自己使用弓箭一事并不满意。<br>''「你有见过哪个大佬是用弓的么？」<br>「况且，用我凝结出的弓矢去攻击我凝结出的护盾，根本什么事都不会发生啊！」''<br><br>,default,
36,为此还曾经刻苦修行名为「斩星破宙•大琉璃剑」的绝招，目前成效为零。<br>''「小三月，听名字应该是大剑吧？」<br>「嗯，但感觉好像不如冰雕…砸。」'',default,
37,|故事2角色=姬子,default,
38,|角色故事3=相比「列车长」帕姆，「领航员」姬子，「护卫」丹恒，「什么都会的」瓦尔特，即使自称为「勇士」，连三月七都很难说清楚自己在列车上的分工。<br>但三月七的一举一动，无时无刻都在影响列车组的行动方针。<br><br>,default,
39,''「三月七旅客摔倒了……」<br>「三月，小心头顶的方铅矿球。」<br>「小三月，那边的景点拍过照了吗？」<br>「我相信小三月，她说不好吃，那就肯定不好吃。」''<br><br>,default,
