line_number,content,category,character
1,{{面包屑|角色图鉴|{{#titleparts:{{PAGENAME}}|1}}}}{{角色导航}},default,
2,==官方贺图==,default,
3,===节日贺图===,default,
4,{{切换板|开始}},default,
5,{{切换板|默认显示|2023元旦}},default,
6,{{切换板|默认折叠|2023春节}},default,
7,{{切换板|默认折叠|2023情人节}},default,
8,{{切换板|默认折叠|2023三月七}},default,
9,{{切换板|默认折叠|2023中秋节}},default,
10,{{切换板|默认折叠|2024三月七}},default,
11,{{切换板|默认折叠|2024七夕}},default,
12,{{切换板|显示内容}}{{#section-h:角色贺图/节日贺图|2023元旦}},default,
13,{{切换板|内容结束}},default,
14,{{切换板|折叠内容}},default,
15,【今日「除夕」宜干饭】<br>,default,
16,帕姆刚把火锅食材准备好，就发现几个「新面孔」……啊喂，你们热情好客的同时也体谅一下本列车长帕！<br>,default,
17,哎算啦算啦，来都来了，先配合三月七拍个大合照吧，开拓者你也一起哇！<br>,default,
18,三——二——一——茄子！<br>,default,
19,[[文件:2023春节1.png|500px]],default,
20,{{切换板|内容结束}},default,
21,{{切换板|折叠内容}}{{#section-h:角色贺图/节日贺图|2023情人节•三月七}},default,
22,{{切换板|内容结束}},default,
23,{{切换板|折叠内容}}{{#section-h:角色贺图/节日贺图|2023三月七}},default,
24,{{切换板|内容结束}},default,
25,{{切换板|折叠内容}},default,
26,'''「一场关于月饼的对话」'''<br>,default,
27,<br>,default,
28,「中秋节快乐帕，大家有什么推荐的月饼口味帕？」<br>,default,
29,「咱先安利一个冰皮月饼！天底下怎么会有这么又好看又好吃的食物！」<br>,default,
30,「我认为，抹茶月饼是个不错的选择。」<br>,default,
31,「建议年轻人吃紫薯月饼，养肠护胃，有益身心健康！」<br>,default,
32,「哼，本座今日占卜星相演变，推算出食用草莓月饼最佳，要多加些糖！」<br>,default,
33,「哈哈，我倒是觉得五仁月饼就很好吃啊。」<br>,default,
34,<br>,default,
35,「所以开拓者喜欢吃什么口味的月饼帕？」<br>,default,
36,[[file:2023中秋节•三月七.png|500px]],default,
37,{{切换板|内容结束}},default,
38,{{切换板|折叠内容}}{{#section-h:角色贺图/节日贺图|2024三月七}},default,
39,{{切换板|内容结束}},default,
40,{{切换板|折叠内容}}{{#section-h:角色贺图/节日贺图|2024七夕}},default,
41,{{切换板|内容结束}},default,
42,{{切换板|结束}},default,
43,,default,
44,=== 星旅小记 ===,default,
45,{{切换板|开始}},default,
46,{{切换板|默认显示|1.2•「神奇扑满在哪里」}},default,
47,{{切换板|默认折叠|1.5•「星旅寻影」}},default,
48,{{切换板|显示内容}}{{#section-h:角色贺图/帕姆的收藏夹|1.2•「神奇扑满在哪里」}},default,
49,{{切换板|内容结束}},default,
50,{{切换板|折叠内容}}{{#section-h:角色贺图/星旅小记|1.5•「星旅寻影」}},default,
51,{{切换板|内容结束}},default,
52,{{切换板|结束}},default,
53,,default,
54,===其他贺图===,default,
55,{{切换板|开始}},default,
56,{{切换板|默认显示|开服倒计时}},default,
57,{{切换板|默认折叠|开服登顶贺图}},default,
58,{{切换板|默认折叠|B站帕姆100万粉丝贺图}},default,
59,{{切换板|显示内容}}{{#section-h:角色贺图/其他贺图|「倒计时1天」}},default,
60,{{切换板|内容结束}},default,
61,{{切换板|折叠内容}}[[File:启程庆典.jpg|500px]],default,
62,{{切换板|内容结束}},default,
63,{{切换板|折叠内容}}{{#section-h:角色贺图/社媒贺图|B站帕姆100W粉丝}},default,
64,{{切换板|内容结束}},default,
65,{{切换板|结束}},default,
66,,default,
67,==角色相关视频==,default,
68,{{角色/视频|三月七}},default,
