line_number,content,category,character
1,{{角色语音表头|三月七|未完善=是}},default,
2,{{切换板|开始}},default,
3,{{切换板|默认显示|互动语音}},default,
4,{{切换板|默认折叠|战斗语音}},default,
5,{{切换板|显示内容}}{{角色语音,default,
6,|语音类型=初次见面,default,
7,|语音文件=三月七-初次见面,default,
8,|语音内容=你好，开拓者。欢迎入职星穹列车，我是三月七，星穹列车的乘员，也是你的同事。现在，请先拍摄入职照…瞧把你吓的，咱是在开玩笑啦~,default,
9,|语音内容日语=初めまして、開拓者。ようこそ星穹列車へ！私は三月なのか。列車の乗員で、君の同僚でもあります。それでは、最初に乗員証の写真を撮らせてくださいね…なんちゃって。冗談だよ、びっくりした～？,default,
10,"|语音内容英语=Ahem! Hello, Trailblazer. Welcome aboard the Astral Express. My name is March 7th, I'm one of the passengers. We'll be working together. First, we need to take your induction photo... Did that scare you! Just a joke~",default,
11,"|语音内容韩语=안녕하세요, 개척자. 은하열차에 탑승하신 걸 환영합니다. 제 이름은 Mar. 7th, 은하열차의 승객이자 당신의 동료죠. 그럼 증명사진부터 찍겠습니다…. 놀란 것 좀 봐, 장난친 거야~",default,
12,}},default,
13,{{角色语音,default,
14,|语音类型=问候,default,
15,|语音文件=三月七-问候,default,
16,|语音内容=哎呀，你来得正好，今天还没一起拍过照呢。,default,
17,|语音内容日语=あ、いいところに来た！今日はまだ、一緒に写真撮ってないよね？,default,
18,|语音内容英语=Ah! You're just in time — we haven't taken our selfie today.,default,
19,"|语音内容韩语=우왓, 마침 잘 왔어. 오늘은 같이 사진 안 찍었다고",default,
20,}},default,
21,{{角色语音,default,
22,|语音类型=道别,default,
23,|语音文件=三月七-道别,default,
24,|语音内容=我整理完今天的照片就休息啦，你也别熬夜打游戏哦！,default,
25,|语音内容日语=今日の写真の整理が終わったから、ウチはもう寝るね。アンタもゲームで夜更かししないように！,default,
26,|语音内容英语=I'm gonna get some rest after I've sorted these photos. Don't stay up all night playing video games again!,default,
27,"|语音内容韩语=난 오늘 찍은 사진 다 정리하고 쉴게, 너도 밤새 게임하지 마!",default,
28,}},default,
29,{{角色语音,default,
30,|语音类型=关于自己•名字,default,
31,|语音文件=三月七-关于自己•名字,default,
32,|语音内容=名字是我自己取的，大家也叫我三月、小三月…你呢？你想叫我什么？,default,
33,|语音内容日语=この名前は自分でつけたんだよ～。みんな、ウチのことを三月ちゃんとかなのかって呼ぶけど…アンタは？なんて呼びたい？,default,
34,"|语音内容英语=I came up with my name myself, but some people just call me March... Which do you prefer?",default,
35,|语音内容韩语=이름은 내가 직접 지은 거야. 다들 날 Mar. 7th라고 불러…. 어때? 넌 날 어떻게 부르고 싶어?,default,
36,}},default,
37,{{角色语音,default,
38,|语音类型=关于自己•过去,default,
39,|语音文件=三月七-关于自己•过去,default,
40,|语音内容=我的过去，或许不在从前，而是在我的未来里。所以我一定会一站站走下去，哪怕有一天…没有列车。,default,
41,|语音内容日语=ウチの過去は、もしかしたら昔にあるんじゃなくて、この先にあるのかもしれない。だからウチは進み続けるんだ。たとえ…いつか列車がなくなってもね。,default,
42,"|语音内容英语=Maybe my past isn't behind me, but in front of me. That's why I'm gonna keep going forward, one stop at a time... train or no train.",default,
43,"|语音内容韩语=내 과거는, 어쩌면 옛날이 아니라 미래에 있을지도 몰라. 그래서 난 한 정거장씩 계속해서 나아갈 거야. 언젠가… 열차가 더 이상 존재하지 않는다 해도 말이지",default,
44,}},default,
45,{{角色语音,default,
46,|语音类型=闲谈•果汁,default,
47,|语音文件=三月七-闲谈•果汁,default,
48,|语音内容=果汁…一说就觉得馋，一馋就忒想喝，一喝就…停不下来……,default,
49,|语音内容日语=ジュース…考えると喉が渇く、渇けば飲むしかない、飲むと…止まらなくなる……,default,
50,"|语音内容英语=Ahh, juice... If I say the word, I get a craving. If I get a craving, I wanna drink some. And if I drink some... Ahh... I can't stop!",default,
51,"|语音内容韩语=주스… 말만 해도 침이 고여. 그럼 또 마시고 싶어지고, 마시면… 멈출 수가 없다고…",default,
52,}},default,
53,{{角色语音,default,
54,|语音类型=闲谈•照片,default,
55,|语音文件=三月七-闲谈•照片,default,
56,|语音内容=照片当然不是现实，但如果有足够多的照片，是不是就能更接近现实一些呢？,default,
57,|语音内容日语=確かに写真は現実じゃないけど、それがいっぱいあれば、ちょっとだけ現実に近づくよね？,default,
58,"|语音内容英语=Of course photos aren't reality, but if you have enough of them, doesn't reality come a little closer?",default,
59,"|语音内容韩语=물론 사진은 현실이 아니지만, 사진이 엄청 많다면, 좀 더 현실과 가까워질 수 있지 않을까?",default,
60,}},default,
61,{{角色语音,default,
62,|语音类型=爱好,default,
63,|语音文件=三月七-爱好,default,
64,|语音内容=拍照，写日记，还用说嘛~,default,
65,|语音内容日语=写真を撮ることと、日記を書くことだよ～,default,
66,|语音内容英语=Taking pictures. Writing in my diary. What else is there to say~?,default,
67,"|语音内容韩语=사진 찍는 거랑 일기 쓰는 거, 말해 뭐해~",default,
68,}},default,
69,{{角色语音,default,
70,|语音类型=烦恼,default,
71,|语音文件=三月七-烦恼,default,
72,|语音内容=要是没人和我聊天，我就闷得要命。但在列车上的时候，姬子很忙，杨叔很忙，帕姆很忙，丹恒倒是不忙，可他不喜欢聊天……,default,
73,|语音内容日语=お喋りする相手がいない時は、退屈で死にそうになるよ～。列車にいる時、姫子やヨウおじちゃん、パムは大体忙しそうにしてるから。丹恒は忙しくないけど、お喋りがあまり好きじゃないんだよね……,default,
74,"|语音内容英语=I get really bored when no one's talking to me. When we're on the Express, Himeko and Mr. Yang are pretty busy, but Dan Heng's usually free. He doesn't like chatting though...",default,
