line_number,content,category,character
1,{{面包屑|角色图鉴|{{#titleparts:{{PAGENAME}}|1}}}}{{角色导航}},default,
2,==官方介绍==,default,
3,[[file:三月七官方介绍图.png|thumb|200px]],default,
4,"<div class=""row"">",default,
5,"<div class=""col-sm-9"">",default,
6,{{角色介绍,default,
7,|职业背景=e3a4ce,default,
8,|职业颜色=fff,default,
9,|职业=「星穹列车」乘员,default,
10,|介绍=「三月七」这个名字嘛，是用来纪念我从列车上醒来那天的。<br>毕竟我是谁，原来叫什么，来自哪里…这些我都忘得一干二净啦。<br>哎呀，说这干嘛，扫兴。<br>反正我就赖在列车上，跟着它一站一站走下去，说不定哪天就能够找到自己的过去啦~<br>,default,
11,|表格背景=a4bada,default,
12,|表格边框=5070a6,default,
13,|标题颜色=000,default,
14,"|标题1=<span style=""background-color:#63a9dc"">手上的冰是…</span>",default,
15,|内容颜色=fff,default,
16,|内容1=我的「六相冰」可不是一般的冰，该怎么和你解释…反正能做出这样的冰雕！看这儿，两个眼睛一张嘴，和你很像吧？,default,
17,"|备注1=<span style=""color:#fff""><span style=""background-color:#e3a4ce"">瓦尔特的备注</span><br><small>小三月的冰雕忠实还原了我向她展示的《魔剑神机阿拉哈托》，很荣幸…也许以后我应该更注重细节一些。</small></span>",default,
18,"|标题2=<span style=""background-color:#63a9dc"">列车上的分工…</span>",default,
19,|内容2=帕姆是列车长，姬子是领航员，丹恒是护卫，杨叔…总之有困难找杨叔就对了。我嘛，就是列车组的勇士！开拓，进取，永远冲在第一线~,default,
20,"|备注2=<span style=""color:#fff""><span style=""background-color:#e3a4ce"">丹恒的备注</span><br><small>下次冲在第一线时，小心头顶的方铅矿球。</small></span>",default,
21,"|标题3=<span style=""background-color:#63a9dc"">最近的爱好是…</span>",default,
22,|内容3=买衣服算吗？每次去不同的星球我都会给帕姆定做一套当地风格的衣服。我也承认制服帕姆…穿着列车长制服的帕姆已经够可爱了，但换装也是列车长的工作之一嘛。你想想，每开拓完一个世界就能看到帕姆换上新衣服，大家的开拓积极性一下子就提高了，列车长能不高兴嘛~,default,
23,"|备注3=<span style=""color:#fff""><span style=""background-color:#e3a4ce"">姬子的备注</span><br><small>难怪，我还在想列车怎么变出了一个服装间。</small></span>",default,
24,"|标题4=<span style=""background-color:#63a9dc"">想去的地方…</span>",default,
25,|内容4=最想去我的家乡啦，虽然我现在还不知道是哪里~除此之外，当然是风景优美、气候宜人、居民好客、安宁…祥和…的星球，哈哈，会有这样的地方吗？说不定那个星球遇到的难题是…爆发繁殖的螃蟹！只要大家齐心协力吃光了所有的螃蟹，就能成功解决危机~,default,
26,"|备注4=<span style=""color:#fff""><span style=""background-color:#e3a4ce"">丹恒的备注</span><br><small>智库里没这种「星球」。</small></span>}}",default,
27,"<center><gallery mode=""nolines"">",default,
28,三月七角色介绍图1.png|角色介绍1,default,
29,三月七角色介绍图2.png|角色介绍2,default,
30,三月七手机壳.jpg|手机壳,default,
31,三月七壁纸.png|手机壁纸,default,
32,</gallery></center>,default,
33,</div></div>,default,
