line_number,content,category,character
1,{{角色图鉴,default,
2,|名称=三月七,default,
3,|本体名=三月七,default,
4,|外文名=March 7th,default,
5,|称号=,default,
6,|全名=,default,
7,|性别=女,default,
8,|稀有度=4星,default,
9,|限定=否,default,
10,|阵营=星穹列车,default,
11,|命途=巡猎,default,
12,|命途材料=巡猎2,default,
13,|元素属性=虚数,default,
14,|介绍=,default,
15,|TAG=速度提升、附加伤害、技能强化、削韧值、立即行动、自身伤害提升。攻击段数提升、能量、暴伤提升、击破特攻提升、行动提前,default,
16,|星魂TAG=速度、追加攻击、暴击伤害,default,
17,|实装日期=2024年07月31日,default,
18,|实装版本=2.4,default,
19,|角色定位=三月七（巡猎•虚数）是一名通过向队友拜师从而获得不同强化的输出型角色。通过【师父】及自身的各类行动获取一定充能点后，三月七还可施放更加强力的攻击。,default,
20,|昵称/外号=小三月、阿七、{{黑幕|冷面小粉龙}}、{{黑幕|纠缠之缘}}、赵相机（杂俎网名）,default,
21,|身份=换上仙舟服饰，为演武仪典做准备的三月七，习双手剑的武侠少女,default,
22,|派系=无名客、星穹列车,default,
23,|体型=女青年,default,
24,|种族=,default,
25,|短信签名=今天也是三月七~,default,
26,|所在位置=<!-- 地图名称 -->,default,
27,|中文CV=诺亚,default,
28,|日文CV=小倉唯,default,
29,|韩文CV=정혜원,default,
30,|英文CV=Skyler Davenport,default,
31,|卷首语=「劳您担待啦！」,default,
32,|角色详细=换上仙舟服饰的三月七，执剑的武侠少女。<br>向云璃与彦卿拜师学艺，为在仙舟留下更多美好的「回忆」而跃跃欲试。,default,
33,|角色故事1=,default,
34,|角色故事2=,default,
35,|角色故事3=,default,
36,|角色故事4=,default,
37,|晋阶属性材料=风雪之角,default,
38,|晋阶系列材料=虚卒<!-- 选填：原核、虚卒、铁卫、古代、永寿、工造 -->,content,选填
39,|周本材料=毁灭者的末路,default,
40,|速度=102,default,
41,|能量上限=110,default,
42,|生命值=144,default,
43,|20生命值=280,default,
44,|20+生命值=338,default,
45,|30生命值=410,default,
46,|30+生命值=467,default,
47,|40生命值=539,default,
48,|40+生命值=597,default,
49,|50生命值=669,default,
50,|50+生命值=727,default,
51,|60生命值=799,default,
52,|60+生命值=856,default,
53,|70生命值=928,default,
54,|70+生命值=986,default,
55,|80生命值=1058,default,
56,|攻击力=76,default,
57,|20攻击力=149,default,
58,|20+攻击力=180,default,
59,|30攻击力=218,default,
60,|30+攻击力=249,default,
61,|40攻击力=287,default,
62,|40+攻击力=318,default,
63,|50攻击力=357,default,
64,|50+攻击力=387,default,
65,|60攻击力=426,default,
66,|60+攻击力=456,default,
67,|70攻击力=495,default,
68,|70+攻击力=526,default,
69,|80攻击力=564,default,
70,|防御力=60,default,
71,|20防御力=117,default,
72,|20+防御力=141,default,
73,|30防御力=171,default,
74,|30+防御力=195,default,
75,|40防御力=225,default,
76,|40+防御力=249,default,
77,|50防御力=279,default,
78,|50+防御力=303,default,
79,|60防御力=333,default,
80,|60+防御力=357,default,
81,|70防御力=387,default,
82,|70+防御力=411,default,
83,|80防御力=441,default,
84,|星魂1=初花学剑动星芒,default,
85,|星魂1描述=场上存在【师父】时，三月七的速度提高{{颜色|描述2|10%}}。,default,
86,|星魂2=白刃耀雪舞骇浪,default,
