line_number,content,category,character
1,{{道具,default,
2,|名称=三月七的「起点」,default,
3,|稀有度=3星,default,
4,|类型=任务道具,default,
5,|描述=「流光忆庭」赠予三月七的光锥。其中封存的记忆乃是三月七的「起点」。,default,
6,|介绍=''「展翅的鹰不曾眷恋它曾坠落的山崖，扬帆的船不曾怀恋她曾搁浅的海峡。<br>,default,
7,「而你，我的孩子，也应知晓过去虚幻如烟霞。<br>,default,
8,「但你此刻经历的一切也必将被人以金石刻下。」'',default,
9,|获取方式=任务,default,
10,|获取途径=完成三月七的同行任务-[[全面回忆]],default,
11,|相关任务=全面回忆,default,
12,|内容=[[文件:三月七的「起点」-内容.png|500px|center]]<br>,default,
13,「流光忆庭」赠予三月七的光锥。其中封存的记忆乃是三月七的「起点」。<br>,default,
14,<br>,default,
15,''「展翅的鹰不曾眷恋它曾坠落的山崖，扬帆的船不曾怀恋她曾搁浅的海峡。<br>,default,
16,「而你，我的孩子，也应知晓过去虚幻如烟霞。<br>,default,
17,「但你此刻经历的一切也必将被人以金石刻下。」'',default,
18,|实装版本=1.3,default,
19,}}{{WIKI底部导航,default,
20,|角色图鉴=展开,default,
21,}},default,
