line_number,content,category,character
1,{{道具,default,
2,|名称=与三月七的合照,default,
3,|稀有度=3星,default,
4,|类型=任务道具,default,
5,|介绍=开拓者与三月七的珍贵合照。<br><br>,default,
6,''「我们一同冒险，一同探索，一同定格精彩的回忆。,default,
7,而今后的旅途中，我们会「开拓」更多美好瞬间，用相机、用双眼、用心去保存它们。」'',default,
8,|获取方式=活动,default,
9,|获取途径=[[「星旅寻影」]]活动获得,default,
10,|相关任务=星旅寻影•第七站•星穹列车,default,
11,|相关活动=「星旅寻影」,default,
12,|实装版本=1.5,default,
13,|相关角色=开拓者、三月七,default,
14,|内容=[[文件:与三月七的合照-内容-星.png|500px|center]],default,
15,}}{{WIKI底部导航,default,
16,|角色图鉴=展开,default,
17,}},default,
