line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=丑时三刻的敲门声,default,
4,|任务地区=匹诺康尼,default,
5,|任务类型=开拓任务,default,
6,|所属版本=2.0,default,
7,|任务描述=这次的跃迁过程似乎有些蹊跷。一眨眼，你便发现自己从观景车厢的柔软沙发上消失，转而来到了一处陌生的地方——这究竟是什么地方？,default,
8,|奖励=无,default,
9,|任务条件=完成任务[[长日入夜行#在沙发上等待跃迁]],default,
10,|开放等级=34,default,
11,|相关成就=通往群星的轨道#你还记得我吗？,default,
12,|相关道具=,default,
13,|相关书籍=,default,
14,|出场人物=黄泉、星期日、知更鸟、真理医生、砂金、银狼、萨姆、黑天鹅、花火、米沙、帕姆,default,
15,|系列任务=喧哗与骚动,default,
16,|任务编号=02,default,
17,|前置任务=*[[长日入夜行]],default,
18,|后续任务=*[[长日入夜行#与三月七会合]],default,
19,|任务流程=*离开陌生的房间,default,
20,*在陌生的走廊中前进,default,
21,*在陌生的大厅中寻找出路,default,
22,*与黄泉交谈,default,
23,*与黄泉一起前进,default,
24,}},default,
25,==剧情内容==,default,
26,:{{颜色|灰|你睁开眼，发现自己已经不在列车上了…}},default,
27,:{{颜色|灰|…身旁还多出了一个不认识但眼熟的人…}},default,
28,*？？？：又一个……,content,
29,*？？？：…跟我来吧。,content,
30,{{剧情选项,default,
31,|选项1=你是谁？,option,开拓者
32,|选项2=这是什么地方？,option,开拓者
33,|选项3=要去哪儿？,option,开拓者
34,}},default,
35,:{{颜色|灰|紫发的女性叹了一口气…}},default,
36,*？？？：这些问题…没有意义，但我会尽力为你说明：这里是现实与忆域的交界，一片…「梦境」。,content,
37,*？？？：此时此刻，你我偶然分享了同一片梦境，出现在彼此的思绪中，这便是「梦想之地」对我们最初的问候。,content,
38,*？？？：别担心，很快你就会从这场梦中醒来，忘记此间发生的一切，只留下淡淡的怅然。,content,
39,*？？？：也无需在意，这种「遗忘」发生在每一个清晨，是我们早已习惯的平常。,content,
40,*？？？：…所以，跟我来吧。我会带你回家。,content,
41,=== 离开陌生的房间 ===,default,
42,{{任务描述|这次的跃迁过程似乎有些蹊跷——一眨眼，你便发现自己从观景车厢的柔软沙发上消失，转而来到了一处陌生的地方。一位陌生人将你唤醒，声称她和你偶然共享了一片梦境，并表示会带领你寻找出路。<br>跟上她，离开这里吧。|匹诺康尼-陌生的梦}},default,
43,*？？？：左边，走廊尽头。我在那里等你。,content,
44,,default,
45,=== 在陌生的走廊中前进 ===,default,
46,{{任务描述|武者声称自己叫作「黄泉」，是一名巡海游侠。<br>继续跟上她的步伐，离开这座陌生的梦吧。|匹诺康尼-陌生的梦}},default,
47,{{折叠|折叠=是|标题=出门后朝右走|内容=,default,
48,*黄泉：我不在那里，回头。}},content,黄泉
49,*黄泉：巡海游侠，黄泉…这是他们称呼我的方式，你随意使用吧。,content,黄泉
50,,default,
51,=== 在陌生的走廊中前进 ===,default,
52,{{任务描述|黄泉领你来到了一扇门前。这就是梦境的出口吗？|匹诺康尼-陌生的梦}},default,
53,*黄泉：打开这扇门…看看瑰丽的梦境吧，趁你还记得。,content,黄泉
54,,default,
55,=== 在陌生的走廊中前进 ===,default,
56,{{任务描述|武者声称自己叫作「黄泉」，是一名巡海游侠。<br>继续跟上她的步伐，离开这座陌生的梦吧。|匹诺康尼-陌生的梦}},default,
57,:{{颜色|灰|你来到了一个富丽堂皇的大厅内…}},default,
58,*开拓者：（这，我的天啊……）,content,开拓者
59,*黄泉：这边。,content,黄泉
60,*黄泉：你先请。,content,黄泉
61,,default,
62,=== 在陌生的大厅中寻找出路 ===,default,
63,{{任务描述|黄泉带领你来到了一座大厅。她为你指明路线，但在你看来这个房间里似乎并没有可供穿行的通道。<br>四下探索，寻找真正的道路吧。|匹诺康尼-陌生的梦}},default,
64,*开拓者：（是要我往墙上走吗…？）,content,开拓者
65,:{{颜色|灰|通过梦泡桥梁走到了墙上…}},default,
66,*开拓者：（竟然真的能做到？！）,content,开拓者
67,*黄泉：有何不可？,content,黄泉
68,*开拓者：（她能听见我在想什么？）,content,开拓者
69,*黄泉：有何不可？,content,黄泉
70,,default,
71,=== 与黄泉交谈 ===,default,
72,{{任务描述|经历了一番天旋地转的探索，你发现自己竟然来到了大厅的天花板上。<br>黄泉似乎对此早已司空见惯，并表示梦境的出口就在前方不远处。|匹诺康尼-陌生的梦}},default,
73,*黄泉：我们快到了。还走得动么？,content,黄泉
74,{{剧情选项,default,
75,|选项1=我已上墙，感觉良好。<ref>来源：航天七号宇航员翟志刚首次出舱时说的“我已出舱，感觉良好”。</ref>,option,来源
76,|剧情1=*黄泉：很幽默呢。既然有心思开玩笑，我就认为你没事了。,branch_content,黄泉
77,|选项2=我有点头晕……,option,开拓者
78,|剧情2=*黄泉：别紧张，是正常现象。,branch_content,黄泉
79,}},default,
80,*黄泉：别停下，别回头，别往下看，也别往上看。,content,黄泉
81,,default,
82,=== 与黄泉一起前进 ===,default,
83,{{任务描述|黄泉引领你在瑰丽的梦境中穿行。出口似乎近在眼前了。|匹诺康尼-陌生的梦}},default,
84,*黄泉：这些声音…只是梦境的影子。无需在意。,content,黄泉
85,{{折叠|标题=旁听头顶圆环的兄妹之间的对话|内容=,default,
86,*？？？：「谐乐大典」的舞台只属于你，妹妹。,content,
87,*？？？：可如果我不能歌唱…舞台又有什么意义？,content,
88,|折叠=是}},default,
89,{{折叠|标题=旁听真理医生与黄发男子的对话|内容=,default,
90,*真理医生：你凭什么觉得自己能赢，该死的赌徒？,content,真理医生
91,*？？？：三枚「筹码」足矣。所有，或者一无所有。,content,
92,|折叠=是}},default,
93,{{折叠|标题=旁听银狼与机器人的对话|内容=,default,
94,*银狼：你准备怎么拉他们下场？,content,银狼
95,*？？？：将真相如数奉上，他们自然会赴约。,content,
96,|折叠=是}},default,
97,{{折叠|标题=旁听红衣少女与忆者的对话|内容=,default,
98,*？？？：忆者…你觉得你能安然离开？,content,
99,*？？？：对不起。心仪的舞伴…我已经有人选了。,content,
100,|折叠=是}},default,
101,:{{颜色|灰|你们来到一扇门前，大门突然后退显露出长长的走廊…}},default,
