line_number,content,category,character
1,{{面包屑|角色图鉴|{{#titleparts:{{PAGENAME}}|1}}}}{{角色导航}},default,
2,==官方贺图==,default,
3,===节日贺图===,default,
4,{{切换板|开始}},default,
5,{{切换板|默认显示|2022中秋节}},default,
6,{{切换板|默认折叠|2023元旦}},default,
7,{{切换板|默认折叠|2023春节}},default,
8,{{切换板|默认折叠|2023白色情人节}},default,
9,{{切换板|默认折叠|2023端午节}},default,
10,{{切换板|显示内容}}{{#section-h:角色贺图/节日贺图|2022中秋节•丹恒}},default,
11,{{切换板|内容结束}},default,
12,{{切换板|折叠内容}}{{#section-h:角色贺图/节日贺图|2023元旦}},default,
13,{{切换板|内容结束}},default,
14,{{切换板|折叠内容}},default,
15,【今日「除夕」宜干饭】<br>,default,
16,帕姆刚把火锅食材准备好，就发现几个「新面孔」……啊喂，你们热情好客的同时也体谅一下本列车长帕！<br>,default,
17,哎算啦算啦，来都来了，先配合三月七拍个大合照吧，开拓者你也一起哇！<br>,default,
18,三——二——一——茄子！<br>,default,
19,[[文件:2023春节1.png|500px]]<br>,default,
20,{{切换板|内容结束}},default,
21,{{切换板|折叠内容}}{{#section-h:角色贺图/节日贺图|2023白色情人节•丹恒}},default,
22,{{切换板|内容结束}},default,
23,{{切换板|折叠内容}}{{#section-h:角色贺图/节日贺图|2023端午节}},default,
24,{{切换板|内容结束}},default,
25,{{切换板|结束}},default,
26,===帕姆的收藏夹===,default,
27,{{切换板|开始}},default,
28,{{切换板|默认显示|1.2•「神奇扑满在哪里」}},default,
29,{{切换板|显示内容}}{{#section-h:角色贺图/帕姆的收藏夹|1.2•「神奇扑满在哪里」}},default,
30,{{切换板|内容结束}},default,
31,{{切换板|结束}},default,
32,===其他贺图===,default,
33,{{切换板|开始}},default,
34,{{切换板|默认显示|开服倒计时}},default,
35,{{切换板|默认折叠|200万下载贺图}},default,
36,{{切换板|显示内容}}{{#section-h:角色贺图/其他贺图|「倒计时2天」}},default,
37,{{切换板|内容结束}},default,
38,{{切换板|折叠内容}}[[文件:2000W下载贺图.jpg|500px]],default,
39,{{切换板|内容结束}},default,
40,{{切换板|结束}},default,
41,,default,
42,==角色相关视频==,default,
43,{{角色/视频|丹恒}},default,
