line_number,content,category,character
1,{{角色语音表头|丹恒|未完善=是}},default,
2,{{切换板|开始}},default,
3,{{切换板|默认显示|互动语音}},default,
4,{{切换板|默认折叠|战斗语音}},default,
5,{{切换板|显示内容}}{{角色语音,default,
6,|语音类型=初次见面,default,
7,|语音文件=丹恒-初次见面,default,
8,|语音内容=重新介绍一下自己，我叫丹恒，担任列车的护卫，列车的智库也由我维护。,default,
9,|语音内容日语=改めて自己紹介をしよう。俺は丹恒。列車の護衛をしていて、アーカイブの管理も担当している。,default,
10,|语音内容英语=I should reintroduce myself. My name is Dan Heng — I'm the guard on the Express. I also administer the train's data bank.,default,
11,"|语音内容韩语=다시 한번 소개하지. 난 단항이라고 해, 열차의 경호원이지. 열차의 아카이브도 내가 관리하고 있어",default,
12,}},default,
13,{{角色语音,default,
14,|语音类型=问候,default,
15,|语音文件=丹恒-问候,default,
16,|语音内容=智库的词条今日已更新，你可随时查阅。,default,
17,|语音内容日语=先程、アーカイブを更新しておいた。好きな時に確認するといい。,default,
18,|语音内容英语=I updated the data bank entries today if you wanted to look anything up.,default,
19,|语音内容韩语=오늘 아카이브의 표제어를 업데이트해 뒀으니까 언제든지 찾아봐,default,
20,}},default,
21,{{角色语音,default,
22,|语音类型=道别,default,
23,|语音文件=丹恒-道别,default,
24,|语音内容=到就寝时间了么…谢谢提醒。资料室内，对昼夜的感知薄弱，时常一坐就是一晚…明天见。,default,
25,|语音内容日语=もうこんな時間か…すまない。資料室にいると、昼夜の感覚が鈍くなる。気づいたら一晩経っていたことも多々あるくらいだ…また明日会おう。,default,
26,"|语音内容英语=Time to turn in already...? Thanks for the reminder. It's easy to lose track of time in the archives — before you know it, a whole day's gone by... See you tomorrow.",default,
27,|语音内容韩语=벌써 취침 시간이야…? 알려줘서 고마워. 자료실에 있으면 시간 가는 걸 몰라서 밤새도록 앉아있게 되거든…. 내일 보자,default,
28,}},default,
29,{{角色语音,default,
30,|语音类型=关于自己•过去,default,
31,|语音文件=丹恒-关于自己•过去,default,
32,|语音内容=我出身于联盟，生在一艘奇丽雄伟的巨舰之上，其模样我却很少见到。现在回不去了。,default,
33,|语音内容日语=俺は同盟出身なんだ。美しく壮大な船の上にいたが、その姿をしっかりと見たことはあまりなかった。今はもう、その船に帰ることは叶わない。,default,
34,"|语音内容英语=I come from an alliance, and was born on a grand and beautiful ship that I barely had the chance to see... I can never return.",default,
35,"|语音内容韩语=난 연맹에서 태어나 웅장하고 아름다운 거함에서 자랐지만, 그 거함의 외관을 본 건 손에 꼽을 정도야. 이젠 돌아갈 수도 없지",default,
36,}},default,
37,{{角色语音,default,
38,|语音类型=关于自己•上车的缘由,default,
39,|语音文件=丹恒-关于自己•上车的缘由,default,
40,|语音内容=那时，除了列车，我没有其他落脚之处。,default,
41,|语音内容日语=あの時は、列車以外に行く場所がなかったんだ。,default,
42,"|语音内容英语=At that time, I had nowhere to go but the Express.",default,
43,|语音内容韩语=그때 열차를 제외하곤 몸을 의탁할 곳이 없었어,default,
44,}},default,
45,{{角色语音,default,
46,|语音类型=闲谈•击云,default,
47,|语音文件=丹恒-闲谈•击云,default,
48,|语音内容=击云从不离身，不仅是为了我的安全，也是为了其他人的。,default,
49,|语音内容日语=撃雲は肌身離さず携行するようにしている。自身の安全のためだけではない。他者の安全のためでもある。,default,
50,"|语音内容英语=Cloud-Piercer is always with me. For my safety, and the safety of everyone else.",default,
51,|语音内容韩语=격운을 몸에서 떼어놓지 않는 건 내 안전뿐만 아니라 다른 사람을 위한 일이기도 해,default,
52,}},default,
53,{{角色语音,default,
54,|语音类型=爱好,default,
55,|语音文件=丹恒-爱好,default,
56,|语音内容=看书…不算爱好，只是过去的习惯。,default,
57,|语音内容日语=読書だが…趣味とまでは言えない、過去の習慣だ。,default,
58,"|语音内容英语=It's not really a hobby, but I used to read a lot...",default,
59,"|语音内容韩语=독서… 취미까진 아니고, 과거의 습관이랄까",default,
60,}},default,
61,{{角色语音,default,
62,|语音类型=烦恼,default,
63,|语音文件=丹恒-烦恼,default,
64,|语音内容=若非查阅智库，请不要随意进入资料室，资料室的功能不包含聊天。,default,
65,|语音内容日语=アーカイブに用がない時は、資料室に入らないでくれ。資料室はお喋りをするための部屋じゃない。,default,
66,"|语音内容英语=If you're not there to look something up, then please don't enter the archives. It's not a place for chitchat.",default,
67,|语音内容韩语=아카이브를 열람하려는 목적이 아니면 자료실에는 멋대로 들어가지 마. 자료실의 기능엔 대화가 포함되어 있지 않거든,default,
68,}},default,
69,{{角色语音,default,
70,|语音类型=分享,default,
71,|语音文件=丹恒-分享,default,
72,|语音内容=浩瀚如宇宙，它的过去，也由不得自己决定。,default,
73,|语音内容日语=宇宙は広大だが、その過去は、それ自身がどうにかできるものではない。,default,
74,"|语音内容英语=As vast as the universe is, it cannot change its past.",default,
75,"|语音内容韩语=우주처럼 광활한 그 과거는, 스스로 결정할 수 있는 게 아니겠지",default,
76,}},default,
77,{{角色语音,default,
78,|语音类型=见闻,default,
79,|语音文件=丹恒-见闻,default,
80,|语音内容=当智库的记载足够多时，看似独立的「事件」也会经由流动的「人」产生联系。,default,
81,|语音内容日语=アーカイブの記録が充実している時、独立しているように見える「事柄」が、「人」の流れによって繋がることがある。,default,
82,"|语音内容英语=Once there are sufficient records in the data bank, the flow of individuals will link together seemingly independent events.",default,
83,"|语音内容韩语=아카이브의 기록이 충분해지면, 독립된 것처럼 보이는 「사건」도 움직이는 「사람」에 의해 관계가 생기게 돼",default,
84,}},default,
85,{{角色语音,default,
86,|语音类型=关于三月七,default,
87,|语音文件=丹恒-关于三月七,default,
88,|语音内容=三月的缺点是爱管闲事，可能也是优点。,default,
89,|语音内容日语=三月の短所はお節介なところだ。だが、それが長所でもある。,default,
