line_number,content,category,character
1,{{角色语音表头|丹恒•饮月|未完善=是}},default,
2,{{切换板|开始}},default,
3,{{切换板|默认显示|互动语音}},default,
4,{{切换板|默认折叠|战斗语音}},default,
5,{{切换板|显示内容}}{{角色语音,default,
6,|语音类型=初次见面,default,
7,|语音文件=丹恒•饮月-初次见面,default,
8,|语音内容=这是我原本的样子，持明族的姿态…不必担心，我仍是丹恒，是持明后裔，也是一名无名客。,default,
9,|语音内容日语=これが俺の本来の姿、持明族の姿だ…心配する必要はない。俺は依然として丹恒であり、持明族の末裔であり、ナナシビトでもある。,default,
10,"|语音内容英语=This is my original appearance, that of the Vidyadhara... Don't worry, I'm still Dan Heng, a descendant of the Vidyadhara, and also a member of the Nameless.",default,
11,"|语音内容韩语=이게 내 원래 모습이고, 이 모습이 비디아다라족의 자태야…. 걱정할 필요 없어. 난 여전히 단항, 비디아다라의 후예이자 무명객이지",default,
12,}},default,
13,{{角色语音,default,
14,|语音类型=问候,default,
15,|语音文件=丹恒•饮月-问候,default,
16,|语音内容=如智库所记，按持明礼俗，见面问候需以手加额。我们…不用如此。,default,
17,|语音内容日语=アーカイブによれば、持明族は礼儀として、誰かに会った際は手を上げて額に当てる挨拶をするそうだ。俺たちは…それに倣う必要はない。,default,
18,"|语音内容英语=As recorded in the data bank, it is customary among the Vidyadhara to place one's hand on one's forehead when greeting someone. But... we don't need to do that.",default,
19,"|语音内容韩语=아카이브에서 기록한 바와 같이, 비디아다라의 예절법으로는 인사할 때 손을 이마 위에 둬. 우린… 이렇게까지 안 해도 돼",default,
20,}},default,
21,{{角色语音,default,
22,|语音类型=道别,default,
23,|语音文件=丹恒•饮月-道别,default,
24,|语音内容=到点了，我不会熬夜的，也祝你好梦。,default,
25,|语音内容日语=もう寝る時間だ、俺は夜更かしはしない。お前がいい夢を見られるよう祈っている。,default,
26,"|语音内容英语=It's getting late, I won't be staying up much longer. Sleep well.",default,
27,"|语音内容韩语=시간 됐어, 밤을 새진 않을 거야. 너도 좋은 꿈 꿔",default,
28,}},default,
29,{{角色语音,default,
30,|语音类型=关于自己•前生,default,
31,|语音文件=丹恒•饮月-关于自己•前生,default,
32,|语音内容=前生种种，对我来说就像陌生的影子，看不真切，却亦步亦趋。我很难描述那种感觉，但可以肯定的是，我不是任何人的影子。,default,
33,|语音内容日语=前世のことは見知らぬ影のようで、はっきりとは見えないが、ずっと俺について回っていた。この感覚は上手く言葉にできない。だが、俺が誰の影でもないということは断言できる。,default,
34,"|语音内容英语=My previous life is like a faint shadow — hardly visible yet following me wherever I go. It's hard to describe the feeling, but one thing is for certain — I am nobody's shadow.",default,
35,"|语音内容韩语=전생의 모든 것들이 내겐 마치 낯선 그림자 같아. 제대로 보이진 않지만 끈질기게 따라다니거든. 표현하기 너무 어렵지만, 확실한 건 난 어느 누구의 그림자도 아니라는 거지",default,
36,}},default,
37,{{角色语音,default,
38,|语音类型=闲谈•流放,default,
39,|语音文件=丹恒•饮月-闲谈•流放,default,
40,|语音内容=那一纸永久流放的命令，倒像是对我的特赦…毕竟，我现在在这里，不是么？,default,
41,|语音内容日语=あの永久追放の命令は、俺に対する特赦のようだった…なにしろ、俺は今ここにいる。そうだろう？,default,
42,"|语音内容英语=The eternal banishment decree was like a pardon for me... After all, I'm here now, aren't I?",default,
43,"|语音内容韩语=그 종신 유배령은 나한테 특별사면과도 같았어…. 결국 난 여기에 있잖아, 안 그래?",default,
44,}},default,
45,{{角色语音,default,
46,|语音类型=闲谈•击云,default,
47,|语音文件=丹恒•饮月-闲谈•击云,default,
48,|语音内容=我与这柄枪的铸造者之间，尚未了结。,default,
49,|语音内容日语=この槍を造った者とは、まだ決着がついていない。,default,
50,|语音内容英语=There is unfinished business between me and the maker of this weapon.,default,
51,|语音内容韩语=나와 이 창 주조자 사이의 관계는 아직 끝나지 않았어,default,
52,}},default,
53,{{角色语音,default,
54,|语音类型=爱好,default,
55,|语音文件=丹恒•饮月-爱好,default,
56,|语音内容=在幽囚狱的那些日子，只有阅读能让我逃离漫长的时间和过去的影子。,default,
57,|语音内容日语=幽囚獄にいた頃、長い時間と過去から逃げることができるのは、読書をしている時だけだった。,default,
58,"|语音内容英语=During my days in The Shackling Prison, reading books was my only respite from the long hours and the shadows of the past.",default,
59,|语音内容韩语=유폐옥에서 지내는 동안은 독서만이 나를 그 긴 시간과 과거의 그림자에서 벗어날 수 있게 해줬어,default,
60,}},default,
61,{{角色语音,default,
62,|语音类型=烦恼,default,
63,|语音文件=丹恒•饮月-烦恼,default,
64,|语音内容=饮月君的功罪，我无意评说。若有机会，他的名号我也想抛下…但动用了这份力量，其后果便只能由我承担。,default,
65,|语音内容日语=飲月君の功罪について俺から言うことはない。機会さえあれば、彼の名を捨てたいところだが…この力を使った結果は俺が背負うしかない。,default,
66,"|语音内容英语=I have no interest in commenting on the deeds and sins of Imbibitor Lunae. Given the choice, I would like to cast his name aside... Even so, the consequences of his power will be borne by me alone.",default,
67,"|语音内容韩语=음월군의 공과 실에 대해선 말하고 싶지 않아. 기회가 된다면 그 이름을 버리고 싶지만… 이 힘을 썼으니, 결과도 내가 책임지는 수밖에",default,
68,}},default,
69,{{角色语音,default,
70,|语音类型=分享,default,
71,|语音文件=丹恒•饮月-分享,default,
72,|语音内容=每艘仙舟上的持明族都分得了「不朽」龙祖的恩赐。罗浮持明掌有御水行雨的奇术，名唤「云吟」。,default,
73,|语音内容日语=どの仙舟にいる持明族も「不朽」の龍祖の恩恵を受けている。羅浮の持明族は水を操り、雨を降らせる「雲吟」という奇術を使うことができるんだ。,default,
74,"|语音内容英语=The Vidyadhara that reside on the Xianzhou received a blessing from the Permanence — our dragon ancestor. On the Luofu, we wield a magic known as ""cloudhymn"" that allows us to manipulate water and control the rains.",default,
75,"|语音内容韩语=선주를 통틀어 몇몇 비디아다라족은 용의 조상이 내린 은사로 「불멸」을 얻었어. 나부 비디아다라는 물을 다스리고 비를 내리는 술법을 부리는데, 이름하여 「운음」이지",default,
76,}},default,
77,{{角色语音,default,
78,|语音类型=见闻,default,
79,|语音文件=丹恒•饮月-见闻,default,
80,|语音内容=「建木」被斫断千年，却不死不灭。若丰饶民有异动，必定与其有关。,default,
81,|语音内容日语=「建木」が切られて1000年は経つというのに、今も朽ちることなく残っている。豊穣の民に何か変わった動きがあるとすれば、きっと「建木」に関係があるのだろう。,default,
82,"|语音内容英语=The Ambrosial Arbor was severed long ago, but it is not dead. If there is any activity from the Denizens of Abundance, it will be connected to the Arbor.",default,
83,"|语音内容韩语=「불멸의 거목」은 천 년 동안 봉인돼 있었지만, 죽지는 았았어. 풍요의 백성 쪽에 이상한 움직임이 있다면, 분명 그것과 연관이 있을 거야",default,
84,}},default,
85,{{角色语音,default,
86,|语音类型=关于景元,default,
87,|语音文件=丹恒•饮月-关于景元,default,
88,|语音内容=将军偶尔会把我当成旧日的朋友。可惜，我并不能回应这份期待。,default,
89,|语音内容日语=将軍は時々、俺を旧友だと思っているようだ。残念だが…その期待に応えることはできない。,default,
90,"|语音内容英语=Sometimes the general treats me as a friend from the old days. Unfortunately, I am unable to return the sentiment.",default,
91,|语音内容韩语=장군은 가끔 나를 옛 친구로 생각해. 난 그 기대에 부응할 수 없지만 말이야,default,
92,}},default,
93,{{角色语音,default,
94,|语音类型=关于白露,default,
95,|语音文件=丹恒•饮月-关于白露,default,
96,|语音内容=龙尊传承并未完成，致使她困于浅水…好在，她有股子不受人摆布的活力。,default,
97,|语音内容日语=龍尊の伝承が完成していないせいで、彼女は苦境に立たされた…だが幸いなことに、彼女には他人に翻弄されないだけの活力がある。,default,
98,"|语音内容英语=The high elder succession was incomplete, causing her to become trapped in shallow waters... Fortunately, she has a vitality that does not bend to the will of others.",default,
99,"|语音内容韩语=용존의 계승이 아직 이뤄지지 못 한 이유로 그녀는 잠재력을 발휘하지 못하고 있어…. 다행인 건, 그녀가 타인에게 휘둘리지 않는 활력이 있다는 거야",default,
100,}},default,
101,{{角色语音,default,
102,|语音类型=关于彦卿,default,
103,|语音文件=丹恒•饮月-关于彦卿,default,
104,|语音内容=那位小剑士的眼神和身手都颇为了得，但我不打算与人比剑。,default,
