line_number,content,category,character
1,{{面包屑|角色图鉴|{{#titleparts:{{PAGENAME}}|1}}}}{{角色导航}},default,
2,==官方介绍==,default,
3,[[File:丹恒•饮月官方介绍图.jpg|thumb|200px]],default,
4,罗浮龙尊，掌苍龙之传。行云布雨，膺责守望不死建木。尊号「饮月君」。<br>,default,
5,——《仙舟通鉴 • 五龙远徙》,default,
6,,default,
7,"<div class=""row"">",default,
8,"<div class=""col-sm-9"">",default,
9,[[File:丹恒•饮月官方介绍图2.jpg|500px|center]]<br>,default,
10,{{角色介绍,default,
11,|职业背景=fefcf6,default,
12,|职业颜色=413d38,default,
13,|身份=丹恒不为人知的本相，承继饮月君力量的持明之身,default,
14,|职业='''丹恒不为人知的本相，<br>承继饮月君力量的持明之身''',default,
15,|介绍=抱歉，让你惊愕了吧…<br>这额顶的龙角，是罗浮龙尊自古以来的传承。<br>但我依旧是我，请继续用「丹恒」这个名字称呼我就好。,default,
16,|表格背景=fef9f5,default,
17,|表格边框=b1a194,default,
18,|标题颜色=411f18,default,
19,|内容颜色=8b6a5d,default,
20,|标题1=龙尊传承…,default,
21,|内容1=是的，持明族的血脉可以上溯至「天渊万龙之祖」，不朽的龙。在远徙并移居仙舟之前，持明族便有遴选龙尊的传统。龙尊不仅是一族尊长，更是掌有龙祖之力，能化为龙形的持明个体。而在与仙舟结盟后，持明龙尊们膺责守望各大仙舟上的「寿瘟祸迹」…或是「丰饶仙迹」。我的前世之身，便是其中之一，罗浮的饮月君丹枫。,default,
22,|备注1='''三月七：'''<br><small>没想到丹恒竟然这么有来头……</small>,content,三月七
23,|标题2=听说丹枫曾背叛仙舟…,default,
24,|内容2=我在转生之初，在幽囚狱里日日接受教化，其中重要一课便是了解此人的生平与罪愆。按照判官们所说，丹枫窥伺丰饶之力，造就孽物在，鳞渊境中大肆毁坏，不但中绝了持明的龙尊传承，还触犯了「十恶逆」的大罪。为此我作为他的转世之身，需要代他受过。<br>流放后，我在外面也接触到了不少关于饮月的故事…仙舟的说书人和幻戏作者似乎很是偏爱此人的英雄壮举，将他与朋友们的故事谱写话本，到处传唱。他究竟是何许人也…一时间，我也分不清。,default,
25,|备注2='''景元：'''<br><small>在不同的人心中，丹枫能是龙的化身、是英雄、是巨恶…但从不是有爱恨悲欢的人。</small>,content,景元
26,|标题3=如今罗浮上还有另一位龙尊…,default,
27,|内容3=你指的是那位「衔药龙女」白露小姐。<br>自丹枫受蜕鳞之刑后许久，罗浮持明族另立了一位新的龙尊。想来龙尊对于传统不可或缺。<br>只是听说那位小姐受到严格的管束，进退全无自由，希望她未来的日子能快乐些。,default,
28,|备注3='''白露：'''<br><small>多谢丹恒先生的关心。认识了列车组的各位后，本小姐终于也知道外面的世界有多精彩啦。</small>,content,白露
29,|标题4=你接下来准备去哪儿…,default,
30,|内容4=此次返回仙舟，不仅是担心朋友们的安危，我也存有和过去种种有所了断的心思。<br>仙舟和同族不打算留难我，我自然会回到列车上，继续旅程。<br>毕竟，我是丹恒，星穹列车上的一个无名客。,default,
31,|备注4='''姬子：'''<small>欢迎回到列车，丹恒。</small><br>'''瓦尔特：'''<small>欢迎回来。</small><br>'''三月七：'''<small>果然，旅途中少了丹恒的吐槽就好像缺了什么……</small><br>'''帕姆：'''<small>丹恒乘客，智库整理的工作别忘了！</small>,content,姬子
32,}},default,
33,<center><gallery mode=nolines>,default,
34,File:丹恒•饮月角色介绍图1.jpg|角色介绍1,default,
35,File:丹恒•饮月角色介绍图2.jpg|角色介绍2,default,
36,File:丹恒•饮月角色前瞻图.jpg|角色前瞻,default,
37,File:丹恒•饮月官方故事图.jpg|角色故事,default,
38,File:丹恒•饮月手机壳.png|手机壳,default,
39,File:丹恒•饮月壁纸.jpg|手机壁纸,default,
40,</gallery></center>,default,
41,</div></div>,default,
42,{{相关光锥|丹恒•饮月}},default,
43,,default,
44,{{人物出场|丹恒•饮月}},default,
45,==相关物品==,default,
46,{{相关物品|丹恒•饮月}},default,
47,,default,
48,==人物考据==,default,
49,*普攻——泽芝：荷花的别称,content,泽芝
50,*普攻——天矢阴：矛神的异名《河图纬·龙鱼河图》：“矛神，名天矢阴。”,content,天矢阴
51,*普攻——盘拏耀跃：盘拏形容纡曲强劲。唐·杜甫曰《李潮八分小篆歌》：“八分一字直百金，蛟龙盘拏肉屈强。”,content,盘拏耀跃
52,*天赋——亢心：出自成语亢心憍气，意为性情高傲。,content,亢心
53,*额外能力——伏辰：龙尾伏辰，天文术语。龙尾，即尾宿。尾宿是东方青龙七宿中的第六宿，所以叫做龙尾。辰，又写作“䢈”，是日月交会的意思。夏历指日月交会为朔日，朔日就是每月的初一。伏，是隐藏的意思。太阳在尾宿，故尾宿隐藏不见。《左传·僖公五年》：“童谣云：丙之晨，龙尾伏辰。均服振振，取虢之旗，鹑之贲贲，天策焞焞，火中成军，虢公其奔。”,content,伏辰
54,"*额外能力——起蛰：喻使隐逸的贤才出为世用。宋·苏轼《海市》曰:""岁寒水冷天地闭，为我起蛰鞭鱼龙。""",content,起蛰
55,*秘技——蟠跃：蟠为是中国民间传说中蛰伏在地而未升天之龙。,content,蟠跃
56,----,default,
57,*定分枪分数：88分？（定分枪颇为疑惑，眼球滴溜溜转了一圈，又突然闭上，仿佛为自己被愚弄而生着闷气。）,content,定分枪分数
