line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=云无留迹,default,
4,|任务地区=仙舟「罗浮」,default,
5,|任务类型=同行任务,default,
6,|角色=镜流、丹恒、景元、刃,default,
7,|所属版本=1.4,default,
8,|任务描述=一封无落款的信被悄无声息送上列车，一位不速之客发出邀请，想邀丹恒前来一叙。,default,
9,|奖励={{图标|里程|600}}{{图标|星琼|100}}{{图标|漫游指南|6}}{{图标|遗失晶块|4}}{{图标|无生残刃|6}}{{图标|信用点|50000}},default,
10,|任务条件=完成开拓任务「[[安灵布奠，天清路远]]」,default,
11,|开放等级=34,default,
12,|相关成就=与你同行的回忆#剑折铸复良,default,
13,|相关道具=来历不明的信笺,default,
14,|相关书籍=,default,
15,|出场人物=镜流、丹恒、景元、刃、罗刹、彦卿,default,
16,|领取地点=星穹列车-观景车厢,default,
17,|系列任务=无尽形寿,default,
18,|任务编号=07,default,
19,|前置任务=<!-- *[[前置任务]] -->,default,
20,|后续任务=<!-- *[[后续任务]] -->,default,
21,|任务流程=*翻看列车上的匿名信,default,
22,*将匿名信笺交给帕姆看看,default,
23,*将信笺转交给丹恒,default,
24,*前往神策府，询问星核猎手的近况,default,
25,*与镜流交谈,default,
26,*启动迴星港的星槎生产线,default,
27,*前往星槎港口,default,
28,*放飞星槎,default,
29,*清缴工造司里横行的怪物,default,
30,*追上先行一步的彦卿,default,
31,*与白露交谈,default,
32,*为白露找回药箱,default,
33,*与镜流交谈,default,
34,*与镜流、景元交谈,default,
35,*与镜流告别,default,
36,*与彦卿告别,default,
37,*与刃告别,default,
38,*与景元告别,default,
39,}},default,
40,,default,
41,==剧情内容==,default,
42,{{提示|红色|宽度=100%|在完成本同行任务后，部分已获得「访客认证」的角色{{黑幕|罗刹}}将暂时不再造访列车和发送短信。<br>若开拓者已拥有角色但并未领取短信奖励及「访客认证」对话奖励，该奖励将通过游戏内其他方式发放。}},default,
43,,default,
44,=== 翻看列车上的匿名信 ===,default,
45,{{任务描述|一封没有落款的信静静躺在列车的观景车厢里，无人知晓其到来，一如无人知晓何人会收下它。|星穹列车-观景车厢}},default,
46,*开拓者：这是…一封信？,content,开拓者
47,:一页信纸静静躺在观景客厢的桌上，从质地与样式看来是仙舟所出。,default,
48,:纸面上，寄信人与收信者的名字全都付之阙如，只有一丝黯淡墨迹隐隐闪过。,default,
49,{{剧情选项,default,
50,|选项1=打开看看。,option,开拓者
51,|剧情1=:你展开信纸，墨迹随即浮现，仿佛有看不见的手执笔如剑，利落挥洒。片刻后，纸上的内容恢复如初。,branch_content,
52,{{折叠|标题=来历不明的信笺|内容=,default,
53,闻君返乡，倒悬古海，力挽危澜，想必已重拾旧忆。依久旷之约，吾等当重游故地，历数往事，共浮一白。,default,
54,|折叠=是}},default,
55,*开拓者：（倒悬古海，重游故地…这是封寄给丹恒的信。是什么人送来的？问问列车长吧……）,content,开拓者
56,:{{颜色|描述|获得物品{{图标|来历不明的信笺}}}},default,
57,|选项2=算了吧。,option,开拓者
58,|图标2=退出,default,
59,|剧情2=,branch_content,
60,}},default,
61,,default,
62,=== 将匿名信笺交给帕姆看看 ===,default,
63,*帕姆：帕！帕！…嗯？开拓者乘客，有事吗？,content,帕姆
64,{{剧情选项,default,
65,|选项1=桌上有一封信…,option,开拓者
66,|选项2=这信是谁送来的？,option,开拓者
67,}},default,
68,*帕姆：帕姆一直在这儿打扫，没看见有什么信呀！,content,帕姆
69,{{剧情选项,default,
70,|选项1=真是见鬼了…,option,开拓者
71,|选项2=难道有人偷偷上了列车？,option,开拓者
72,}},default,
73,*帕姆：不、不要吓唬帕姆！为什么老是有怪东西闯进列车里？帕、帕姆要提高列车的安保等级帕！,content,帕姆
74,*帕姆：这信上写了什么？,content,帕姆
75,{{剧情选项|选项1=（将信笺给帕姆看）}},default,
76,*帕姆：看来是一封邀请函…会是谁寄出的呢？丹恒乘客在罗浮仙舟上还有朋友吗？没记错的话，他说过自己被永久放逐了帕？,content,帕姆
77,{{剧情选项,default,
78,|选项1=朋友…景元？,option,开拓者
79,|剧情1=*开拓者：（不可能。如果是将军送来的信，为何会没有落款？）,branch_content,开拓者
80,|选项2=也可能是敌人…刃？,option,开拓者
81,|剧情2=*开拓者：（不会吧。丹恒的敌人，会发出这样的邀请吗？）,branch_content,开拓者
82,}},default,
83,*帕姆：不如把信给丹恒乘客瞧瞧吧？眼下他应该待在{{注音|老地方|资料室}}帕。,content,帕姆
84,{{折叠|标题=额外对话（帕姆）|内容=,default,
85,*帕姆：没人来过这节车厢，究竟是谁把信送进来的？,content,帕姆
86,*帕姆：…害帕！,content,帕姆
87,|折叠=是}},default,
88,,default,
89,=== 将信笺转交给丹恒 ===,default,
90,{{任务描述|信中所书之事含糊其辞。但显然，留下它的人想邀请丹恒前往他所熟悉的「故地」，重叙旧日情谊。|星穹列车-观景车厢}},default,
91,*丹恒：怎么了？开拓者，找我有事吗？,content,丹恒
92,{{剧情选项,default,
93,|选项1=收到一封给你的信…,option,开拓者
94,|选项2=有人邀请你故地重游…,option,开拓者
95,}},default,
96,*丹恒：…没有落款，也没有见面的时间和地点。看来寄信人认为我会记得这些事情。,content,丹恒
97,*丹恒：很显然，我让他失望了。,content,丹恒
98,{{剧情选项,default,
99,|选项1=你的表情很严肃…,option,开拓者
100,|剧情1=*丹恒：是么？我只是在思考。,branch_content,丹恒
101,|选项2=需要我帮忙吗？,option,开拓者
102,|剧情2=*丹恒：谢谢，但我自己也还未理清……,branch_content,丹恒
103,|选项3=难道是刃…,option,开拓者
104,|剧情3=*丹恒：这封信的字迹行笔确有剑士风范。,branch_content,丹恒
105,*丹恒：不过那个男人向来直接了当，「邀请」的方式也锋利无情。这样拐弯抹角的手法，不像他的作风。,content,丹恒
106,}},default,
107,*丹恒：开拓者，把信给我吧，事关丹枫的过去，我必须谨慎对待。,content,丹恒
108,----,default,
109,:{{颜色|描述|开拓者离开后，你{{黑幕|丹恒，下同}}开始研究起这封似乎属于你的信…}},default,
110,*丹恒：……,content,丹恒
111,:这封信的出现令人感到不安。你唤起云吟，一团水珠自空中凝成，浸入信纸。,default,
