line_number,content,category,character
1,{{角色语音表头|云璃|未完善=是}},default,
2,{{切换板|开始}},default,
3,{{切换板|默认显示|互动语音}},default,
4,{{切换板|默认折叠|战斗语音}},default,
5,{{切换板|显示内容}}{{角色语音,default,
6,|语音类型=初次见面,default,
7,|语音文件=云璃-初次见面,default,
8,|语音内容=我是云璃。来吧，拿上你的剑，我们交一次手，就算认识了。,default,
9,"|语音内容英语=I am Yunli. Come, take up your sword. We'll get to know each other once we've sparred.",default,
10,"|语音内容韩语=난 운리라고 해. 자, 검을 잡아 봐. 한 번 겨뤄보면 서로를 알 수 있을 거야",default,
11,|语音内容日语=私は雲璃。さあ、剣を取って。一度手合わせすれば、知り合いになれる。,default,
12,}},default,
13,{{角色语音,default,
14,|语音类型=问候,default,
15,|语音文件=云璃-问候,default,
16,|语音内容=哦，你在这里啊。剑士就该用剑来互相问候，来吧，「老铁」。,default,
17,"|语音内容英语=Oh, here you are. Swordmasters should greet each other with their swords. Old Mettle, say hi!",default,
18,"|语音内容韩语=아, 여기 있었네. 검사는 검으로 인사를 해야지. 시작하자, 「철군」",default,
19,|语音内容日语=あ、ここにいたんだ。剣士は剣で挨拶しないと…行こう、剣ちゃん。,default,
20,}},default,
21,{{角色语音,default,
22,|语音类型=道别,default,
23,|语音文件=云璃-道别,default,
24,|语音内容=你要回去了？突然想顺路去吃点好的…走吧，我买单。放心，我有爷爷给的零花钱。,default,
25,"|语音内容英语=You're leaving? Actually, I suddenly have a craving for some good food... Let's go, I'll treat you. Don't worry, I have some pocket money from grandpa.",default,
26,|语音内容韩语=가려고? 입이 좀 심심한데… 같이 가자. 내가 살게. 할아버지가 주신 용돈이 있으니까 걱정 마,default,
27,|语音内容日语=帰るの？私、どっかで美味しいものでも食べようと思ってるんだけど…あなたも一緒に行かない？私が奢るから。大丈夫、お小遣いならおじいちゃんから貰ってる。,default,
28,}},default,
29,{{角色语音,default,
30,|语音类型=关于自己•与剑对话,default,
31,|语音文件=云璃-关于自己•与剑对话,default,
32,|语音内容=剑是有脾气的，有时候觉得剑不好使，就要多摸摸它安抚它，体会手握住剑柄的触感，它会告诉你哪儿不舒服！,default,
33,"|语音内容英语=Swords have a temper. Sometimes, you have to touch them to calm them down — put the hilt of the sword in your hand, and it'll tell you what's wrong!",default,
34,|语音内容韩语=검도 성깔이 있어. 가끔 검이 잘 안 드는 것 같으면 쓰다듬어주고 달래줘야 하지. 손에 잡히는 감촉을 느끼면 검이 어디가 불편한지 알려줄 거야!,default,
35,|语音内容日语=剣には気性があるの。いつもと違って使いにくいなと思った時は、剣を撫でたり宥めたりした後、剣の柄を握って、その感触にしっかりと意識を集中させる——そうすれば、どこの調子が悪いのか教えてくれるんだ。,default,
36,}},default,
37,{{角色语音,default,
38,|语音类型=关于自己•招式,default,
39,|语音文件=云璃-关于自己•招式,default,
40,|语音内容=剑术之余，与剑的交流同等重要，这便是「招式」的意义——无论是「崩剑斩」还是「碎岩破」，只有大声喊出来练习，才不会在战场上嘴瓢。,default,
41,"|语音内容英语=In swordsmanship, skill alone isn't enough — communication with the sword is equally important. For any sword technique, whether it be the Avalanche Chop or the Boulder Breaker, you have to vocalize your techniques when you train, then you won't stumble over your words on the battlefield.",default,
42,|语音内容韩语=검술 연마도 좋지만 검과 교감하는 것도 중요해. 이게 바로 「초식」이 가지는 의미야. 「붕검참」이든 「쇄암파」든 큰 소리로 외치면서 연습해야 실전에서 말을 버벅이지 않지,default,
43,|语音内容日语=剣術の他に重要なのは、剣との交流。それも「技」の一部なの——「崩剣斬」にしても、「砕岩破」にしても、大声を出して練習しないと、戦場で言い間違えちゃう。,default,
44,}},default,
45,{{角色语音,default,
46,|语音类型=闲谈•魔剑,default,
47,|语音文件=云璃-闲谈•魔剑,default,
48,|语音内容=持有魔剑的人虽然能在剑技上一蹴而就，但说到底只是被魔剑驱遣的行尸走肉而已——胜负在人，而不在剑。,default,
49,"|语音内容英语=A cursed sword may grant a warrior great power in an instant, but in the end, they will just be a walking corpse driven by the sword. Victory is up to the wielder, not the sword.",default,
50,|语音内容韩语=마검을 지닌 사람은 검술이 일취월장하겠지만 결국은 검의 꼭두각시에 불과해. 승패는 검이 아니라 검을 쥔 사람에게 달렸어,default,
51,|语音内容日语=魔剣を持つ人は剣技が爆発的に上達するけど、所詮は魔剣に操られた歩く屍——勝負を決めるのは人であって、剣じゃない。,default,
52,}},default,
53,{{角色语音,default,
54,|语音类型=闲谈•武器,default,
55,|语音文件=云璃-闲谈•武器,default,
56,|语音内容=「老铁」是一柄尚未锤炼完成的剑胚，我会将夺来的魔剑熔进其中，因此它也被叫作「熔铁剑骸」…不过还是叫它「老铁」更亲切一些。对吧，老铁？,default,
57,"|语音内容英语=Old Mettle here is an unrefined sword into which I infuse cursed swords I've collected, so I also call it the ""Blade of Forged Remnants."" ...But I guess Old Mettle is a friendlier name. Right, Old Mettle?",default,
