line_number,content,category,character
1,{{面包屑|星海纪闻}}{{星海纪闻导航}},default,
2,{{施工中}},default,
3,{{互动文本导航}},default,
4,==通用==,default,
5,===快递箱===,default,
6,:你听到快递箱里传来窸窸窣窣的异响。你猜不到是什么生物——也可能不是——在箱子里乱动。,default,
7,-----,default,
8,:这只快递箱声称自己装着「玩具」。它最好是。,default,
9,-----,default,
10,:被随意码放的快递箱，很可能是某人冲动的代价。,default,
11,-----,default,
12,:被遗弃的快递箱。你根本想象不到它的主人究竟多么健忘，或者多么有钱。,default,
13,-----,default,
14,:一只被遗弃的快递包装盒可怜巴巴地躺在你面前。在完成了它存护货物的使命后，安然吐出了腹中最后一口气。哦对了，它还有遗言：「小心、轻放」。,content,它还有遗言
15,-----,default,
16,:仙舟的物流行业兴盛发达，如同血液中充沛的红细胞奔向这座吞天之舰的各处——而这只箱子正是其中之一。,default,
17,-----,default,
18,:你想起那些飞在空中运送货物的机巧鸟——若是它们送货时不巧爪子一滑，若是有行人不巧经过它们的下方…你摇了摇头，不敢再想下去。,default,
19,==神策府==,default,
20,===案牍库「大敌•孽物」===,default,
21,:这一列案牍库的铭牌上标注着「大敌•孽物」。,default,
22,:你信手抽出了其中一枚卷轴。展开时，一个丝绢质感的合成声音自你脑内成形。,default,
23,:「步离人，灵长目•人科•犬亚种。丰饶之民中最强盛的一支，也是仙舟联盟长久以来的大敌。」,default,
24,:「步离人具有部分犬类的解剖学特征。能征善战，擅以生物科技制造武器、铠甲甚至飞船，奴役并改造其他智慧种族在诸多星球间进行劫掠。」,default,
25,:「至目前为止，步离人为首的丰饶之民联军至少与仙舟发生过三次大规模战争。随着前任战首被云骑拘囚，其势力大不如前……」,default,
26,-----,default,
27,:这一列案牍库的铭牌上标注着「大敌•孽物」。,default,
28,:你信手抽出了其中一枚卷轴。展开时，一个丝绢质感的合成声音自你脑内成形。,default,
29,:「造翼者，灵长目•人科•有羽亚种。丰饶之民中的一支。其记录上可追溯至仙舟启航前的『古国时代』。」,default,
30,:「造翼者栖居于被称为『穹桑』的树状人工世界中，以其探出的『枝梢』跃迁至其他星球，夺取其上的资源。」,default,
31,:「在造翼者文化中，不具备飞行能力的陆行生物均被称为『尘民』，而他们则自诩『云君』，奴役其他智慧种族为其生产、修葺穹桑。」,default,
32,:「随着反物质军团在宇宙中的肆虐，造翼者的根据地一度遭受极其惨重的破坏。穹桑被伐倒，而造翼者也成了丰饶之民中少见的雇佣兵种族……」,default,
33,-----,default,
34,:这一列案牍库的铭牌上标注着「大敌•孽物」。,default,
35,:你信手抽出了其中一枚卷轴。展开时，一个丝绢质感的合成声音自你脑内成形。,default,
36,:「慧骃，灵长目•人科•有蹄亚种。丰饶之民中的一支。」,default,
37,:「慧骃一族为六肢动物，保有类似马匹的健硕躯干，后四肢着地，极善奔驰。」,default,
38,:「受步离人的蛊惑，慧骃族常常担任其冲锋时的先驱，身着生物外骨骼装甲，能在冲撞间轻易击杀敌人。」,default,
39,:「有观点认为，反物质军团中『践踏者』的出现，意味着慧骃原有的文明遭受了反物质军团的打击和奴役……」,default,
40,-----,default,
41,:这一列案牍库的铭牌上标注着「大敌•孽物」。,default,
42,:你信手抽出了其中一枚卷轴。展开时，一个丝绢质感的合成声音自你脑内成形。,default,
43,:「岁阳，无形目•魂精科•岁阳亚种。世外妖魔族类的一支。」,default,
44,:「岁阳一族为不定形的纯能量生物，充满恶意，极为致命。其记录上可追溯至仙舟漂泊的『孤航时代』。岁阳降临仙舟，引发了『夺舍之祸』的一系列灾难。」,default,
45,:「岁阳喜好寄生于有形身躯（通常为泛人类智慧种族），感应神经系统随情感而生的诸多变化。这种吃掉七情六欲的行为，会令不具形体的岁阳感到满足。」,default,
46,:「在火劫大战尾声，岁阳一族已遭彻底禁绝。即便仅有极少数尚存于朱明仙舟之上……」,default,
47,-----,default,
48,:这一列案牍库的铭牌上标注着「大敌•孽物」。,default,
49,:你信手抽出了其中一枚卷轴。展开时，一个丝绢质感的合成声音自你脑内成形。,default,
50,:「视肉，原质目•原虫科•胶状原虫亚种。世外妖魔族类的一支。」,default,
51,:「视肉是具有变形和增生能力的胶状原虫，智慧虽低，但极为致命。其行动模式与其说是敌人，不如说是一种病原体。」,default,
52,:「关于视肉的最早记录上可追溯至仙舟漂泊的『孤航时代』。岱舆与圆峤两座仙舟均曾受视肉侵蚀，人口锐减。」,default,
53,:「联盟与步离人交战过程中发现，视肉本是步离人所控制的畜牧产物。但在变异失控后，步离人放任其成为肆虐星间的灾害。云骑军经年铲除，视肉这一大患已逐渐绝迹……」,default,
54,===案牍库「大敌•烬灭」===,default,
55,:这一列案牍库的铭牌上标注着「大敌•烬灭」。,default,
56,:你信手抽出其中一枚卷轴。展开时，一个丝绢质感的合成声音自你脑内成形。,default,
57,:「绝灭大君，是『烬灭祸祖』纳努克所擢选的令使，「反物质军团」众多部队的领军者。他们受赐毁灭之力，为诸世界带去死亡和破灭。」,default,
58,:「相传纳努克座下共有七位大君，分别代表『毁灭』命途的七种极致倾向。」,default,
59,:「但有效情报甚少，其中至少仍有四位不知其名。太卜司仅能从各种观测记录与情报中推知其存在。」,default,
60,-----,default,
61,:这一列案牍库的铭牌上标注着「大敌•烬灭」。,default,
62,:你信手抽出其中一枚卷轴。展开时，一个丝绢质感的合成声音自你脑内成形。,default,
63,:「作为纳努克座下七位大君之一，『焚风』痴迷于事物在毁灭瞬间所爆发的力量与美感。他所拥有的力量，也足以让他取代千军万马，对一个世界下达死亡判决。」,default,
64,:「曾点燃新伯利恒的太阳，以巨量辐射炙烤其地表，使之玻璃化；曾在亚甸星上掀起巨大的气旋，将其生态系统破坏殆尽……」,default,
65,:「焚风的出现预示着一颗星球即将经历最壮丽、也是最为迅速的毁灭。」,default,
66,-----,default,
67,:这一列案牍库的铭牌上标注着「大敌•烬灭」。,default,
68,:你信手抽出其中一枚卷轴。展开时，一个丝绢质感的合成声音自你脑内成形。,default,
69,:「星啸是反物质军团的先锋将军，也是烬灭祸祖最常派遣的大君。其部队遍布银河，在群星间织出行军路径和毁灭的道路。」,default,
70,:「星啸所率部属与曜青、朱明与方壶仙舟的先遣部队均有交战记录。在云骑无畏的战斗下，她的计划并未得逞。」,default,
71,-----,default,
72,:这一列案牍库的铭牌上标注着「大敌•烬灭」。,default,
73,:你信手抽出其中一枚卷轴。展开时，一个丝绢质感的合成声音自你脑内成形。,default,
74,:「许多世界均自信于发达的科技所向无敌，尤其是公司所辖之处。但『铁墓』证明了他们的盲目乐观。」,default,
75,:「在反物质军团入侵高度文明的世界时，纳努克会优先派出铁墓『静默』其科技。」,default,
76,:「所有生还者的证言都指出，用于捍卫行星的科技会陷入崩溃紊乱，最终甚至倒戈指向主人，受污染的通信频道中只回荡着几个词『智慧的溃败』」,default,
77,-----,default,
78,:这一列案牍库的铭牌上标注着「大敌•烬灭」。,default,
79,:你信手抽出其中一枚卷轴。展开时，一个丝绢质感的合成声音自你脑内成形。,default,
80,:「星历7200-8100年间，星际和平公司共观察到了一百二十二个世界陷入不明原因的混乱，最终它们被反物质军团全数击溃。」,default,
81,:'''罗浮主线完成前''',default,
82,:「所有世界的灭亡都归结于同一个原因：内部信仰体系的冲突、精神支柱的幻灭、弃绝希望。」,content,所有世界的灭亡都归结于同一个原因
83,:「可以说，在反物质军团登陆前，这些世界早已是失去灵魂的空壳了。无人知晓这是哪位大君的手笔，也无人知道这些混乱是如何发生的。」,default,
84,:'''罗浮主线完成后''',default,
