line_number,content,category,character
1,{{面包屑|星海纪闻}}{{星海纪闻导航}},default,
2,{{施工中}},default,
3,{{互动文本导航}},default,
4,==「白日梦」酒店-现实==,default,
5,===通用===,default,
6,====侧厅门====,default,
7,:这样的门连接着一间间侧厅——酒店的五脏六腑。但梦境显然比它们更值得开拓。,default,
8,----,default,
9,:紧闭的门并不会断绝探索的可能——它们终将开启，只要你耐心等待。,default,
10,----,default,
11,:这座酒店为宾客们准备了许多现实娱乐，但它们都不如梦境有吸引力。,default,
12,===酒店大堂-大堂===,default,
13,====梦境电话====,default,
14,:「您正在呼叫的是，『蓝调的时刻』。愿您在梦泡之海的舞会上被浪漫垂青。」,default,
15,----,default,
16,:「您正在呼叫的是，『薄暮的时刻』。愿您在匹诺康尼拍卖会中收获心仪的宝物。」,default,
17,----,default,
18,:「您正在呼叫的是，『星辰的时刻』。愿您在机动球大赛中旗开得胜、一车当先。」,default,
19,----,default,
20,:「您正在呼叫的是，『太阳的时刻』。『初醒图书馆』将随时对您敞开大门。」,default,
21,----,default,
22,:「您正在呼叫的是，『绿洲的时刻』。愿您在日光公园的午后尽享安恬。」,default,
23,----,default,
24,:<font color=red>「不要打给『安谧的时刻』！重复一遍，不要打给『安谧的时刻』！那里不对外开放！」</font><ref>拨给「安谧的时刻」获得成就[[与你同行的回忆#您拨打的号码暂时无法接通]]</ref>,default,
25,====图腾====,default,
26,:象征家族的图腾，宣示了五大家系对梦境的统治和维护。,default,
27,----,default,
28,:关于这个图腾所指的家系，来宾们议论纷纷。有人说它头顶的三叶草是苜蓿草家的象征，有人则说它中心的纹路代表了橡木家系。,default,
29,:外来者们无法理解的是，匹诺康尼的五大家系真能做到不分彼此，万众如一。图腾的归属于他们而言甚至不如游客的一声喷嚏紧要。,default,
30,====显示屏====,default,
31,:「使用入梦池前，请勿饮用过多苏乐达。」,default,
32,----,default,
33,:「想要品尝『元年苏乐达』的味道吗？赶快前往『黄金的时刻』吧！」,default,
34,----,default,
35,:「想来一场梦幻般美妙的邂逅吗？『蓝调的时刻』在等着你！」,default,
36,====球笼====,default,
37,:飞轮2001，仓鼠骑士同款球笼，通体流线型设计，百公里加速仅耗时2.5秒，助您迅速抵达酒店和梦境的每个角落。详情请咨询「奥帝购物中心」。,default,
38,====行李====,default,
39,:堆叠的访客行李。即使在去往梦境的途中，有些人也想让自己拿得更多。,default,
40,----,default,
41,:有时候，即便是「想要做个美梦」这种事情，也需要你拥有坚实的经济基础。,default,
42,====自助手续====,default,
43,:能够自动办理入住手续的机器。但由于操作繁琐，许多访客还是更青睐人工通道。,default,
44,====防护栏====,default,
45,:前面的路被拦住了。作为一个礼貌的无名客，你应该知趣地选择掉头。,default,
46,----,default,
47,:这条路肯定事出有因才会被拦住…还是遵循酒店的规矩吧。,default,
48,====奇异植物====,default,
49,:这处花坛里种的是三日卷柏——闻名宇宙的复苏植物。,default,
50,----,default,
51,:据说在非自然死亡时，它只需阳光照射三天就能起死回生，因此也被戏称作「宇宙中最好养活的盆栽」。,default,
52,----,default,
53,:不过由于缺少阳光，这一坛的长势只能算凑合。,default,
54,====NPC旁听对话====,default,
55,:待机文本（工作人员）：出于安全方面的考虑。,content,工作人员
56,:待机文本（工作人员）：严禁携带燃油类物品。,content,工作人员
57,:待机文本（智械游客）：可这对智械并不公平。,content,智械游客
58,----,default,
59,:待机文本（老先生）：要入梦了，真期待啊…,content,老先生
60,:待机文本（老妇人）：做个梦还那么激动…,content,老妇人
61,:待机文本（老妇人）：…你又不是小孩子了,content,老妇人
62,:待机文本（老先生）：我的心可还年轻着~,content,老先生
63,----,default,
64,:待机文本（男性）：我们是不是见过。,content,男性
65,:待机文本（男性）：就在昨天的梦里。,content,男性
66,:待机文本（女性）：这是新的搭讪方法吗。,content,女性
67,----,default,
68,:待机文本（男性皮皮西人）：你看我像钟表小子吗？,content,男性皮皮西人
69,:待机文本（女性皮皮西人）：除了身高哪里都不像。,content,女性皮皮西人
70,----,default,
71,:待机文本（沙发上的皮皮西人）：困死了……,content,沙发上的皮皮西人
72,:待机文本（沙发上的皮皮西人）：我今天不去梦里了。,content,沙发上的皮皮西人
73,:待机文本（沙发旁的皮皮西人）：这才八点啊。,content,沙发旁的皮皮西人
74,----,default,
75,:待机文本（红衣老人）：梦里的景点太多……,content,红衣老人
76,:待机文本（红衣老人）：不知道该从哪逛起。,content,红衣老人
77,:待机文本（黄发女性）：要不去跟团吧。,content,黄发女性
78,:待机文本（绿衣老人）：来来来！包您满意！,content,绿衣老人
79,----,default,
80,:待机文本（女性）：为什么会有你的记录？,content,女性
81,:待机文本（女性）：你是和谁一起住的？,content,女性
82,:待机文本（男性）：亲爱的，你听我解释。,content,男性
83,----,default,
84,:待机文本（老人）：能订制去月球的梦吗？,content,老人
85,:待机文本（前台）：当然可以。,content,前台
86,:待机文本（老人）：那就…麻烦订两人份。,content,老人
87,----,default,
88,:待机文本（男性）：…人脸识别失败？,content,男性
89,:待机文本（女性）：你现在的样子和照片。,content,女性
90,:待机文本（女性）：差的有点大……,content,女性
91,:待机文本（女性）：该不会是在骗我吧？,content,女性
92,----,default,
93,:待机文本（戴帽女性）：信用卡额度不足……,content,戴帽女性
94,:待机文本（粉裙女性）：可以试试安心住借贷呀。,content,粉裙女性
95,----,default,
96,:待机文本（男性皮皮西人）：我比底座还高诶。,content,男性皮皮西人
97,:待机文本（女性皮皮西人）：但我能碰到中间的球。,content,女性皮皮西人
98,:待机文本（女性皮皮西人）：优势在我！,content,女性皮皮西人
99,----,default,
100,:待机文本（蹲着的工作人员）：为什么行李箱会动？,content,蹲着的工作人员
101,:待机文本（站着的工作人员）：八成装着皮皮西人。,content,站着的工作人员
102,:待机文本（蹲着的工作人员）：快自己爬出来！,content,蹲着的工作人员
103,:待机文本（站着的工作人员）：偷渡是违法的！,content,站着的工作人员
104,----,default,
105,:待机文本（黄发男性）：梦里什么都有。,content,黄发男性
106,:待机文本（戴帽男性）：现实里什么都没。,content,戴帽男性
107,----,default,
108,:待机文本（看显示屏的男子）：怎么又晚点了…,content,看显示屏的男子
109,:待机文本（看显示屏的男子）：房费可是很贵的！,content,看显示屏的男子
110,===酒店大堂-贵宾层===,default,
111,====客房====,default,
112,:阵阵音乐从门后传来，里面或许正在举办一场舞会。,default,
113,:你听见男男女女的笑声彼此交叠…如果你也是其中之一，你会邀请谁呢？,default,
114,----,default,
115,'''首次触发''',default,
116,:一对男女的争吵声从门后传来……,default,
117,*男人：早就跟你说过，我们付不起这么高的房费！我们已经没有信用点了！,content,男人
118,*女人：怎么会这样…我的美梦，我的美梦还没结束！你赔！,content,女人
119,*男人：别闹了，趁退房时间还没过，赶紧走吧。,content,男人
120,'''后续触发''',default,
121,:房间里只余一片死寂……,default,
122,----,default,
123,'''首次触发''',default,
124,:什么声音都没有。你尝试将耳朵贴在门板上，细心去察觉。恍神间，你好像听到了枪械上膛的声响，就在房门对面。,default,
125,*？？：…谁？,content,
126,:声音很虚弱，像是随时会断气那般。并且，你清楚记得你没有敲门。,default,
127,{{剧情选项,default,
128,|选项1=你好，查水表的。,option,开拓者
129,|选项2=……,option,开拓者
130,}},default,
131,*？？：走开…别多管闲事！,content,
132,:声嘶力竭的呼喊过后，一切归于平静。,default,
133,'''后续触发''',default,
134,:房间里没有传来任何声响。,default,
135,----,default,
136,'''首次触发''',default,
137,:门后传来噼里啪啦的老式打字机声响，清脆而急促，随后是纸张被狠狠撕碎的声音，每次撕扯仿佛都带着无边的疯狂与恨意。,default,
138,:紧接着，你听见有个男人反复念叨着什么。,default,
139,*？？：只工作不玩耍，聪明的孩子也变傻~,content,
