line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务|任务名称=从凶险和泥泞的沼泽中,default,
3,|任务地区=雅利洛-Ⅵ,default,
4,|任务类型=开拓任务,default,
5,|所属版本=1.0,default,
6,|任务描述=可可利亚已经战败，星核的影响也随着她的消亡而减弱。<br>为了让第一世界的人们坦然接受大守护者战死的事实，布洛妮娅编织了一个善意的谎言。<br>希儿带着被疲劳击穿的布洛妮娅赶回了上层区。同时，必须也有人将胜利的讯息带给下层区的人们。,default,
7,|奖励={{图标|里程|150}}{{图标|冒险记录|4}}{{图标|《喧哗》|1}}{{图标|信用点|8000}},default,
8,|任务条件=完成[[过去早已无路可通]],default,
9,|开放等级=24,default,
10,|出场人物=三月七、丹恒、娜塔莎、奥列格、安东尼娜、虎克、尤利安、阿里娜、歌蒂、匹克、约书亚、克拉拉、史瓦罗、瓦尔特、布洛妮娅,default,
11,|相关道具=,default,
12,|系列任务=于曈昽的骄阳下,default,
13,|任务编号=09,default,
14,|前置任务=*[[这里的黎明……]],default,
15,*[[过去早已无路可通]],default,
16,|后续任务=*[[时不我待，我的朋友]],default,
17,|任务流程=*向娜塔莎回报胜利的喜讯,default,
18,*前往大矿区，安抚下层区居民/前往铆钉镇，找到鼹鼠党的成员/将好消息带给歌德大饭店的歌蒂,default,
19,*回去找娜塔莎,default,
20,*前往机械聚落，向克拉拉和史瓦罗报信,default,
21,*跟随机器人帕金斯,default,
22,*向克拉拉和史瓦罗报信,default,
23,}},default,
24,==剧情内容==,default,
25,=== 向娜塔莎回报胜利的喜讯 ===,default,
26,{{任务描述|可可利亚已经战败，星核的影响也随着她的消亡而减弱。<br>为了让第一世界的人们坦然接受大守护者战死的事实，布洛妮娅编织了一个善意的谎言。<br>希儿带着被疲劳击穿的布洛妮娅赶回了上层区。同时，必须也有人将胜利的讯息带给下层区的人们。|雅利洛-Ⅵ-磐岩镇}},default,
27,*三月七：看，诊所附近聚集了好多人呀！,content,三月七
28,*三月七：难道他们也被刚才的战斗波及到了…快过去问问看吧。,content,三月七
29,{{折叠|折叠=是|标题=待机文本|内容=,default,
30,老爷爷：完了完了，这下完了——<br>,content,老爷爷
31,老爷爷：我连遗嘱都还没立！<br>,content,老爷爷
32,老奶奶：你紧张个什么劲？<br>,content,老奶奶
33,老奶奶：咱本来就没多少财产…}},content,老奶奶
34,,default,
35,{{折叠|折叠=是|标题=待机文本|内容=,default,
36,男性：刚才那是什么动静？<br>,content,男性
37,男性：我还以为屋子要塌了…<br>,content,男性
38,女性：地面一直在剧烈晃动…<br>,content,女性
39,女性：是裂界造成的吗？}},content,女性
40,{{折叠|折叠=是|标题=待机文本|内容=,default,
41,小女孩：叔叔，是地震了吗？<br>,content,小女孩
42,男性：不对，不是地震…<br>,content,男性
43,小女孩：那是雪崩了吗？<br>,content,小女孩
44,男性：呃，应该也不是…<br>,content,男性
45,小女孩：那是世界末日吗？<br>,content,小女孩
46,男性：有可能…}},content,男性
47,*三月七：娜塔莎，奥列格！久等了啦！,content,三月七
48,*娜塔莎：啊——他们回来了！,content,娜塔莎
49,*奥列格：没想到这么快！看精神状态，各位带来的应该是好消息吧？,content,奥列格
50,*三月七：那是当然！你肯定想象不到，我们费了好~大的力气——,content,三月七
51,:{{颜色|描述|丹恒瞪了三月七一眼…}},default,
52,*三月七：…呃，还是开拓者来说吧，我不擅长汇报工作，说错话就尴尬了。,content,三月七
53,{{剧情选项,default,
54,|选项1=守护者牺牲自己封印了星核。,option,开拓者
55,|剧情1=*丹恒：我们参与了战斗，见证了整个过程。,branch_content,丹恒
56,*三月七：你们两个还真是面不改色呀…难道这是拥有神秘过去的人必备的素养吗？,content,三月七
57,|选项2=丹恒，要不还是你说吧…,option,开拓者
58,|剧情2=*丹恒：大守护者可可利亚牺牲了自己，封印了「星核」。我们参与了战斗，见证了整个过程。,branch_content,丹恒
59,*三月七：丹恒还真是面不改色呀…不愧是隐瞒了自己神秘过去的家伙。,content,三月七
60,}},default,
61,*娜塔莎：可可利亚？她为了贝洛伯格…唔…我明白了。,content,娜塔莎
62,*奥列格：所以，下层区此前感受到的剧烈震动，就是那场战斗导致的，对吗？,content,奥列格
63,{{剧情选项,default,
64,|选项1=是的，胜利来之不易。,option,开拓者
65,|选项2=其实我们才是最大功臣…,option,开拓者
66,|剧情2=*三月七：…你真会挑时候邀功！}},branch_content,三月七
67,*娜塔莎：…谢谢你们。虽然很难想象你们究竟在上面经历了什么，但万幸结果是好的。,content,娜塔莎
68,*娜塔莎：那希儿她？,content,娜塔莎
69,*三月七：放心吧，她没事！布洛妮娅身体抱恙，希儿先带她去找铁卫了。,content,三月七
70,*娜塔莎：那就好…你们都没事真是太好了。,content,娜塔莎
71,*奥列格：可可利亚牺牲了，那个铁卫姑娘就会接过「大守护者」的位子吧？,content,奥列格
72,*奥列格：她是个意志坚定，言出必行的姑娘。有了她的帮助，下层区一定能重获新生。,content,奥列格
73,*三月七：嗯！我们也带了布洛妮娅的口信来哦——「封锁很快就会结束，下层区的人们很快就能自由地呼吸了」。,content,三月七
74,*娜塔莎：「自由地呼吸」…没错，那就是我们一直以来的愿望。,content,娜塔莎
75,*娜塔莎：三月，丹恒还有开拓者——能再请你们帮一个忙吗？我想把象征希望的好消息告诉大家，缓解紧张情绪。,content,娜塔莎
76,{{剧情选项,default,
77,|选项1=非常乐意。,option,开拓者
78,|选项2=很期待人们的表情。}},option,开拓者
79,*娜塔莎：谢谢你们。该先去找谁就请各位决定吧，其余的交给地火就好。,content,娜塔莎
80,*三月七：下层区跟我们打过交道的人可真不少呢…开拓者，你觉得该先去找谁呢？,content,三月七
81,{{剧情选项,default,
82,|选项1=先通知大矿区的矿队吧。,option,开拓者
83,|选项2=去找虎克和鼹鼠党吧。,option,开拓者
84,|选项3=先去通知歌蒂吧。}},option,开拓者
85,*娜塔莎：我明白了，剩下的人就交由我们通知吧。如果一切顺利…这应该就是「地火」最后的任务了。,content,娜塔莎
86,<tabber>,default,
87,前往大矿区，安抚下层区居民=,default,
88,=== 前往大矿区，安抚下层区居民 ===,default,
89,{{任务描述|可可利亚已经战败，星核的影响也随着她的消亡而减弱。<br>战斗引发的巨大震动让下层区的居民有些担惊受怕，娜塔莎希望你能去安抚一下他们的情绪，将好消息带给所有人。<br>去大矿区看看情况如何吧。|雅利洛-Ⅵ-大矿区}},default,
90,*三月七：大矿区那边…会不会也受到刚才的战斗影响了啊？,content,三月七
91,*丹恒：但愿没有引起塌方事故。,content,丹恒
92,*三月七：看，安东尼娜！那些矿工又和流浪者在一起。,content,三月七
93,*三月七：难道他们又要吵架了…快上去看看！,content,三月七
94,*安东尼娜：——我们手上的物资也不富裕，这些你们就先拿去吧。,content,安东尼娜
95,*谦逊的流浪者：这点玩意我们也不缺，你们留着……,content,谦逊的流浪者
96,*三月七：喂！你们这帮家伙，是不是又在挑事？,content,三月七
97,*安东尼娜：是你们？不不，大家都误会了——,content,安东尼娜
98,*安东尼娜：矿区刚才经历了剧烈的震颤，又发生了小规模的塌方。多亏了这些路过的流浪者伸出援手，矿工弟兄们才得以全身而退。,content,安东尼娜
99,*安东尼娜：我们刚刚就是在商量该怎么感谢他们，毕竟矿队现在也是囊中羞涩……,content,安东尼娜
100,{{剧情选项,default,
101,|选项1=告诉你们一个天大的好消息。,option,开拓者
102,|剧情1=*安东尼娜：好消息？和我们有关的？这我可得好好听听……,branch_content,安东尼娜
103,|选项2=我来帮你们出钱。,option,开拓者
104,|剧情2=*三月七：呃…能让布洛妮娅帮咱们报销吗？,branch_content,三月七
105,*三月七：哎呀，跑偏了——开拓者，快把好消息告诉大家吧！,content,三月七
106,}},default,
107,*安东尼娜：你们的意思是…我们很快就能和上层区重新建立沟通了？,content,安东尼娜
108,*谦逊的流浪者：简直难以置信！这…我这不会是在做梦吧？！这种好事真的会发生在我们身上吗？,content,谦逊的流浪者
109,*三月七：才不是做梦！不信的话，你狠狠掐自己一把就知道啦。,content,三月七
110,*安东尼娜：如果一切都能恢复到十几年以前的样子…那矿队就不必生活在饥寒交迫之下了。,content,安东尼娜
111,*安东尼娜：…你们也不用再像现在这样寄人篱下，没有尊严地活着了。,content,安东尼娜
