line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务|任务名称=他们有多少人已掉进深渊,default,
3,|任务地区=雅利洛-Ⅵ-磐岩镇,default,
4,|任务类型=开拓任务,default,
5,|所属版本=1.0,default,
6,|任务描述=布洛妮娅被恶徒围攻之际，「地火」骨干希儿及时赶到解围，却转头又与铁卫少女对峙起来。<br>,default,
7,最终，希儿终于表明来意：原来是「地火」首领奥列格要求面见这位来自地上的高贵少女。<br>,content,希儿终于表明来意
8,而你们自然不能放过这个接触「地火」的机会。按照希儿的指示，立刻前往「大矿区」吧！,default,
9,|奖励={{图标|里程|600}}{{图标|星琼|80}}{{图标|深邃的星外质|2}}{{图标|冒险记录|6}}{{图标|凝缩以太|3}}{{图标|《苍逝冷阳》|1}},default,
10,|任务条件=完成[[她等待刀尖已经太久]],default,
11,|开放等级=14,default,
12,|出场人物=希儿、布洛妮娅、三月七、丹恒、娜塔莎、姬子、瓦尔特、匹克、伊蕾恩、查宝、安东尼娜、克拉拉、史瓦罗、奥列格,default,
13,|相关道具=矿车销子、矿车轮对,default,
14,|系列任务=于枯索的冬夜里,default,
15,|任务编号=08,default,
16,|前置任务=*[[她等待刀尖已经太久]],default,
17,|后续任务=*[[相会在日落时分]],default,
18,|任务流程=*到「大矿区」的入口寻找希儿,default,
19,*进入「大矿区」,default,
20,*调查矿区的骚乱,default,
21,*深入矿区，救助沿途的矿民,default,
22,*深入矿区，救助沿途的矿民,default,
23,*继续深入矿区,default,
24,*继续深入矿区,default,
25,*继续深入矿区,default,
26,*使用「家用寻物仪」搜寻矿车部件,default,
27,*修理报废矿车,default,
28,*继续深入矿区，寻找奥列格,default,
29,}},default,
30,==剧情内容==,default,
31,=== 到「大矿区」的入口寻找希儿 ===,default,
32,{{任务描述|布洛妮娅被恶徒围攻之际，「地火」骨干希儿及时赶到解围，却转头又与铁卫少女对峙起来。<br>,default,
33,最终，希儿终于表明来意：原来是「地火」首领奥列格要求面见这位来自地上的高贵少女。<br>,content,希儿终于表明来意
34,而你们自然不能放过这个接触「地火」的机会。按照希儿的指示，立刻前往「大矿区」吧！}},default,
35,*希儿：嘿，来得挺快啊。,content,希儿
36,{{剧情选项,default,
37,|选项1=地火在矿区做什么？,option,开拓者
38,|选项2=地火遇到了什么麻烦？}},option,开拓者
39,*希儿：原来我没说过么？唔，那长话短说：,content,希儿
40,*希儿：地下原本有许多矿区，但是近几年一种叫裂界的侵蚀在地底蔓延，许多矿场都遭了殃，没法再开采了。,content,希儿
41,*希儿：我们要去的这片矿区保留得相对完整，环境还算干净。一群老家被裂界吞了的流浪者跑去那儿安了新家。其实这伙人嘛，大部分还算老实……,content,希儿
42,*希儿：但人多了，免不了混进去些喜欢挑事的杂碎。结果就是：流浪者三天两头跟矿工干仗，还经常偷抢矿民的物资——这还算小打小闹。,content,希儿
43,*希儿：这次的情况不一样…就这两天，矿工和流浪者间突然爆发了大规模的冲突，场面相当难看。,content,希儿
44,*希儿：矿区是地底的生命线，必须保证地髓供给，我们才能从运输线拿到地上配给的物资。,content,希儿
45,*希儿：为了平息事态，奥列格首领带着「地火」扎进矿区，把城镇治安交给了我。但里面情况吃紧，我也得去支援……,content,希儿
46,{{剧情选项,default,
47,|选项2=没太听懂，你能再说一遍吗？,option,开拓者
48,|图标2=对话,default,
49,|剧情2=*希儿：地下原本有许多矿区，但是近几年一种叫裂界的侵蚀在地底蔓延，许多矿场都遭了殃，没法再开采了。,branch_content,希儿
50,*希儿：我们要去的这片矿区保留得相对完整，环境还算干净。一群老家被裂界吞了的流浪者跑去那儿安了新家。其实这伙人嘛，大部分还算老实……,content,希儿
51,*希儿：但人多了，免不了混进去些喜欢挑事的杂碎。结果就是：流浪者三天两头跟矿工干仗，还经常偷抢矿民的物资——这还算小打小闹。,content,希儿
52,*希儿：这次的情况不一样…就这两天，矿工和流浪者间突然爆发了大规模的冲突，场面相当难看。,content,希儿
53,*希儿：矿区是地底的生命线，必须保证地髓供给，我们才能从运输线拿到地上配给的物资。,content,希儿
54,*希儿：为了平息事态，奥列格首领带着「地火」扎进矿区，把城镇治安交给了我。但里面情况吃紧，我也得去支援……,content,希儿
55,|选项1=我明白了，出发吧。,option,开拓者
56,|剧情1=,branch_content,
57,}},default,
58,*希儿：对了，还有你——等见到了首领，得让他决定该怎么处置你。,content,希儿
59,*布洛妮娅：正好，我本来就想见见下层区的领导者。,content,布洛妮娅
60,*希儿：哼，行啊，你也亲眼看看地下现在乱成了什么样吧。,content,希儿
61,,default,
62,=== 进入「大矿区」 ===,default,
63,{{任务描述|你们和布洛妮娅被恶徒围攻之际，「地火」骨干希儿及时赶到解围，却转头又与铁卫少女对峙起来。<br>,default,
64,最终，希儿终于表明来意：原来是「地火」首领奥列格要求面见这位来自地上的高贵少女。<br>,content,希儿终于表明来意
65,而你们自然不能放过这个接触「地火」的机会，现在只要在这矿区找到希儿就可以了…可她在哪里呢？}},default,
