line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=仙骸成空，大劫有终,default,
4,|任务地区=仙舟「罗浮」,default,
5,|任务类型=开拓任务,default,
6,|所属版本=1.2,default,
7,|任务描述=在所有人面前，丹恒显露出他不愿为人所知的面貌——持明龙尊之相，并以其力量分开古海之水，露出通向建木玄根的道路。<br>在你们前行时，绝灭大君幻胧已捷足先登，深入其中，擘画着对罗浮长生种的阴谋。,default,
8,|奖励=无,default,
9,|任务条件=开拓任务[[有龙矫矫，其渊渺渺]]中开启,default,
10,|开放等级=34,default,
11,|相关成就=通往群星的轨道#若木折枝,default,
12,|相关道具=,default,
13,|相关书籍=,default,
14,|出场人物=景元、三月七、瓦尔特、丹恒•饮月、幻胧,default,
15,|系列任务=云树百丈蔽重楼,default,
16,|任务编号=05,default,
17,|前置任务=*[[有龙矫矫，其渊渺渺]],default,
18,|后续任务=<!-- *[[后续任务]] -->,default,
19,|任务流程=*击败劫夺建木的幻胧,default,
20,}},default,
21,==剧情内容==,default,
22,:{{颜色|描述|丹恒将你们带入建木玄根的最深处，见到了已经捷足先登的绝灭大君幻胧…}},default,
23,*幻胧：唔？嘻嘻，来者是罗浮的将军吗？,content,幻胧
24,*三月七：那个坏东西！果然在这儿等着咱们。出来啊，幻胧！,content,三月七
25,*幻胧：「恩公」也来了？切莫心急，「小女子」还未梳妆完毕呢。,content,幻胧
26,,default,
27,===击败劫夺建木的幻胧===,default,
28,{{任务描述|在所有人面前，丹恒显露出他不愿为人所知的面貌——持明龙尊之相，并以其力量分开古海之水，露出通向建木玄根的道路。<br>在你们前行时，绝灭大君幻胧已捷足先登，深入其中，擘画着对罗浮长生种的阴谋。|仙舟「罗浮」-鳞渊境-建木玄根}},default,
29,*幻胧：难怪药王秘传自信高人一等…这建木仙迹确有化生再造的力量。,content,幻胧
30,*景元：各位，务必小心。,content,景元
31,*景元：丹恒，我的后背，就拜托你了。,content,景元
32,*丹恒：我明白。,content,丹恒
33,{{折叠|标题=额外对话（停留太久，不与幻胧对战）|内容=,default,
34,*幻胧：刚才是哪个小坏蛋想要找我来着？,content,幻胧
35,*幻胧：怎么这会儿没了动静？,content,幻胧
36,|折叠=是}},default,
37,----,default,
38,:{{颜色|描述|你们走近幻胧…}},default,
39,*三月七：幻胧…她在做什么？,content,三月七
40,:{{颜色|描述|金色的火焰随着莲花升起，随后化为巨大的女人身形…}},default,
41,:{{颜色|描述|进入战斗}},default,
42,*幻胧：列位，瞧见这具美丽的肉身了吗…「丰饶」神迹，名不虚传。,content,幻胧
43,*幻胧：让我看看，能用她做些什么。,content,幻胧
44,*幻胧：很好，就用这赐予仙舟长生的力量，为你们带来「毁灭」吧！,content,幻胧
45,*景元：幻胧已攫取建木的力量为己所用…,content,景元
46,*景元：诸位，尽力剿灭这些幻花，由我来击破她的肉身。,content,景元
47,:{{颜色|描述|攻击一回合后，幻胧施放技能「扫尽尘云」}},default,
48,*幻胧：真是大言不惭，妄想破坏这建木所生的贵体。,content,幻胧
49,*幻胧：以幻胧看来，各位现在像蝼蚁般渺小呢。,content,幻胧
50,*三月七：好、好大的风！,content,三月七
51,*瓦尔特：小心，三月！,content,瓦尔特
52,:{{颜色|描述|幻胧对景元施放技能「盘根」}},default,
53,*幻胧：试试挣脱这道囚笼吧。,content,幻胧
54,*景元：区区藤萝，一剑即可斩断。,content,景元
55,*幻胧：逞强。,content,幻胧
56,----,default,
57,:{{颜色|描述|进入二阶段，幻胧施放技能「悬星碎月」}},default,
58,*幻胧：要碾碎蝼蚁，没有比坠下一颗星星更合适的了。,content,幻胧
59,:{{颜色|描述|幻胧召来毁灭的权柄…}},default,
60,*幻胧：宇宙的一切都将以「毁灭」作结，「丰饶」与「巡猎」也不例外…,content,幻胧
61,:{{颜色|描述|攻击一回合后}},default,
62,*幻胧：仙舟的将军，你那微不足道的力量，能否撑过这场浩劫？,content,幻胧
63,:{{颜色|描述|破灭玄莲对景元施放技能「玄气噬身」}},default,
64,*景元：丹恒…接下来，交给你了。,content,景元
65,:{{颜色|描述|丹恒施放技能「云吟怒啸」}},default,
66,*丹恒：以为自己胜券在握了吗，幻胧？,content,丹恒
67,*幻胧：喔？是「不朽」的龙裔么？,content,幻胧
68,*幻胧：你终于前来履行守望建木的职责了？,content,幻胧
69,----,default,
70,:{{颜色|描述|进入三阶段}},default,
71,*景元：幻胧，虽然你将我们视如蝼蚁…,content,景元
72,*景元：但能与蝼蚁打得如此有来有回，你也可称得上绝灭大君之中头一个了。,content,景元
73,*幻胧：将军的意思是想再见见其他几位？只怕…你们没有机会了。,content,幻胧
74,:{{颜色|描述|幻胧施放技能「玄根化生」}},default,
75,:{{颜色|描述|景元施放终结技}},default,
76,*景元：这般不新鲜的把戏，不必再用了吧！,content,景元
77,----,default,
78,:{{颜色|描述|将{{图标|不死神实•幻胧}}击败至1%血量}},default,
79,*幻胧：不碍事，蝼蚁濒死的反扑，显得分外凄丽…,content,幻胧
80,:{{颜色|描述|幻胧施放技能「玄根化生」}},default,
81,*幻胧：下一出戏目里，我要将各位炮制成虚卒。,content,幻胧
82,*幻胧：让「毁灭」的力量侵蚀各位的血肉，将你们铸成纳努克大人的棋子！,content,幻胧
83,*幻胧：决定了，就从这傲慢不可一世的仙舟将军开始吧…！,content,幻胧
84,:{{颜色|描述|幻胧使用破灭玄莲对景元施放技能「破灭」}},default,
85,{{折叠|标题=过场动画|内容=,default,
86,:{{颜色|描述|幻胧一掌拍向景元，随后将濒死的景元浮到空中…}},default,
87,*幻胧：哈哈哈哈哈……,content,幻胧
88,:{{颜色|描述|幻胧不断向景元注入毁灭的力量…}},default,
89,*幻胧：不知道如果把仙舟将军变成一名虚卒,content,幻胧
90,*幻胧：罗浮会不会再来一次内乱？,content,幻胧
91,*幻胧：这样的「毁灭」比较有趣呢……,content,幻胧
92,:{{颜色|描述|景元从容地抬头看向幻胧…}},default,
93,*幻胧：你还想——,content,幻胧
94,:{{颜色|描述|景元通过与幻胧的连接破坏了幻胧身后的莲花…}},default,
95,*景元：丹恒！就是现在——,content,景元
