line_number,content,category,character
1,{{光锥图鉴<!-- 本段为备注信息，以下请在=后填写对应数据-->,default,
2,|名称=余生的第一天,default,
3,|稀有度=4星,default,
4,|命途=存护,default,
5,|命途材料=存护1,default,
6,|技能名称=此刻定格,default,
7,|技能效果=使装备者的防御力提高{{颜色|描述2|16%/18%/20%/22%/24%}}。进入战斗后，使我方全体的全属性抗性提高{{颜色|描述2|8%/9%/10%/11%/12%}}。同类技能无法重复生效。,default,
8,|获取方式=跃迁,default,
9,|实装版本=1.0,default,
10,|光锥TAG=防御力、全体抗性提升,default,
11,|相关角色=三月七、开拓者、帕姆,default,
12,|光锥故事=''「今天帕姆换上了新衣服，开心~喜欢~」<br>「今天过生日啦，今年的我依旧可爱。」<br>「今天我终于终于终于也有后辈啦！是不是，开拓者？」''<br><br>一次次不假思索地按下快门。<br>是为了抓住当时的快乐？<br>还是抓住当时的自己？,default,
13,|生命值=43,default,
14,|20生命值=166,default,
15,|20+生命值=218,default,
16,|30生命值=282,default,
17,|30+生命值=352,default,
18,|40生命值=416,default,
19,|40+生命值=486,default,
20,|50生命值=550,default,
21,|50+生命值=619,default,
22,|60生命值=684,default,
23,|60+生命值=753,default,
24,|70生命值=818,default,
25,|70+生命值=887,default,
26,|80生命值=952,default,
27,|攻击力=16,default,
28,|20攻击力=64,default,
29,|20+攻击力=84,default,
30,|30攻击力=110,default,
31,|30+攻击力=136,default,
32,|40攻击力=162,default,
33,|40+攻击力=189,default,
34,|50攻击力=214,default,
35,|50+攻击力=241,default,
36,|60攻击力=266,default,
37,|60+攻击力=293,default,
38,|70攻击力=318,default,
39,|70+攻击力=345,default,
40,|80攻击力=370,default,
41,|防御力=21,default,
42,|30防御力=137,default,
43,|30+防御力=171,default,
44,|20防御力=80,default,
45,|20+防御力=106,default,
46,|40防御力=202,default,
47,|40+防御力=236,default,
48,|50防御力=267,default,
49,|50+防御力=301,default,
50,|60防御力=332,default,
51,|60+防御力=366,default,
52,|70防御力=397,default,
53,|70+防御力=431,default,
54,|80防御力=463,default,
55,|晋阶材料=原核,default,
56,}},default,
57,<br>,default,
58,{{主观提示|攻略相关}},default,
59,==推荐角色==,default,
60,"{| class=""wikitable"" style=""text-align:center""",default,
61,! 角色,default,
62,! 推荐说明,default,
63,|-,default,
64,| {{角色头像|杰帕德}},default,
65,"| style=""text-align:left"" | 可以作为杰帕德的平民毕业光锥，在没有{{图标|制胜的瞬间}}以及{{图标|这就是我啦！}}的情况下是最优解。全队增益配合杰帕德的全队护盾大大提高队伍的生存能力。",default,
66,|-,default,
67,| {{角色头像|开拓者•存护}}<br>{{角色头像|三月七}},default,
68,"| style=""text-align:left"" | 存护角色的通用光锥，四星光锥中的佼佼者。拥有较高的防御力白值以及词条提高装备者的防御力，词条带来的全体的伤害抗性提高诠释了只为生存服务的理念。",default,
69,|-,default,
70,| {{角色头像|符玄}},default,
71,"| style=""text-align:left"" | 四星中比较适合符玄的光锥，提高全队的生存能力。",default,
72,|}{{WIKI底部导航|光锥=展开}},default,
