line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=假面双人舞,default,
4,|任务地区=匹诺康尼,default,
5,|任务类型=同行任务,default,
6,|角色=花火、黑天鹅,default,
7,|所属版本=2.0,default,
8,|任务描述=花火给黑天鹅留下了一封诡异的挑战状，后者不得不迎接挑战…,default,
9,|奖励={{图标|星琼|100}}{{图标|漫游指南|6}}{{图标|星火之精|3}}{{图标|空际小节|3}}{{图标|《挑战读者》|1}}{{图标|信用点|66000}},default,
10,|任务条件=完成任务[[是谁杀死了…]],default,
11,|开放等级=34,default,
12,|相关成就=与你同行的回忆#舞会进行时,default,
13,|相关道具=案情简述•其一、证物：巨型木锤、证物：沙马里的证件、证物：「相互保证毁灭」按钮、证物：金槌府邸安全规范、证物：帕姆玩偶、案情简述•其二、证物：钱可通的账簿、证物：佐罗的领带、证物：阿佑的板凳、证物：烟熏红鲱鱼、证物：钟珊的戒指,content,证物
14,|相关书籍=,default,
15,|出场人物=花火、黑天鹅、桑博,default,
16,|领取地点=,default,
17,|系列任务=梦的解析,default,
18,|任务编号=01,default,
19,|前置任务=<!-- *[[前置任务]] -->,default,
20,|后续任务=<!-- *[[后续任务]] -->,default,
21,|任务流程=*任务接取短信,default,
22,*与爱德华医生对话,default,
23,*向猎犬家系成员询问案情,default,
24,*与捕头和捕快对话,default,
25,*向捕快询问嫌疑人信息,default,
26,*调查案发现场的证物,default,
27,*整理已收集到的线索,default,
28,*进入花火藏匿谜题线索的房间,default,
29,*调查花火留下的「证物」,default,
30,*推理出谜题的解答,default,
31,*向捕头指认「凶手」,default,
32,*赶往花火即将行凶的地点,default,
33,*与警长和副警长对话,default,
34,*向副警长询问嫌疑人信息,default,
35,*调查案发现场的证物,default,
36,*整理已收集到的线索,default,
37,*进入花火藏匿谜题线索的房间,default,
38,*调查花火留下的「证物」,default,
39,*推理出谜题的解答,default,
40,*赶往花火即将行凶的地点,default,
41,*赶往花火的藏身之处,default,
42,*调查奇怪的垃圾桶,default,
43,*与爱德华医生对话,default,
44,}},default,
45,==剧情内容==,default,
46,=== 任务接取短信 ===,default,
47,{{角色对话|模板开始|爱德华医生|无意识就是大他者的话语。}},default,
48,{{角色对话|左|爱德华医生|文本|您好，开拓者先生/女士。方才有人向鄙店捐赠了一枚梦泡，经过精神波谱分析，猜测您会对这枚梦泡的内容感兴趣。}},default,
49,{{短信选项,option,开拓者
50,|选项1=听起来有点可疑…,option,开拓者
51,|剧情1={{角色对话|右|开拓者|文本|听起来有点可疑…}},branch_content,
52,{{角色对话|左|爱德华医生|文本|请勿担心，鄙店的梦境全部经过严格检定，绝无暗藏危害的可能。}},default,
53,|选项2=是谁捐赠给你的？,option,开拓者
54,|剧情2={{角色对话|右|开拓者|文本|是谁捐赠给你的？}},branch_content,
55,|选项3=你怎么知道我会感兴趣？,option,开拓者
56,|剧情3={{角色对话|右|开拓者|文本|你怎么知道我会感兴趣？}},branch_content,
57,{{角色对话|左|爱德华医生|文本|这就是精神分析，先生/女士！}},default,
58,}},default,
59,{{角色对话|左|爱德华医生|文本|捐赠者是一位优雅的女士，署名是「黑天鹅」。若您时间允许，本店随时恭候莅临。}},default,
60,{{角色对话|模板结束}},default,
61,,default,
62,=== 与爱德华医生对话 ===,default,
63,{{任务描述|你收到了一条来自爱德华医生的短信。爱德华医生邀请你前往梦境贩售店，体验一位署名「黑天鹅」的女士为你留下的梦境。你当然认识黑天鹅，但想不通她为何要为你留下一段梦境。去梦境贩售店看看吧，也许只有亲自体验，才能得到答案。|匹诺康尼-黄金的时刻}},default,
64,*爱德华医生：欢迎光临「梦境贩售店」，星穹列车的开拓客！,content,爱德华医生
65,{{剧情选项,default,
66,|选项1=你就这一句开场白吗？,option,开拓者
67,|剧情1=*爱德华医生：请见谅，对于您这样身份尊贵的客人，我难以找到更妥帖的称呼。,branch_content,爱德华医生
68,|选项2=好久不见，大眼仔。,option,开拓者
69,|剧情2=*爱德华医生：好久不见，历劫佳人。,branch_content,爱德华医生
70,}},default,
71,*爱德华医生：您一定是来体验那枚梦泡的，我已做好准备。请注意，虽然鄙店的商品均已通过「027号-欠损费勒斯」和「076号-实在界荒原」两项安全协议检验……,content,爱德华医生
72,*爱德华医生：但这场梦…它是一段尚未经过修饰和打磨的新鲜记忆，生猛又刺激。,content,爱德华医生
73,*爱德华医生：资深玩家将这种梦称为「刺身」，我不确定这点是否合您胃口。如有任何不适，请立即离开梦境，并寻求专业的医疗帮助。,content,爱德华医生
74,*爱德华医生：——很幸运，我正是一位优秀的医生，虽然是精神科的，哈哈！让我们开始吧。请您闭上眼睛，将额头抵在梦泡上。,content,爱德华医生
75,{{剧情选项,default,
76,|选项1=（触碰梦泡）,option,开拓者
77,|剧情1=,branch_content,
78,|选项2=还是有点不放心…,option,开拓者
79,|图标2=退出,default,
80,|剧情2=*爱德华医生：如果您需要时间准备，鄙店愿意无限期等待。,branch_content,爱德华医生
81,:再次对话,default,
82,*爱德华医生：准备好体验黑天鹅女士的美梦了吗？——请您闭上眼睛，将额头抵在梦泡上。,content,爱德华医生
83,{{剧情选项,default,
84,|选项1=（触碰梦泡）,option,开拓者
85,|剧情1=,branch_content,
86,|选项2=再等一下…,option,开拓者
87,|图标2=退出,default,
88,|剧情2=*爱德华医生：如果您需要时间准备，鄙店愿意无限期等待。,branch_content,爱德华医生
89,}},default,
90,}},default,
91,----,default,
92,*爱德华医生：对了，那位优雅的女士临行前还有一句赠言——,content,爱德华医生
93,*？？？：「这段记忆的性质有些特殊，为了其他顾客的梦境体验，还请不要向任何人透露它的结局。」,content,
94,{{颜色|描述|进入拓境探游[[黑天鹅的梦泡]]}},default,
95,{{提示|蓝色|宽度=100%|关于这段梦境，黑天鹅特意叮嘱了一句：「这段记忆的性质有些特殊，为了其他顾客的梦境体验，还请不要向任何人透露它的结局。」|介绍}},content,黑天鹅特意叮嘱了一句
96,----,default,
97,:{{颜色|描述|你进入了黑天鹅的梦泡…}},default,
98,*黑天鹅：…在我看来，这毫无疑问是一场「谋杀」。,content,黑天鹅
