line_number,content,category,character
1,{{面包屑}},default,
2,{{光锥图鉴导航}},default,
3,"{|class=""wikitable"" style=""width:100%;border-bottom:0;""",default,
4,|-,default,
5,"!style=""min-width:3em;""|查看全部",default,
6,|,default,
7,{{筛选项|0|0|查看全部}},option,开拓者
8,|-,default,
9,!稀有度,default,
10,|,default,
11,{{筛选项|1|3星|[[文件:3星.png|x14px|link=]]}},option,开拓者
12,{{筛选项|1|4星|[[文件:4星.png|x14px|link=]]}},option,开拓者
13,{{筛选项|1|5星|[[文件:5星.png|x14px|link=]]}},option,开拓者
14,|-,default,
15,!命途,default,
16,|,default,
17,{{筛选项|2|毁灭|[[文件:毁灭.png|25px|link=]]毁灭}},option,开拓者
18,{{筛选项|2|巡猎|[[文件:巡猎.png|25px|link=]]巡猎}},option,开拓者
19,{{筛选项|2|智识|[[文件:智识.png|25px|link=]]智识}},option,开拓者
20,{{筛选项|2|同谐|[[文件:同谐.png|25px|link=]]同谐}},option,开拓者
21,{{筛选项|2|虚无|[[文件:虚无.png|25px|link=]]虚无}},option,开拓者
22,{{筛选项|2|存护|[[文件:存护.png|25px|link=]]存护}},option,开拓者
23,{{筛选项|2|丰饶|[[文件:丰饶.png|25px|link=]]丰饶}},option,开拓者
24,|-,default,
25,!获取方式,default,
26,|,default,
27,{{筛选项|3|跃迁}},option,开拓者
28,{{筛选项|3|限定跃迁}},option,开拓者
29,{{筛选项|3|活动}},option,开拓者
30,{{筛选项|3|任务}},option,开拓者
31,{{筛选项|3|探索}},option,开拓者
32,{{筛选项|3|无名勋礼|无名勋礼}},option,开拓者
33,{{筛选项|3|世界商店}},option,开拓者
34,{{筛选项|3|模拟宇宙「黑塔的商店」}},option,开拓者
35,{{筛选项|3|行动摘要}},option,开拓者
36,{{筛选项|3|历战余响}},option,开拓者
37,{{筛选项|3|奇珍琳琅}},option,开拓者
38,{{筛选项|3|等级奖励}},option,开拓者
39,|-,default,
40,!实装版本,default,
41,|,default,
42,{{筛选项|6|1.0}},option,开拓者
43,{{筛选项|6|1.1}},option,开拓者
44,{{筛选项|6|1.2}},option,开拓者
45,{{筛选项|6|1.3}},option,开拓者
46,{{筛选项|6|1.4}},option,开拓者
47,{{筛选项|6|1.5}},option,开拓者
48,{{筛选项|6|1.6}}<br>,option,开拓者
49,{{筛选项|6|2.0}},option,开拓者
50,{{筛选项|6|2.1}},option,开拓者
51,{{筛选项|6|2.2}},option,开拓者
52,{{筛选项|6|2.3}},option,开拓者
53,{{筛选项|6|2.4}},option,开拓者
54,{{筛选项|6|2.5}},option,开拓者
55,|-,default,
56,"! colspan=3 id=""tag-hide"" style=""cursor:pointer;""| 其他选项（点击展开）",option,开拓者
57,|},default,
58,"{|id=""tag-hide-content"" class=""wikitable"" style=""width:100%;border-top:0;margin-top:-1em;display:none;""",default,
59,|-,default,
60,! rowspan=10 | TAG,default,
61,! 治疗类,default,
62,|,default,
63,{{筛选项|4|生命值回复|交集=是}},option,开拓者
64,{{筛选项|4|全体生命值回复|交集=是}},option,开拓者
65,{{筛选项|4|治疗量|交集=是}},option,开拓者
66,|-,default,
67,! 属性提升类,default,
68,|,default,
69,{{筛选项|4|生命上限|交集=是}},option,开拓者
70,{{筛选项|4|攻击力|交集=是}},option,开拓者
71,{{筛选项|4|防御力|交集=是}},option,开拓者
72,{{筛选项|4|暴击率|交集=是}},option,开拓者
73,{{筛选项|4|暴击伤害|交集=是}},option,开拓者
74,{{筛选项|4|速度|交集=是}},option,开拓者
75,{{筛选项|4|击破特攻|交集=是}},option,开拓者
76,{{筛选项|4|效果命中|交集=是}},option,开拓者
77,{{筛选项|4|效果抵抗|交集=是}},option,开拓者
78,{{筛选项|4|能量恢复效率|交集=是}},option,开拓者
79,|-,default,
80,! 伤害提升类,default,
81,|,default,
82,{{筛选项|4|增伤|交集=是}},option,开拓者
83,{{筛选项|4|普攻|交集=是}},option,开拓者
84,{{筛选项|4|战技|交集=是}},option,开拓者
85,{{筛选项|4|终结技|交集=是}},option,开拓者
86,{{筛选项|4|追加攻击|交集=是}},option,开拓者
87,{{筛选项|4|持续伤害|交集=是}},option,开拓者
88,{{筛选项|4|击破伤害|交集=是}},option,开拓者
89,|-,default,
90,! 其他,default,
91,|,default,
92,{{筛选项|4|减伤|交集=是}},option,开拓者
93,{{筛选项|4|战技点恢复|交集=是}},option,开拓者
94,{{筛选项|4|能量恢复|交集=是}},option,开拓者
95,{{筛选项|4|行动提前|交集=是}},option,开拓者
96,{{筛选项|4|造成附加伤害|交集=是}},option,开拓者
97,{{筛选项|4|造成持续伤害|交集=是}},option,开拓者
98,{{筛选项|4|受击概率提升|交集=是}},option,开拓者
99,{{筛选项|4|护盾|交集=是}},option,开拓者
100,{{筛选项|4|随机效果|交集=是}},option,开拓者
101,{{筛选项|4|无视防御力|交集=是}},option,开拓者
102,{{筛选项|4|相同命途|交集=是}},option,开拓者
103,|-,default,
104,! 辅助-我方增益,default,
105,|,default,
106,{{筛选项|4|单体增伤|交集=是}},option,开拓者
107,{{筛选项|4|全体增伤|交集=是}},option,开拓者
108,{{筛选项|4|全体普攻|交集=是}},option,开拓者
109,{{筛选项|4|全体战技|交集=是}},option,开拓者
110,{{筛选项|4|全体终结技|交集=是}},option,开拓者
111,{{筛选项|4|全体减伤|交集=是}},option,开拓者
112,{{筛选项|4|单体能量恢复|交集=是}},option,开拓者
113,{{筛选项|4|全体能量恢复|交集=是}},option,开拓者
114,{{筛选项|4|全体行动提前|交集=是}},option,开拓者
