line_number,content,category,character
1,{{装饰,default,
2,|名称=光阴莫负,default,
3,|稀有度=4星<!-- 例：5星 -->,content,例
4,|类型=对话框,default,
5,|说明=短信和聊天对话框，获得后可在短信及聊天中进行更换<!-- 图标下面白色字体的部分-->,default,
6,|介绍=「三月小姐的剑法长进了不少，但步调却…」<br>「却沉重了许多！快说！你是不是又偷喝仙人快乐茶啦？」<br>「我…！二位师父，我已经两个星期没喝奶茶了，今天就原谅我吧，好不好？」<!-- 灰色字体的部分，最后一行带括号的话要用斜体，若无可留空 -->,default,
7,|获取方式=活动<!-- 筛选用简短描述，选填：无名勋礼、任务、探索、其他 -->,content,选填
8,|获得途径=[[「初花习剑录」|「初花习剑录」]]活动获得,default,
9,|实装版本=2.4,default,
10,|相关角色=三月七•巡猎、彦卿、云璃,default,
11,}},default,
12,{{WIKI底部导航|角色图鉴=展开}},default,
