line_number,content,category,character
1,{{角色图鉴,default,
2,|名称=克拉拉,default,
3,|外文名=Clara,default,
4,|称号=,default,
5,|全名=,default,
6,|性别=女,default,
7,|稀有度=5星,default,
8,|限定=否,default,
9,|阵营=贝洛伯格,default,
10,|命途=毁灭,default,
11,|命途材料=毁灭1,default,
12,|元素属性=物理,default,
13,|介绍=与机械生活在一起的流浪少女。<br>内向、温柔，有一颗纯粹的心。<br>渴望下层区的大家都能成为彼此的「家人」。,default,
14,|TAG=反击、追加攻击、额外伤害、自身减伤、自身受击概率提升、自身伤害提升、控制抵抗、自身效果解除、群攻,default,
15,|星魂TAG=,default,
16,|角色定位=克拉拉是一名毁灭命途的物理属性角色。战斗中史瓦罗会保护克拉拉，减少克拉拉受到的伤害。同时在克拉拉受到攻击时通过反击对敌方目标进行输出。其战技会对曾经攻击过自己的目标造成额外伤害。,default,
17,|实装日期=2023年04月26日,default,
18,|实装版本=1.0,default,
19,|体型=少女,default,
20,|种族=人类,default,
21,|昵称/外号={{黑幕|铁驭}}、{{黑幕|巴萨卡！}}、{{黑幕|伊莉雅}}、{{黑幕|天才侦探少女}},default,
22,|职业=贝洛伯格与机械为伴的少女,default,
23,|所在位置=雅利洛-Ⅵ-机械聚落-史瓦罗驻地<!-- 地图名称 -->,default,
24,|中文CV=紫苏九月,default,
25,|日文CV=日高里菜,default,
26,|韩文CV=김예림,default,
27,|英文CV=Emily Sun,default,
28,|卷首语=「史瓦罗先生他…他是克拉拉的家人。」,default,
29,|短信签名=想和大家去野餐(>▽<),default,
30,|角色详细=被机器人养大的女孩，有着超越年龄的通透和坚持。<br>对克拉拉而言，史瓦罗理性的计算是世界法则，绝不会出错。<br>直到发现「计算」得到的结果，并不一定能带给大家幸福。<br>怯生生的女孩决定勇敢起来。,default,
31,|角色故事1=''「——日志 筑城纪元████年██月██日。」''<br><br>,default,
32,''「在磐岩镇东南方向的垃圾填埋场中发现一人类幼年女性。」''<br><br>,default,
33,''「经扫描，未见该幼童存在任何机体组织结构破坏或功能障碍，但精神状况较不稳定，对沟通自身状况一事表现抗拒，回避倾向明显。」<br>「继续尝试与其交流，成功获得部分信息。」<br>「幼童开始哭泣，长达三小时零七分。」''<br><br>,default,
34,''「该幼童名为克拉拉，身世不明。」<br>「结论：将其带回基地观察，进一步收集相关信息，以便生成后续处置方案。」'',content,结论
35,|角色故事2=''「——日志 筑城纪元████年██月██日。」''<br><br>,default,
36,''「克拉拉已能够熟练使用贝洛伯格通用语言，并在机械工程学科领域方面表现出卓越天赋，但克拉拉仍抗拒与其他人类进行交流。经评估，此种人格倾向不利于克拉拉在贝洛伯格的长远发展。」''<br><br>,default,
37,''「目前亟需为克拉拉拟定合适的社会交际教育方案，其优先级置为：高。」''<br><br>,content,其优先级置为
38,''「——日志 筑城纪元████年██月██日。」''<br><br>,default,
39,''「克拉拉成功与磐岩镇中同龄个体进行接触。本次接触对象名为虎克，自称来自磐岩镇当地的治安组织『鼹鼠党』，身份为总负责人——在本机数据库中未见该社会组织及其相关信息。」''<br><br>,default,
40,''「克拉拉与虎克的接触起初不太顺利，表现出了相当的羞怯情绪。但对方成功以极端的热情与同理心成功打开局面，并称其为『鼹鼠党的荣誉队员』。交流结束后，克拉拉将虎克描述为『第一个好朋友』。」''<br><br>,default,
41,''「此事对克拉拉而言意义重大，已将本日志归档为『重要』。」'',default,
42,|角色故事3=''「——日志 筑城纪元████年██月██日。」''<br><br>,default,
43,''「在克拉拉的指引下，已有为数众多的流浪者在本基地周围建立聚落，并依靠克拉拉的救助维生。这一行为与『存护』之指令并不相悖，然而，其中有许多人试图通过本基地的运输通道进入上层区。为此必须将基地大门封闭，以避免加剧贝洛伯格的灭亡进程。」''<br><br>,default,
44,''「克拉拉曾就此事与我发起讨论：她认为封闭大门这一行为是『无法理解』的。对此，我已告知演算结果：大守护者将过多资源投入到对裂界的战事上，这一行为反而会加速上层区的覆灭；对于下层区而言，与之隔绝将是最好的选择——下层区人民将因此争取到更多存活的时间。最终，克拉拉对此表示认可。」''<br><br>,content,克拉拉曾就此事与我发起讨论
45,''「绝大多数人类的行为毫无逻辑可言，可克拉拉并非如此——她由我抚养、在自动机兵间成长，其一切行为举止都更多出自真正的理性。她的存在或许能够影响到关于贝洛伯格灭亡进程的演算结果，但仍需更多观察。」'',default,
46,|角色故事4=''「——日志 筑城纪元████年██月██日。」''<br><br>,default,
47,''「我自诞生之初便被输入了『存护』下层区的指令——即使下层区只能比上层区多留存哪怕一毫秒，我也会严格将之执行。若借贝洛伯格传统文化中的概念描述，或许也可以这样说：『毫无疑问地，我忠于自己被赋予的使命』。因此，我视自己的计算结果为铁律——任何人、任何事物都无法使我动摇——包括『外来者』在内。」''<br><br>,content,或许也可以这样说
48,''「但是，在大量演算结果中，我注意到这样一种可能性。」''<br><br>,default,
49,''「在该演算结果中，克拉拉改变了贝洛伯格的一切。我曾对她如此评价：『她的一切行为举止都更多出自真正的理性』。若以该演算结果为基础，重新审视这一结论，我不能将之视为错误，但我注意到它有失偏颇。」''<br><br>,content,我曾对她如此评价
50,''「在该演算结果中，克拉拉同时证明了一点：具备『真正的理性』并非改变现状的关键，反而是她那真挚且热烈的『情感』将一切计算结果颠覆，彻底扭转了贝洛伯格注定灭亡的未来。然而，除非有新的外因介入，该演算结果触达概率不高于0.25272%，应归入小概率事件组，暂停对该演算结果的进一步研究。」''<br><br>,content,克拉拉同时证明了一点
51,''「如今，下层区的存续概率在过去五个周期内未见明显上升趋势，评估认为该事项允许暂缓执行，但我仍将对相关风险因子置于监控下。」''<br><br>,default,
52,''「在本周期内，我将专注于为克拉拉寻找家人一事。尽管克拉拉不断表示『自己已经找到了真正的家人』，我还是将持续搜集相关信息，以便尽早发现克拉拉真正的家人之所在。」'',default,
53,|晋阶属性材料=铁狼碎齿,default,
54,|晋阶系列材料=古代,default,
55,|速度=90,default,
56,|能量上限=110,default,
57,|生命值=168,default,
58,|20生命值=329,default,
59,|20+生命值=397,default,
60,|30生命值=481,default,
61,|30+生命值=549,default,
62,|40生命值=633,default,
63,|40+生命值=701,default,
64,|50生命值=785,default,
65,|50+生命值=853,default,
66,|60生命值=937,default,
67,|60+生命值=1005,default,
68,|70生命值=1089,default,
69,|70+生命值=1157,default,
70,|80生命值=1241,default,
71,|攻击力=100,default,
72,|20攻击力=195,default,
73,|20+攻击力=235,default,
74,|30攻击力=285,default,
75,|30+攻击力=326,default,
76,|40攻击力=376,default,
77,|40+攻击力=416,default,
