line_number,content,category,character
1,{{面包屑|角色图鉴|{{#titleparts:{{PAGENAME}}|1}}}}{{角色导航}},default,
2,==官方介绍==,default,
3,[[文件:克拉拉官方介绍图.jpg|200px|缩略图]],default,
4,"<div class=""row"">",default,
5,"<div class=""col-sm-9"">",default,
6,{{角色介绍,default,
7,|职业背景=bc6d97,default,
8,|职业颜色=fde8fd,default,
9,|职业=贝洛伯格与机械为伴的少女,default,
10,|介绍=你好…我是克拉拉，<br>这是史瓦罗先生和机器伙伴们，大家都是我的家人。<br>对了，如果困了的话，可以靠着史瓦罗先生的手臂睡一会儿，要来试试么？<br>,default,
11,|表格背景=f8f1fd,default,
12,|表格边框=958db9,default,
13,|标题颜色=a97191,default,
14,|标题1=克拉拉和史瓦罗的关系是…,default,
15,|内容颜色=6a5f87,default,
16,|内容1=克拉拉从来没见过自己的爸爸妈妈…从有记忆开始，史瓦罗先生就一直陪在我身边了。<br>不管遇到什么事，史瓦罗先生都会优先考虑克拉拉…他教了我各种知识，也教会了我如何与人相处…克拉拉觉得，史瓦罗先生和大家说的「父亲」是一样的。所以我们是「家人」，没错吧？,default,
17,|备注1=三月七的备注<br><small>诶…真的不是克拉拉教会史瓦罗如何与人相处吗？</small>,default,
18,|标题2=克拉拉是怎么分清那么多机器人的？,default,
19,|内容2=帕金斯是很温柔的大哥哥，所以史瓦罗先生一直让帕金斯陪着克拉拉；<br>提米是非常乖的弟弟，克拉拉就拜托他来接待来访的客人；<br>托比叔叔的话…虽然有时候语气不太好，但他其实非常厉害哦！,default,
20,|备注2=一排模糊的印刷字迹： <small>最喜█克█拉。</small><br>另一排模糊的印刷字迹： <small>克██是███家人。</small>,content,一排模糊的印刷字迹
21,|标题3=克拉拉没有加入「鼹鼠党」吗？,default,
22,|内容3=虎克说鼹鼠党最重要的任务之一是…捉迷藏。但那样的话…史瓦罗先生怎么办……,default,
23,|备注3=虎克的备注<br><small>拜托克拉拉的机器伙伴堆在一起，穿上大家伙的衣服，这样就找不到他了！</small>,default,
24,|标题4=史瓦罗的衣服是克拉拉挑的吗？,default,
25,|内容4=不是哦，听大人们说，在很久很久以前，史瓦罗先生就是现在这个样子。不过，克拉拉也很想看看史瓦罗先生其他打扮…如果穿上和克拉拉一样的红色外套和帽子，一定很有家人的感觉！,default,
26,|备注4=史瓦罗的备注<br><small>既然是克拉拉的请求……</small>}},default,
27,"<center><gallery mode=""nolines"">",default,
28,克拉拉官方故事图.jpg|角色故事,default,
29,克拉拉角色介绍图1.jpg|角色介绍1,default,
30,克拉拉角色介绍图2.jpg|角色介绍2,default,
31,克拉拉手机壳.jpg|手机壳,default,
32,克拉拉壁纸2.png|手机壁纸,default,
33,</gallery></center>,default,
34,</div></div>,default,
35,,default,
36,{{相关光锥|克拉拉}},default,
37,,default,
38,{{人物出场|克拉拉|分栏=是}},default,
39,==相关物品==,default,
40,{{相关物品|克拉拉}},default,
41,==角色对话==,default,
42,===大世界对话===,default,
43,{{折叠|折叠=是|标题=大世界对话-首次|内容=,default,
