line_number,content,category,character
1,{{交互事件,default,
2,|名称=全家福/乐园打卡,default,
3,|地区=匹诺康尼<!-- 空间站「黑塔」、雅利洛-Ⅵ、仙舟「罗浮」 -->,default,
4,|所属版本=2.1,default,
5,|奖励=[[梦境护照#12-最荒诞的舞台|贴纸-好伙计们•一]]、[[梦境护照#12-最荒诞的舞台|贴纸-好伙计们•二]]、{{图标|遗失晶块|2}}、{{图标|凝缩以太|2}}、{{图标|信用点|8000}},default,
6,|出场人物=阿兰、彦卿、姬子、卡芙卡、黄泉、寒鸦、黑天鹅、瓦尔特、螺丝咕姆、景元、银枝、青雀、银狼、白露、黑塔、丹恒、三月七、桂乃芬、,default,
7,|相关成就=与你同行的回忆#全家福/乐园打卡,default,
8,|相关道具=,default,
9,|相关书籍=,default,
10,|触发地点=克劳克影视乐园,default,
11,}},default,
12,==剧情内容==,default,
13,===仓鼠区===,default,
14,{{剧情选项,default,
15,|图标1=事件,default,
16,|选项1=邀请朋友,option,开拓者
17,}},default,
18,:一幅仓鼠球主题的挖洞合影立牌。你可以呼朋唤友，让他们把自己美貌的脸庞摆在合适的位置，与卡通立牌产生奇妙的化学反应，然后用相机记录下来。,default,
19,:机会难得，你想让你的朋友们试试看吗？,default,
20,{{剧情选项,default,
21,|图标1=对话,default,
22,|选项1=当然！让我看看…,option,开拓者
23,|剧情1=:第一个孔位！满足这个身高要求的人可不算多，仔细想想吧。,branch_content,
24,{{剧情选项,default,
25,|选项1=阿兰…,option,开拓者
26,|剧情1=:不知道艾丝妲的空间站和你哪个更重要……,branch_content,
27,*阿兰：我来了，开拓者。这是要我…合影么？,content,阿兰
28,:恭喜你，看来确实是你更重要。,default,
29,|选项2=彦卿…,option,开拓者
30,|剧情2=:少年任侠彦卿…你身为「老师」，他应该没有理由拒绝你的邀请。,branch_content,
31,*彦卿：又见面了，老师！别担心，我这次远行有将军特许…只要晚上训练前能回到罗浮便是。,content,彦卿
32,}},default,
33,{{剧情选项,default,
34,|图标1=事件,default,
35,|选项1=邀请朋友,option,开拓者
36,}},default,
37,:接下来是第二个孔位，也是最后一个孔位。满足这个条件的人倒是不少，你可以仔细想想。,default,
38,{{剧情选项,default,
39,|选项1=姬子…,option,开拓者
40,|剧情1=:姬子小姐！当然了，列车组的领航员怎么能错过这种好事？,branch_content,
41,*姬子：呵呵，原来是想要合影…没问题。,content,姬子
42,|选项2=卡芙卡…{{#info:选择该选项后可重新选择}},option,开拓者
43,|剧情2=:卡芙卡，你生命中既熟悉又陌生的那个女人…也许她会答应你的请求。,branch_content,
44,:……,default,
45,:「对不起，我正在执行任务，」她的声音依旧温柔，「但你一定要玩得开心，好吗？」噢…真是太可惜了。,default,
46,|选项3=黄泉…,option,开拓者
47,|剧情3=:那位巡海游侠…或者别的什么隐世高手。不知道她现在正身在何方？,branch_content,
48,*黄泉：用镜头记录眼前的一瞬…真是新奇的体验。,content,黄泉
49,|选项4=寒鸦…,option,开拓者
50,|剧情4=:真不知道这种既新奇又复古的文旅项目能否重燃判官大人对生活的热爱。,branch_content,
51,*寒鸦：啊，能在这儿站一会什么也不做真是太好了，而且还是离因果殿这么远的地方，一想到要回去继续工作我就忍不住希望这一刻能永远永远永远持续下去……,content,寒鸦
52,:…这段台词真的很眼熟。也许是错觉吧。,default,
53,|选项5=黑天鹅…,option,开拓者
54,|剧情5=:神秘优雅的黑天鹅…没准她现在就在这里，只是没显形呢。,branch_content,
55,*黑天鹅：我还在猜你什么时候会想起我呢…谢谢你，亲爱的。,content,黑天鹅
56,:…她果然真就在这里。一语成谶。,default,
57,}},default,
58,{{剧情选项,default,
59,|图标1=事件,default,
60,|选项1=开始拍照,option,开拓者
61,}},default,
62,:终于！想要凑齐这么多人可真不容易。是时候为大家合影了！,default,
63,{{剧情选项,default,
64,|选项1=跟我一起说——,option,开拓者
65,|选项2=——茄子！,option,开拓者
66,}},default,
67,:尽管面对镜头微笑对一些人来说真的很难，但你还是收获了一张绝好的合影。,default,
68,*开拓者：（大家都回去了…和朋友们偶尔这样聚一聚也不错嘛。）,content,开拓者
69,:{{颜色|描述|获得{{图标|凝缩以太|2}}{{图标|信用点|3000}}}},default,
70,:{{颜色|描述|获得[[梦境护照#12-最荒诞的舞台|贴纸-好伙计们•一]]}},default,
71,|图标2=退出,default,
72,|选项2=我的朋友很少…,option,开拓者
