line_number,content,category,character
1,{{攻略,default,
2,|标题=全角色光锥推荐,default,
3,|文章上级页面=新手教程         <!--在：游戏更新公告、游戏攻略、活动专题中选填一个，不填则文章不会被分类检索-->,content,在
4,|时间=20230506         <!--文章发布时间，格式：20190703-->,content,格式
5,|是否原创=是         <!--是或否-->,default,
6,|作者=凉音          <!--原创者ID、昵称或姓名-->,default,
7,|来源=           <!--贴吧、NGA、bigfun或其他来源，原创文章不填此项-->,default,
8,|原文地址=        <!--非原创内容请务必填写此项，复制原贴链接即可-->,default,
9,|攻略封面图=测试攻略封面.png    <!--尺寸:240 x 150-->,default,
10,|版本=1.0        <!--游戏版本-->,default,
11,|TAG=光锥 <!--支持多个，用、号隔开-->,default,
12,}},default,
13,[[分类:攻略]],default,
14,{{提示|红色|'''详细配装推荐请查看角色个人页面'''}},default,
15,=== 1.0 版本光锥推荐 ===,default,
16,,default,
17,<p>· 由于角色具有其它功能玩法，所以扩展了光锥推荐类别,default,
18,<p>· 吃豆的释义:每一回合都使用技能,default,
19,,default,
20,"{| class=""wikitable sortable"" style=""text-align:center;width:100%""",default,
21,|+,default,
22,|角色,default,
23,|系别,default,
24,|功能,default,
25,|吃豆,default,
26,|站位,default,
27,|最好,default,
28,|下位,default,
29,|一般,default,
30,|凑合,default,
31,|-,default,
32,|{{图标|大|三月七}},default,
33,|守护,default,
34,|仇恨吸引,default,
35,|否,default,
36,|1,default,
37,|{{图标|大|制胜的瞬间}},default,
38,|{{图标|大|朗道的选择}},default,
39,|{{图标|大|余生的第一天}},default,
40,|,default,
41,|-,default,
42,|{{图标|大|三月七}},default,
43,|守护,default,
44,|盾辅 解控,default,
45,|否,default,
46,|2 3,default,
47,|{{图标|大|余生的第一天}},default,
48,|{{图标|大|琥珀}},default,
49,|{{图标|大|记忆的质料}},default,
50,|{{图标|大|宇宙市场趋势}},default,
51,|-,default,
52,|{{图标|大|杰帕德}},default,
53,|存护,default,
54,|仇恨吸引,default,
55,|否,default,
56,|1,default,
57,|{{图标|大|制胜的瞬间}},default,
58,|{{图标|大|朗道的选择}},default,
59,|{{图标|大|余生的第一天}},default,
60,|,default,
61,|-,default,
62,|{{图标|大|杰帕德}},default,
63,|存护,default,
64,|盾辅,default,
65,|否,default,
66,|2 3,default,
67,|{{图标|大|余生的第一天}},default,
68,|{{图标|大|琥珀}},default,
69,|{{图标|大|记忆的质料}},default,
70,|{{图标|大|宇宙市场趋势}},default,
71,|-,default,
72,|{{图标|大|开拓者•存护}},default,
73,|存护,default,
74,|仇恨吸引,default,
75,|否,default,
76,|1 2,default,
77,|{{图标|大|制胜的瞬间}},default,
78,|{{图标|大|朗道的选择}},default,
79,|{{图标|大|余生的第一天}},default,
80,|,default,
81,|-,default,
82,|{{图标|大|阿兰}},default,
83,|毁灭,default,
84,|伤害,default,
85,|否,default,
86,|3,default,
87,|{{图标|大|无可取代的东西}},default,
88,|{{图标|大|秘密誓心}},default,
89,|{{图标|大|记一位星神的陨落}},default,
90,|{{图标|大|鼹鼠党欢迎你}},default,
91,|-,default,
92,|{{图标|大|克拉拉}},default,
93,|毁灭,default,
94,|伤害,default,
95,|否,default,
96,|1 2,default,
97,|{{图标|大|无可取代的东西}},default,
98,|{{图标|大|记一位星神的陨落}},default,
99,|{{图标|大|鼹鼠党欢迎你}},default,
100,|,default,
101,|-,default,
102,|{{图标|大|克拉拉}},default,
103,|毁灭,default,
104,|仇恨吸引,default,
