line_number,content,category,character
1,{{考据,default,
2,|类别=游戏内容考据<!-- 角色考据、背景考据等 -->,default,
3,|时间=20240726<!-- 例：20230501 -->,content,例
4,|更新时间=20240726<!-- 填写最新更新日期，格式同上 -->,default,
5,|作者=Stomach地球硬磕者（小杜）<!-- 填写自己的昵称 -->,default,
6,|是否原创=是,default,
7,|来源=<!-- 非原创请填写来源平台，如：B站、米游社 -->,content,如
8,|原文地址=<!-- 非原创填写 -->,default,
9,|考据封面图=测试攻略封面.png<!-- 填写封面图名称 -->,default,
10,|版本=2.3<!-- 填写当前游戏版本 -->,default,
11,|TAG=游戏内容、场景互动,default,
12,}},default,
13,当各位开拓者传送到空间站「黑塔」-收容舱段1层的右下角「无明之间」界域定锚后，在两排黑塔收藏奇物右排最后一个展柜上，可以看到我们本期的主角：奇物「定分枪」。该奇物为黑塔收藏的众多奇物之一，它会给视线范围内的生物打分，但是打分的逻辑不明。游戏中众多已实装的角色均有各自的独特打分，因而该文章统计「定分枪」给众多角色的打分情况，具体以表格的形式呈现。<br><br>,content,可以看到我们本期的主角
14,{{颜色|描述|注：该排行榜仅仅是对奇物「定分枪」给不同角色打分的客观排序，不包含对于角色的主观情感。该奇物打分的逻辑不明，也有许多攻略博主提出了对于其打分逻辑的猜想或者结论，请大家理性看待。}}<br><br>,content,注
15,{{颜色|描述|目前有一个结论可以初步证明：令使角色无法被定分枪测出分数。例如{{图标|景元}}（巡猎令使）、{{图标|黄泉}}（自灭者、虚无令使）。{{图标|桑博}}是否为欢愉令使目前未知，{{图标|三月七}}和{{图标|罗刹}}目前也是未知状态。随着2.5上半版本{{图标|飞霄}}的实装，因其也同为巡猎令使，可以对上述结论进行进一步证明。}}<br><br>,content,目前有一个结论可以初步证明
16,<big><big>若想查看定分枪对于不同角色的详细互动文本，可以查看页面[[定分枪]]（点击蓝字）</big></big><br><br>,default,
17,<big>特殊排名：</big>,content,特殊排名
18,"{| class=""wikitable""",default,
19,|-,default,
20,! 角色,default,
21,! 分数,default,
22,|-,default,
23,|{{图标|桑博}},default,
24,| 无法测定,default,
25,|-,default,
26,|{{图标|三月七}},default,
27,| 无法测定,default,
28,|-,default,
29,|{{图标|景元}},default,
30,| 无法测定,default,
31,|-,default,
32,|{{图标|罗刹}},default,
33,| 无法测定,default,
34,|-,default,
35,|{{图标|黄泉}},default,
36,| 无法测定,default,
37,|-,default,
38,|{{图标|银狼}},default,
39,| 110分<ref>本应为10分，但银狼骇入并修改了她的分数。（详见阅读物《[[奇物管理日志]]·其二》）</ref>,default,
40,|-,default,
41,|{{图标|克拉拉}},default,
42,| 70分和26分,default,
43,|-,default,
44,|{{图标|藿藿}},default,
45,| 0分？5分？,default,
46,|},default,
47,<br>,default,
48,<big>分数排名：</big>,content,分数排名
49,"{| class=""wikitable""",default,
50,|-,default,
51,! 角色,default,
52,! 分数,default,
53,|-,default,
54,|{{图标|彦卿}},default,
55,| 99分,default,
56,|-,default,
57,|{{图标|云璃}},default,
58,| 96分,default,
59,|-,default,
60,|{{图标|佩拉}},default,
61,| 93分,default,
62,|-,default,
63,|{{图标|银枝}},default,
64,| 91分,default,
65,|-,default,
66,|{{图标|卡芙卡}},default,
67,| 90分,default,
68,|-,default,
69,|{{图标|丹恒·饮月}},default,
70,| 88分,default,
71,|-,default,
72,|{{图标|丹恒}},default,
73,| 88分,default,
74,|-,default,
75,|{{图标|开拓者}},default,
76,| 84分,default,
77,|-,default,
78,|{{图标|符玄}},default,
79,| 77分,default,
80,|-,default,
81,|{{图标|卢卡}},default,
82,| 75分,default,
83,|-,default,
84,|{{图标|白露}},default,
85,| 71分,default,
86,|-,default,
87,|{{图标|希露瓦}},default,
88,| 67分,default,
89,|-,default,
90,|{{图标|青雀}},default,
91,| 65分,default,
92,|-,default,
93,|{{图标|杰帕德}},default,
94,| 62分,default,
95,|-,default,
96,|{{图标|黑天鹅}},default,
97,| 61分,default,
98,|-,default,
99,|{{图标|翡翠}},default,
100,| 60分,default,
101,|-,default,
102,|{{图标|阿兰}},default,
103,| 55分,default,
104,|-,default,
105,|{{图标|花火}},default,
106,| 55分,default,
107,|-,default,
108,|{{图标|雪衣}},default,
109,| 52分,default,
110,|-,default,
111,|{{图标|寒鸦}},default,
112,| 48分,default,
113,|-,default,
114,|{{图标|阮•梅}},default,
115,| 47分,default,
116,|-,default,
117,|{{图标|波提欧}},default,
118,| 44分,default,
119,|-,default,
120,|{{图标|刃}},default,
121,| 42分,default,
122,|-,default,
123,|{{图标|布洛妮娅}},default,
124,| 37分,default,
125,|-,default,
126,|{{图标|知更鸟}},default,
127,| 36分,default,
128,|-,default,
129,|{{图标|希儿}},default,
130,| 33分,default,
131,|-,default,
132,|{{图标|娜塔莎}},default,
133,| 32分,default,
134,|-,default,
135,|{{图标|真理医生}},default,
136,| 30分,default,
137,|-,default,
138,|{{图标|艾丝妲}},default,
139,| 29分,default,
140,|-,default,
141,|{{图标|米沙}},default,
142,| 25分,default,
143,|-,default,
144,|{{图标|加拉赫}},default,
145,| 24分,default,
146,|-,default,
147,|{{图标|流萤}},default,
148,| 23分,default,
149,|-,default,
150,|{{图标|驭空}},default,
151,| 20分,default,
152,|-,default,
153,|{{图标|素裳}},default,
154,| 18分,default,
155,|-,default,
156,|{{图标|停云}},default,
157,| 13分,default,
158,|-,default,
159,|{{图标|桂乃芬}},default,
160,| 13分,default,
161,|-,default,
162,|{{图标|姬子}},default,
163,| 9分,default,
164,|-,default,
165,|{{图标|玲可}},default,
166,| 7分,default,
167,|-,default,
168,|{{图标|虎克}},default,
169,| 6分,default,
170,|-,default,
171,|{{图标|瓦尔特}},default,
172,| 5分,default,
173,|-,default,
174,|{{图标|黑塔}},default,
175,| 4分,default,
176,|-,default,
177,|{{图标|托帕}},default,
178,| 2分,default,
179,|-,default,
180,|{{图标|镜流}},default,
181,| 0分,default,
182,|},default,
