line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=全面回忆,default,
4,|任务地区=仙舟「罗浮」,default,
5,|任务类型=同行任务,default,
6,|角色=三月七、符玄,default,
7,|所属版本=1.3,default,
8,|任务描述=在目睹穷观阵的奇能后，三月七萌生了一个念头…,default,
9,|奖励={{图标|里程|450}}{{图标|星琼|100}}{{图标|漫游指南|8}}{{图标|遗失晶块|8}}{{图标|寒铁的誓言|6}}{{图标|信用点|90000}},default,
10,|任务条件=完成开拓任务「[[安灵布奠，天清路远]]」且阅读指定短信后开放。,default,
11,|开放等级=21,default,
12,|相关成就=与你同行的回忆#忘川之水何其苦,default,
13,|相关道具=三月七的「起点」,default,
14,|出场人物=三月七、符玄、瓦尔特、停云、景元、杰帕德、桑博、希儿、布洛妮娅、佩拉、丹恒、阿兰、艾丝妲、黑塔、姬子,default,
15,|系列任务=无尽形寿,default,
16,|前置任务=,default,
17,|后续任务=,default,
18,|任务编号=06,default,
19,|任务流程=*前往太卜司向符玄请求帮助,default,
20,*与符玄聊聊该怎么寻找记忆,default,
21,*请符玄将三月七送入穷观阵回溯记忆,default,
22,*找出虚假的符玄,default,
23,*找出记忆中的「失真」,default,
24,*与「异物」接触，回溯到上一段记忆,default,
25,*找出记忆中的「失真」,default,
26,*与「异物」接触，回溯到上一段记忆,default,
27,*跟随丹恒，探索{{注音|自己|三月七}}的记忆,default,
28,*找出记忆中的「失真」,default,
29,*寻找记忆中的「异物」,default,
30,*寻找记忆中的「异物」,default,
31,*想办法离开这段记忆,default,
32,*探索{{注音|自己|三月七}}的记忆,default,
33,}},default,
34,==剧情内容==,default,
35,===任务接取短信===,default,
36,{{角色对话|模板开始|三月七|今天也是三月七~}},default,
37,{{角色对话|左|三月七|文本|开拓者，在吗|是}},default,
38,{{短信选项,option,开拓者
39,|选项1=不在,option,开拓者
40,|剧情1={{角色对话|右|开拓者|文本|不在，我是帕姆}},branch_content,
41,{{角色对话|左|三月七|文本|我看你长得就像帕姆，别闹，有正事|是}},default,
42,|选项2=怎么了？,option,开拓者
43,|剧情2={{角色对话|右|开拓者|文本|在的，怎么了？}},branch_content,
44,}},default,
45,{{角色对话|左|三月七|文本|我突然想起来哦，这次罗浮之旅，有一个东西让我特别在意|是}},default,
46,{{角色对话|左|三月七|文本|就是太卜司的那个「大衍穷观阵」|是}},default,
47,{{角色对话|左|三月七|文本|太卜用那东西问讯卡芙卡，甚至不用她开口，就能看到过去|是}},default,
48,{{角色对话|左|三月七|文本|所以我在想…这阵法是不是能用在我身上|是}},default,
49,{{短信选项,option,开拓者
50,|选项1=在神策府怎么不说？,option,开拓者
51,|剧情1={{角色对话|右|开拓者|文本|之前在神策府，你怎么不求她？}},branch_content,
52,|选项2=值得去问问她…,option,开拓者
53,|剧情2={{角色对话|右|开拓者|文本|确实值得去问问，搞不好能探到你丢失的记忆}},branch_content,
54,{{角色对话|左|三月七|文本|对对，当时在神策府我就想开口了，可是思来想去，心里有些不安|是}},default,
55,}},default,
56,{{角色对话|左|三月七|文本|罗浮刚经历了大麻烦，景元受了伤，需要太卜来主持大局|是}},default,
57,{{角色对话|左|三月七|文本|咱这点私人小事，说不出口哇|是}},default,
58,{{角色对话|左|三月七|文本|所以想着，等她没那么忙了，我们一起去太卜司求求她？|是}},default,
59,{{短信选项,option,开拓者
60,|选项1=没问题。,option,开拓者
61,|剧情1={{角色对话|右|开拓者|文本|没问题，我们太卜司见。}},branch_content,
62,{{角色对话|左|三月七|文本|就知道你最好啦！|是}},default,
63,|选项2=我也要跟着去吗？,option,开拓者
64,|剧情2={{角色对话|右|开拓者|文本|我也要跟着一起去吗？是这样的，不是怕麻烦哈，毕竟是你的私事…}},branch_content,
65,{{角色对话|左|三月七|文本|我…我…我自己去求人家办事，会有些不好意思嘛！好啦，我们太卜司见吧。|是}},default,
66,}},default,
67,{{角色对话|模板结束}},default,
68,,default,
69,=== 前往太卜司向符玄请求帮助 ===,default,
70,{{任务描述|三月七在见识过大衍穷观阵的神奇之后，一直惦记着用它来帮自己找回过去。为了完成自己的愿望，她决定求太卜帮忙。|仙舟「罗浮」-太卜司}},default,
71,*三月七：太卜大人，早哇，今天的工作还顺利吗？,content,三月七
72,*符玄：本座这阵子都忙得很，有事相求的话便直说吧？,content,符玄
73,*三月七：……,content,三月七
74,*符玄：你的下一句话多半是「你是怎么猜到的？」但转念又想到本座身份，所以突然闭口不言，对吧？,content,符玄
75,{{剧情选项,default,
76,|选项1=太卜真是神算无误。,option,开拓者
77,|剧情1=*符玄：小意思，我每天起床办公前都会一口气就日常问题卜个十几卦，结果往往灵验无差。,branch_content,符玄
78,|选项2=看表情也能猜到吧…,option,开拓者
79,|剧情2=*符玄：本座从不看人脸色行事。按规矩，我每天起床办公前都会一口气就日常问题卜个十几卦，结果往往灵验无差。,branch_content,符玄
80,}},default,
81,*符玄：在今日预卜中，我占算有什么「横生枝节的事情」，得卦象涨落在坎、乾之间。穷观阵输出了解读，判词曰：「有不速之客三人来，敬之终吉」。,content,符玄
82,*三月七：「敬之终吉」…乖乖，穷观阵都体贴地算到这份上了，看来咱们真是缘分不浅。,content,三月七
83,*三月七：是这样的，我瞧太卜用穷观阵推算卡芙卡的过去，我嘛，也有类似的需求……,content,三月七
84,:{{颜色|描述|你们向符玄讲述了三月七丢失记忆的情况。}},default,
85,,default,
86,*符玄：嗯嗯，原来如此。想用阵法复现过去，唤醒自己的记忆？虽然原理上行得通，但我怕穷观阵未必能做到？,content,符玄
87,*三月七：唉…我就知道，事情哪有这么容易。,content,三月七
88,{{剧情选项,default,
89,|选项1=可是卡芙卡那个时候…,option,开拓者
90,|剧情1=*符玄：卡芙卡的情况可不同。,branch_content,符玄
91,|选项2=连神通广大的太卜也办不到？,option,开拓者
92,|剧情2=*符玄：谁、谁说的？咳，我可没说做不到。做不到与「未必」之间，有百万光年的差距。,branch_content,符玄
93,}},default,
94,*符玄：为了防止各位对太卜司重器有什么误会，我得详细说说它的原理——,content,符玄
95,*符玄：穷观阵并不会让人回忆起任何东西，它只是收集情报，然后像推演「未来会发生什么」一样，去推演「过去发生过什么」。,content,符玄
