line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务|任务名称=兵士们默默无言,default,
3,|任务地区=雅利洛-Ⅵ-铁卫禁区,default,
4,|任务类型=开拓任务,default,
5,|所属版本=1.0,default,
6,|任务描述=在雅利洛-Ⅵ上旅行至此，你已经充分学会如何以理服人了。大守护者最忠实的戍卫官此刻也终于同你站在一条战线上…只可惜他无法同你一道前进，共同见证贝洛伯格的结局。<br>但杰帕德在此处把守着阻隔裂界的大门——只要你一声令下，他和他的亲信铁卫便会迅速结成战阵，为你们开辟前路。,default,
7,|奖励=无,default,
8,|任务条件=完成[[青年近卫军]],default,
9,|开放等级=24,default,
10,|出场人物=杰帕德、希露瓦、希儿、三月七、丹恒、瓦尔特、姬子,default,
11,|相关道具=,default,
12,|系列任务=于曈昽的骄阳下,default,
13,|任务编号=04,default,
14,|前置任务=*[[青年近卫军]],default,
15,|后续任务=*[[星星是冰冷的玩具]],default,
16,|任务流程=*准备好后与杰帕德对话，开启大门,default,
17,}},default,
18,==剧情内容==,default,
19,=== 准备好后与杰帕德对话，开启大门 ===,default,
20,{{任务描述|在雅利洛-Ⅵ上旅行至此，你已经充分学会如何以理服人了。大守护者最忠实的戍卫官此刻也终于同你站在一条战线上…只可惜他无法同你一道前进，共同见证贝洛伯格的结局。<br>但杰帕德在此处把守着阻隔裂界的大门——只要你一声令下，他和他的亲信铁卫便会迅速结成战阵，为你们开辟前路。|雅利洛-Ⅵ-铁卫禁区}},default,
21,{{折叠|标题=额外对话（希儿）|内容=,default,
22,*希儿：必须得承认，我之前对银鬃铁卫的误解太深。他们每天也在为了生存而战，跟「地火」一样。,content,希儿
23,*希儿：区别在于，我们在为了自己的自由抗争，而他们…他们只是在执行命令。,content,希儿
24,{{剧情选项,default,
25,|选项1=所以我们才要换位思考。,option,开拓者
26,|图标1=对话,default,
27,|剧情1=*希儿：「换位思考」…说着轻巧。人人都有自己的苦衷，但是如果互相之间连面都见不上，还提什么相互理解？,branch_content,希儿
28,|选项2=你理解布洛妮娅的苦衷了吗？,option,开拓者
29,|图标2=对话,default,
30,|剧情2=*希儿：当然，早就理解了。不过依我看，她需要的不是别人的理解，而是迈过自己心里的那道坎。,branch_content,希儿
31,*希儿：…就跟那个杰帕德一样。我能看出来——他刚才下了很大的决心才放下武器。,content,希儿
32,|选项3=该去结束这一切了。,option,开拓者
33,|图标3=退出,default,
34,|剧情3=*希儿：我好像已经听到风暴的声音了，从这城墙外传来的…让人平静不下来。,branch_content,希儿
35,*希儿：希望希露瓦没说错…但愿那个疯子守护者不会伤害布洛妮娅。,content,希儿
36,}},default,
37,|折叠=是}},default,
38,{{折叠|标题=额外对话（希露瓦）|内容=,default,
39,*希露瓦：你看，姐弟间的矛盾就是这样，痛快打上一架之后就和好如初啦。,content,希露瓦
40,{{剧情选项,default,
41,|选项1=抱歉，把你卷进来。,option,开拓者
42,|图标1=对话,default,
43,|剧情1=*希露瓦：别这么说，你再道歉，我的耳朵都要起茧了。,branch_content,希露瓦
44,*希露瓦：要我说，这都是迟早会发生的事。你们只是给了我一个提前行动起来的理由罢了。,content,希露瓦
45,|选项2=这就是亲姐弟的相处方式？,option,开拓者
46,|图标2=对话,default,
47,|剧情2=*希露瓦：怎么？真刀真枪地下狠手，亲姐弟之间难道不该这么相处吗？,branch_content,希露瓦
48,*希露瓦：嘿，开个玩笑。离开部队后的这些年，我跟老弟间的谈话总会刻意避开一些敏感话题。现在想想，也许是他为了顾及我的感受，一直默默地护着我呢。,content,希露瓦
49,*希露瓦：以我这脾气，老弟肯定没少替我操心。还真是辛苦他啦。,content,希露瓦
50,|选项3=接下来就该寻找「星核」了。,option,开拓者
51,|图标3=对话,default,
52,|剧情3=*希露瓦：没错，「星核」虽然和我素未谋面，但是我却因为它丢了筑城者的铁饭碗，是时候去找它算账了。,branch_content,希露瓦
53,*希露瓦：其实我还有另一个私心——我想向可可利亚证明我是对的。等我们解决了「星核」这个麻烦…也许她就能变回原来的样子？,content,希露瓦
54,*希露瓦：嗐，现在说这些有点不合时宜了，你别介意。,content,希露瓦
55,|选项4=放心，交给我们吧。,option,开拓者
56,|图标4=退出,default,
57,|剧情4=*希露瓦：想继续向北方前进的话，就必须穿过那片「地狱」。不过换个角度想想…对咱们来说，那里更像彰显实力的舞台吧？,branch_content,希露瓦
58,*希露瓦：准备好了就登台吧，我们一起完成这场演出！,content,希露瓦
59,}},default,
60,|折叠=是}},default,
61,*杰帕德：禁区的大门一旦打开，另一头的怪物就会倾巢出动。银鬃铁卫能做到的，就是尽量拖住敌人，给你们争取一些时间。,content,杰帕德
62,*杰帕德：一旦你们突破了前线…我们就再帮不上什么忙了。北方的裂界里究竟是怎样的景象，只能由各位自己一探究竟。,content,杰帕德
63,*杰帕德：所以…你们下定决心了吗？,content,杰帕德
64,{{剧情选项,default,
65,|选项1=我们准备好了。,option,开拓者
66,|剧情1=*杰帕德：我明白了。握紧武器，这肯定会是一场恶战。,branch_content,杰帕德
67,*杰帕德：铁卫！听我命令——打开大门！,content,杰帕德
68,|选项2=再给我们点时间…,option,开拓者
69,|图标2=退出}},default,
70,----,default,
71,:{{颜色|描述|禁区的大门缓缓打开…}},default,
72,:{{颜色|描述|…门后的怪物向你们冲来…}},default,
73,*希露瓦：你们每天都在面对这种攻势吗？,content,希露瓦
74,*杰帕德：司空见惯了。,content,杰帕德
75,*杰帕德：银鬃铁卫，列队！,content,杰帕德
76,*希儿：哼，我可不想欠铁卫的人情！,content,希儿
77,{{剧情选项,default,
78,|选项1=上吧，为了布洛妮娅！,option,开拓者
79,|选项2=上吧，为了贝洛伯格！,option,开拓者
80,|选项3=上吧，为了宇宙和平！}},option,开拓者
81,*希露瓦：它们要攻过来了！,content,希露瓦
82,*杰帕德：——准备御敌！,content,杰帕德
83,----,default,
84,:{{颜色|描述|击败两波敌人后…}},default,
85,*三月七：这帮家伙…真是没完没了呀！,content,三月七
86,*希儿：数量再多也只是杂碎而已——别退后！,content,希儿
87,:{{颜色|描述|击败三波敌人后…}},default,
88,*杰帕德：唔…,content,杰帕德
89,*希露瓦：…早说过了，杰帕德！「壁垒」还没修好，不要逞强！,content,希露瓦
90,*杰帕德：这只是…第一拨敌人。它们…很快就会再集结。我不能……,content,杰帕德
91,*希儿：听你姐姐的话吧，铁卫！一看就知道，你的状态还没完全恢复呢。,content,希儿
92,*希露瓦：……,content,希露瓦
93,*希露瓦：外来的、希儿——趁着下一波攻势还没开始，你们赶紧突围吧！,content,希露瓦
94,*三月七：欸？希露瓦，你不和我们一起去找「星核」吗？,content,三月七
95,*希露瓦：老弟独木难支啊。刚才把他教训了一顿，这是我的责任。而且……,content,希露瓦
96,*希露瓦：我不帮把手的话…下一场战斗不知道会怎么样呢。,content,希露瓦
97,*希露瓦：我也很想跟你们一起啊，真的很想！「星核」近在咫尺了，离我那么近，我一直想看它一眼——,content,希露瓦
