line_number,content,category,character
1,{{攻略,default,
2,|标题=养成计划,default,
3,|文章上级页面=新手教程<!-- 选填：新手教程、战斗、探索、模拟宇宙、忘却之庭… -->,content,选填
4,|时间=20230525<!-- 例：20230501 -->,content,例
5,|作者=野人宋<!-- 填写自己的昵称 -->,default,
6,|是否原创=是<!-- 是/否 -->,default,
7,|来源=<!-- 非原创请填写来源平台，如：B站、米游社 -->,content,如
8,|原文地址=<!-- 非原创填写 -->,default,
9,|攻略封面图=测试攻略封面.png<!-- 填写封面图名称，例：测试攻略封面.png，若无可留空 -->,content,例
10,|简介=,default,
11,|版本=1.0<!-- 填写当前游戏版本 -->,default,
12,|TAG=新手攻略、养成、配队、光锥、遗器,default,
13,}},default,
14,,default,
15,==崩铁培养计划==,default,
16,,default,
17,UID：100434382 ， 野人宋,content,
18,,default,
19,主要就是分享下自己打算怎么玩这个游戏,default,
20,,default,
21,全是字，没有图表，看起来挺麻烦的,default,
22,,default,
23,纯分享,default,
24,,default,
25,==目录==,default,
26,,default,
27,,default,
28,主要是三个部分,default,
29,,default,
30,- 我的养成状态、抽卡取向,default,
31,,default,
32,- 培养计划，阵容组成、角色选择、培养顺序、遗器选择、光锥选择,default,
33,,default,
34,- 配队实例,default,
35,,default,
36,==第一部分 关于我==,default,
37,===目前状态===,default,
38,,default,
39,- 均衡4，希儿、景元70，火主60突破，杰帕德、娜塔莎、停云、艾丝妲、布洛妮娅60未突破，其它几乎没培养,default,
40,,default,
41,- 体力，刷景元刷遗器，之后就突破杰帕德、停云、娜塔莎、艾丝妲等，考虑拉素裳中；再之后就是准备经验书、双核突破材料了,default,
42,,default,
43,- 混沌回忆，打完5，33322=13⭐；6太刮、生存堪忧，暂时放弃,default,
44,,default,
45,,default,
46,这里说一下，体力的性价比问题，长期看都无所谓，短期要规划，但是也不用纠结于刷什么，角色遗器经验都不够、主词条都不对的情况下随便刷遗器没问题，差不多了就停手。之后拉其它上阵角色等级、关键行迹，再之后就是准备资源等新角色或新的均衡等级了。刷遗器别上头，不然等突破下一个均衡等级的时候主输出没资源升级，其它角色甚至要差主输出20级，根本扛不住，也会影响其发挥的团队辅助作用。慢慢养成即可，单机游戏无需焦虑和纠结,default,
47,,default,
48,===随缘抽卡===,default,
49,,default,
50,单纯个人分享，有规划也许会玩的舒服些，强度党必抽输出角色的UP专属光锥,default,
51,,default,
52,说明，'''要相信mhy的数值策划，同一个阶段，所有的限定UP五星、常驻五星、四星，其中同类角色的数值几乎分别处同一水平；光锥同理，所以说景元绑定专属光锥，而希儿有更好的下位替代多少有点不准确，或对自己的计算过于自信了。'''（不信的就自己实战去看看星海巡航和于夜色中的差距就是了）,default,
53,,default,
54,,default,
55,- 大小月卡，随缘抽，不屯,default,
56,,default,
57,- 当期UP角色抽到就结束，歪了继续抽，资源没了抽不到就算了，脸黑估计会比较痛苦，比如我景元就160抽才抽出来，现在资源是干干净净,default,
58,,default,
59,- 不抽武器，不是真强度党，也不是XP党，只抽角色,default,
60,,default,
61,==第二部分 培养计划==,default,
62,,default,
63,其实感觉崩铁本身是'''弱点克制'''游戏，也是'''练度'''游戏，练度没问题的克制角色基本上可以轻松打完混沌，受限于前期资源实在是匮乏（mhy卡的太死了），又需要摸摸混沌，只能是把资源用在刀刃上，单纯说培养好像也不行，所以后面就逐步分开说,default,
64,,default,
65,===阵容组成===,default,
66,,default,
