line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=决胜！星际庆典,default,
4,|任务地区=雅利洛-Ⅵ,default,
5,|任务类型=活动任务,default,
6,|所属版本=1.4,default,
7,|任务描述=这一天终于来了。全宇宙的高手玩家都聚集于此，而当比赛结束后，人们将只记得一位——是你把他们都击败了。,default,
8,|时间=<!-- 限时任务填写，可留空 -->,default,
9,|奖励={{图标|里程|300}}{{图标|星琼|40}}{{图标|漫游指南|9}}{{图标|遗失晶块|6}}{{图标|信用点|60000}},default,
10,|任务条件=完成任务「[[激战！大矿区]]」,default,
11,|开放等级=34,default,
12,|相关活动=「以太战线」,default,
13,|相关成就=与你同行的回忆#胜利，然后是再见/结束，然后是开始,default,
14,|相关道具=,default,
15,|相关书籍=,default,
16,|出场人物=三月七、希露瓦、布洛妮娅、卢卡、娜塔莎、桂乃芬、希儿、银狼、杰帕德、克拉拉、姬子、瓦尔特、托帕、虎克、艾丝妲,default,
17,|领取地点=,default,
18,|系列任务=星际决胜庆典,default,
19,|任务编号=06,default,
20,|前置任务=*[[激战！大矿区]],default,
21,|后续任务=,default,
22,|任务流程=*与三月七汇合，参加庆典,default,
23,*注册参赛资格,default,
24,*（可选）与周围的朋友们聊聊,default,
25,*踏上擂台,default,
26,*与锦标赛对手进行对决,default,
27,*（可选）与周围的朋友们聊聊,default,
28,*踏上擂台,default,
29,*与锦标赛对手进行对决,default,
30,*（可选）与周围的朋友们聊聊,default,
31,*踏上擂台,default,
32,*与锦标赛对手进行对决,default,
33,*（可选）与周围的朋友们聊聊,default,
34,*踏上擂台,default,
35,*与锦标赛对手进行对决,default,
36,*（可选）与周围的朋友们聊聊,default,
37,*踏上擂台，迎接决赛,default,
38,*与前任「冠军首席」进行对决,default,
39,*向乔瓦尼询问「高手玩家」的真相,default,
40,*寻找神秘的「高手玩家」,default,
41,}},default,
42,==剧情内容==,default,
43,=== 与三月七汇合，参加庆典 ===,default,
44,{{任务描述|这一天终于来了。全宇宙的高手玩家都聚集于此，而当比赛结束后，人们将只记得一位——是你把他们都击败了。|雅利洛-Ⅵ-行政区}},default,
45,*三月七：嘿，开拓者，今天就是大赛开幕的日子啦～你准备好了吗？,content,三月七
46,*次元扑满：哼哼！哼！哼哼！,content,次元扑满
47,{{剧情选项,default,
48,|选项1=整装待发！,option,开拓者
49,|剧情1=*三月七：看你这么有精神，我就放心了。,branch_content,三月七
50,|选项2=我激动得一晚没睡。,option,开拓者
51,|剧情2=*三月七：理解理解，不过可不要影响到今天的比赛状态啦。,branch_content,三月七
52,}},default,
53,*三月七：走吧，出发去{{颜色|描述1|「星际决胜庆典会场」}}！,content,三月七
54,*次元扑满：哼哼！哼！,content,次元扑满
55,,default,
56,=== 注册参赛资格 ===,default,
57,{{任务描述|开拓者——就让他们记住这个即将响彻寰宇的名号吧。|雅利洛-Ⅵ-旧武器试验场}},default,
58,*会场广播：各位观众请注意，各位观众请注意——,content,会场广播
59,*会场广播：星际决胜庆典锦标赛即将开始，请各位观众有序入场——,content,会场广播
60,*三月七：哇…看起来还真热闹。,content,三月七
61,----,default,
62,*三月七：看，是维尔德！应该就是找他注册参赛资格吧？,content,三月七
63,*维尔德：开拓者先生/小姐，三月七小姐！你们来了！,content,维尔德
64,*次元扑满：哼哼！哼！哼！,content,次元扑满
65,{{剧情选项,default,
66,|选项1=好久不见！,option,开拓者
67,|选项2=请问是在这里注册参赛资格吗？,option,开拓者
68,}},default,
69,*维尔德：请把以太硬币交给我吧，我来为两位注册参赛资格。,content,维尔德
70,*维尔德：完成，两位的信息上传到锦标赛系统中了。两位只要向那边的同事告知准备完成，就可以入场比赛了。,content,维尔德
71,*维尔德：距离比赛还有一段时间，两位可以利用这段时间好好准备一下——祝二位旗开得胜！,content,维尔德
72,*次元扑满：哼哼哼！哼哼，哼！,content,次元扑满
73,*三月七：看来次元扑满已经很有干劲了——我们也四处转转，好好做一下准备吧。,content,三月七
74,,default,
75,=== （可选）与周围的朋友们聊聊 ===,default,
76,{{任务描述|信念与希望足以构成通往胜利的桥梁。在踏上擂台之前，你还有时间从朋友的支持中汲取力量。|雅利洛-Ⅵ-旧武器试验场}},default,
77,:{{颜色|描述|与埃里克对话}},default,
78,*埃里克：啊…是外来者哥哥姐姐/姐姐们！,content,埃里克
79,*埃里克：我听别的小朋友说，你们也要来参加锦标赛，就专门跑来看了……,content,埃里克
80,*埃里克：祝…祝哥哥姐姐/姐姐们比赛顺利！你们一定要赢呀，打败公司的那帮坏蛋！,content,埃里克
81,----,default,
82,:{{颜色|描述|与希露瓦和佩拉对话}},default,
83,*希露瓦：哟，开拓者！你们是来看比赛的吗？,content,希露瓦
84,*佩拉：你没听说吗，希露瓦？他们也拿到了四枚资格徽章啊。,content,佩拉
85,*希露瓦：哦～原来是来参加比赛的啊！要是我们能在比赛中碰面，可要让你们见识见识我们的真本事！,content,希露瓦
86,*佩拉：哼哼…瞧好了吧，我的计算这次可不会再失误了。,content,佩拉
87,----,default,
88,:{{颜色|描述|与布洛妮娅对话}},default,
89,*布洛妮娅：又见面了，开拓者。希儿刚跑去维持秩序了，我正发愁比赛前该做些什么呢……,content,布洛妮娅
90,*布洛妮娅：虽然和公司的相处有些不愉快，但我们还是不希望影响到百姓们的娱乐生活……,content,布洛妮娅
91,*布洛妮娅：我们与这个宇宙隔绝了太久，这场庆典正是我们重新与星际接轨的重要机会——因此，我也必须尽到地主之谊才行。,content,布洛妮娅
92,*布洛妮娅：我会在观众席上好好看着你们的——加油，也祝你们玩得开心。,content,布洛妮娅
93,----,default,
94,:{{颜色|描述|与邓恩对话}},default,
95,*邓恩：这不是外来者么！听说你们也报名参加了这次的锦标赛，希望能在比赛中和你们顺利会师！,content,邓恩
96,*邓恩：当然，如果真要到了那时候，我可绝不会手下留情——你们一定要为那天在铁卫禁区里的暴行付出代价！,content,邓恩
97,*邓恩：…哈哈哈，开玩笑的。友谊第一、比赛第二，祝你们好运！,content,邓恩
98,,default,
99,=== 踏上擂台 ===,default,
