line_number,content,category,character
1,{{遗器套装,default,
2,|名称=净庭教宗的圣骑士,default,
3,|类别=隧洞遗器,default,
4,|两件套效果=防御力提高{{颜色|描述2|15%}}。,default,
5,|四件套效果=使装备者提供的护盾量提高{{颜色|描述2|20%}}。,default,
6,|获取方式=侵蚀隧洞、等级奖励,default,
7,|获取途径=[[侵蚀隧洞_•_圣颂之径|侵蚀隧洞【流云渡】]]、等级奖励,default,
8,|实装版本=1.0,default,
9,|TAG=防御力、护盾量,default,
10,|头部=圣骑的宽恕盔面,default,
11,|手部=圣骑的沉默誓环,default,
12,|躯干=圣骑的肃穆胸甲,default,
13,|脚部=圣骑的秩序铁靴,default,
14,|头部描述=如同宗教石雕宽恕女神的面具头盔，用以隐藏自己的相貌。,default,
15,|头部故事=肃静骑士从未在人前卸下过坚硬厚重的面具，肃穆的宗教面庞与萨菲娜的沉默共同塑造了难以呼吸的威圧感。<br><br>,default,
16,无论目中无人的恶魔，还是陷入疯狂的圣职，只会在肃穆的威压下露出本能的畏惧。<br><br>,default,
17,只有少数教廷的圣职知道，在那宗教盔面之下，是萨菲娜隐藏起的恶魔出身。教廷畏惧恶魔，又渴望恶魔的力量，这才有了矛盾的结果…俘获了幼年的恶魔，将她培养成骁勇的肃静骑士，却禁止她在人前露出真实的面孔，而是服从教宗的命令，化身为圣女的沉默骑士。<br><br>,default,
18,年龄相仿的圣女瓦妮拉曾亲自教导萨菲娜学习经文，她还记得烛光里恶魔的侧颜。<br><br>,default,
19,「我亲爱的萨菲娜，我见过你的面庞，我始终都记得。」圣女瓦妮拉在成年之后逐渐失明。,default,
20,|手部描述=装饰着教会纹样的银戒，镶嵌着看上去些许浑浊的宝石。,default,
21,|手部故事=教宗骑士同僚挥剑相向，庄严和礼仪逐渐崩塌，誓约守护的戒指开始变得浑浊不堪。<br><br>,default,
22,星海降下的力量赋予教会惩戒恶魔的实力，同时也传播了丧失人性的疯病。<br><br>,default,
23,疯病折磨的教宗骑士已经分不清礼仪与秩序，叫嚣着要驱逐出所有的恶魔后裔，让教会得到救赎。面对迫近圣女的威胁，萨菲娜没有犹豫的间隙，即便对方是净庭教会的骑士长，她也不能手下留情。<br><br>,default,
24,肃静骑士必须要保护好圣女，萨菲娜没有忘记。<br><br>,default,
25,「我亲爱的萨菲娜，你不必愧疚，这是觊觎星神力量的下场，理应如此。」教堂只剩下最后的圣女和守护骑士。,default,
26,|躯干描述=厚重的胸甲装饰着净庭教会鲜明的符号，关节处也都密不透风。,default,
27,|躯干故事=肃静骑士的盔甲需要接受圣女瓦妮拉的祝福，这是缔结守护骑士誓约的仪式。<br><br>,default,
28,教廷曾用金属锁链绑住幼年恶魔的手脚。如今萨菲娜恳求将来自恶魔之乡的金属铸成铠甲，以便安葬时有故土傍身。<br><br>,default,
29,净庭教会的圣女仔细擦洗着盔甲上的罪孽，虔诚地献上神明的祷词，将久远的奇迹封印在胸甲上心脏的位置。教会并不相信恶魔的忠诚，但却坚信教义拥有净化一切的力量。萨菲娜沉默着，注视着复古的仪式赋予自己的责任。<br><br>,default,
30,圣女并不相信仪式本身的目的，没有什么能清洗掉莫须有的罪恶。<br><br>,default,
31,「我亲爱的萨菲娜，骑士可要保护好圣女啊。」瓦妮拉依靠在萨菲娜的胸甲上，听见剧烈的心跳声。,default,
32,|脚部描述=净庭教会骑士的标准骑士长靴，脚后跟上刻印着简短的单词：「秩序」。,content,脚后跟上刻印着简短的单词
33,|脚部故事=净庭教会已经崩塌，萨菲娜卸下骑士的铁靴，和圣女瓦妮拉踏上前往恶魔之乡的远行。<br><br>,default,
34,在圣女的恳求下，萨菲娜没有让任何教宗骑士将疯病带离教廷，秘密被永远留在她们心中。<br><br>,default,
35,不知何时，人们听说了一个传言：被教会驱逐的恶魔后裔附身在圣洁的肃静骑士身上，邪恶的魔女驱使着骑士破坏了教宗的秩序…传言化为了「真相」，虔诚的信徒将绝望和疯狂倾泻在肃静骑士的身上，将她看作是一切的罪魁祸首。<br><br>,content,人们听说了一个传言
36,失去了容身之所之后，圣女提出了归乡远行的建议。<br><br>,default,
37,「从此，我成为了魔女，你变回了恶魔。」面对瓦妮拉的说法，萨菲娜无法否认。,default,
38,|位面球=,default,
39,|连结绳=,default,
40,|位面球描述=,default,
41,|位面球故事=,default,
42,|连结绳描述=,default,
43,|连结绳故事=,default,
44,}},default,
45,<br>,default,
46,{{主观提示|攻略相关}},default,
47,==推荐角色==,default,
48,"{| class=""wikitable"" style=""text-align:center""",default,
49,! 角色,default,
50,! 推荐说明,default,
51,|-,default,
52,| {{角色头像|杰帕德}}<br>{{角色头像|三月七}},default,
53,"| style=""text-align:left"" | 杰帕德和三月七的毕业套装，提供防御力和盾量加成，非常适合这两位给队友提供盾的角色。",default,
54,|-,default,
55,| {{角色头像|开拓者•存护}},default,
56,"| style=""text-align:left"" | 火主给队友提供的盾量微乎其微，4件套提供的盾量加成对于火主来说提升过小，不推荐使用4件套。2件套可以给火主提供防御力，所以比较推荐和{{图标|戍卫风雪的铁卫}}搭配成2+2使用，提升火主自身的抗伤能力。",default,
57,|},default,
58,{{WIKI底部导航|遗器=展开}},default,
