line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=出发！残响回廊,default,
4,|任务地区=雅利洛-Ⅵ,default,
5,|任务类型=活动任务,default,
6,|所属版本=1.4,default,
7,|任务描述=乔瓦尼先生说，只有完成每个决胜乐园的试炼、取得资格徽章才可以参加庆典赛事。<br>「残响回廊」是你们的第一站。里面会有什么挑战在等待呢？,default,
8,|时间=<!-- 限时任务填写，可留空 -->,default,
9,|奖励={{图标|里程|200}}{{图标|星琼|40}}{{图标|漫游指南|6}}{{图标|遗失晶块|4}}{{图标|信用点|40000}},default,
10,|任务条件=完成任务「[[启程！以太战线]]」,default,
11,|开放等级=34,default,
12,|相关活动=「以太战线」,default,
13,|相关成就=与你同行的回忆#凛风徽章,default,
14,|相关道具=残响回廊的资格徽章,default,
15,|相关书籍=,default,
16,|出场人物=三月七、希露瓦、佩拉、卢卡、乔瓦尼、邓恩,default,
17,|领取地点=,default,
18,|系列任务=星际决胜庆典,default,
19,|任务编号=02,default,
20,|前置任务=*[[启程！以太战线]],default,
21,|后续任务=*[[前进！流云渡]],default,
22,|任务流程=*前往残响回廊,default,
23,*和乔瓦尼聊聊,default,
24,*捕捉新的以太灵,default,
25,*向乔瓦尼汇报,default,
26,*继续探索决胜乐园,default,
27,*点亮两座灯炉,default,
28,*完成当前区域的试炼,default,
29,*前往下一个试炼区域,default,
30,*完成当前区域的试炼,default,
31,*与希露瓦和佩拉对决,default,
32,*前往封锁区域,default,
33,*挑战霸主以太灵,default,
34,*回歌德宾馆休息,default,
35,}},default,
36,==剧情内容==,default,
37,=== 前往残响回廊 ===,default,
38,{{任务描述|乔瓦尼先生说，只有完成每个决胜乐园的试炼、取得资格徽章才可以参加庆典赛事。<br>「残响回廊」是你们的第一站。里面会有什么挑战在等待呢？|雅利洛-Ⅵ-决胜乐园}},default,
39,*三月七：就是这儿啦，{{颜色|描述1|「残响回廊的决胜乐园」}}入口！,content,三月七
40,*三月七：我刚刚又上星际互联网络查了查攻略，才知道这「决胜乐园」是公司和竞技协会专门向各个星球租借的场地——公司的腕儿可真大。,content,三月七
41,*三月七：你准备好了吗，开拓者？我们出发吧～,content,三月七
42,*次元扑满：哼哼，哼！,content,次元扑满
43,{{剧情选项|选项1=出发吧。}},default,
44,*三月七：决胜乐园里都会有些什么呢～真期待呀。,content,三月七
45,,default,
46,=== 和乔瓦尼聊聊 ===,default,
47,{{任务描述|乔瓦尼先生说，只有完成每个决胜乐园的试炼、取得资格徽章才可以参加庆典赛事。<br>抵达决胜乐园之后要做些什么呢？不如去问问万能的乔瓦尼先生吧。|决胜乐园-「残响回廊」}},default,
48,*三月七：看，乔瓦尼先生果然也在这里！,content,三月七
49,*三月七：嘿，乔瓦尼先生！我们又见面啦。,content,三月七
50,*次元扑满：哼哼？哼哼，哼！,content,次元扑满
51,*乔瓦尼：哈哈，两位的动作很快嘛！欢迎来到{{颜色|描述1|「残响回廊的决胜乐园」}}！,content,乔瓦尼
52,{{剧情选项,default,
53,|选项1=你在这里做什么呢？,option,开拓者
54,|剧情1=*乔瓦尼：好问题！作为赞助人，我正在视察每个游戏设施——先前的决胜庆典竞技场就是我的第一站。,branch_content,乔瓦尼
55,|选项2=赞助人还得亲自下场玩游戏啊？,option,开拓者
56,|剧情2=*乔瓦尼：哈哈哈，不瞒你说，我本人也确实是这以太战线的资深玩家。,branch_content,乔瓦尼
57,}},default,
58,*乔瓦尼：话说回来，两位恐怕是第一次进入{{颜色|描述1|「决胜乐园」}}吧？,content,乔瓦尼
59,*乔瓦尼：还记得我先前介绍的吗？玩家在决胜乐园中进行{{颜色|描述1|收集游离数据}}、{{颜色|描述1|和其他玩家切磋}}等种种活动，都可以提升自己的{{颜色|描述1|「决胜者评级」}}。,content,乔瓦尼
60,*乔瓦尼：其中，{{颜色|描述1|收集游离数据}}更是相当重要的环节——因为这是玩家除了购买和交换外，唯一能够入手新以太灵的方法。,content,乔瓦尼
61,*乔瓦尼：正巧，两位也都在这里——不如就让我来教两位如何收集游离数据吧。,content,乔瓦尼
62,*三月七：咦，真的可以吗？会不会太麻烦您了……,content,三月七
63,*乔瓦尼：没有的事——让各位新手玩家快速掌握游玩方法也是庆典的一环嘛。,content,乔瓦尼
64,*乔瓦尼：我就将这名为{{颜色|描述1|外宇宙之炎}}的以太数据赠给两位好了——有了它，你们收集游离数据想必会轻松不少。,content,乔瓦尼
65,*乔瓦尼：这附近刚好有不少落单的游离数据。不如就拿它们来练手吧？,content,乔瓦尼
66,*次元扑满：哼哼，哼，哼哼！,content,次元扑满
67,,default,
68,=== 捕捉新的以太灵 ===,default,
69,{{任务描述|想要成为冠军，必须先组建一支强大的队伍。<br>收集游离数据，捕捉属于自己的以太灵吧！|决胜乐园-「残响回廊」}},default,
70,{{折叠|标题=额外对话（乔瓦尼）|内容=,default,
71,*乔瓦尼：哦？看来你们还没有把队伍填满呢……,content,乔瓦尼
72,*乔瓦尼：我强烈建议你们先把队伍填满再继续前进——凭你们现在的状态，恐怕很难对付后面的挑战者和冠军候补哦。,content,乔瓦尼
73,*开拓者：（收集更多游离数据，把队伍填满吧……）,content,开拓者
74,|折叠=是}},default,
75,:{{颜色|描述|获得两个以太灵后…}},default,
76,,default,
77,=== 向乔瓦尼汇报 ===,default,
78,{{任务描述|想要成为冠军，必须先组建一支强大的队伍。<br>你已经捕捉了足够的以太灵，该回去向乔瓦尼先生寻求下一步指示了。|决胜乐园-「残响回廊」}},default,
79,*乔瓦尼：嗯…不愧是大名鼎鼎的开拓者，只是这样简单体验过后就能上手——你们可真是天生的玩家。,content,乔瓦尼
80,*三月七：嘿嘿～不愧是我们俩！,content,三月七
81,*次元扑满：哼哼！哼～哼！,content,次元扑满
82,{{剧情选项,default,
83,|选项1=都是乔瓦尼先生教得好。,option,开拓者
84,|剧情1=*三月七：嘿，还是你会说话。也确实，多谢乔瓦尼先生啦。,branch_content,三月七
85,|选项2=不愧是三月七！,option,开拓者
86,|剧情2=*三月七：哼哼，会夸你就多夸两句～,branch_content,三月七
87,|选项3=不愧是我！,option,开拓者
