line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=列车行为准则：管理经验,content,列车行为准则
4,|任务地区=星穹列车<!-- 空间站「黑塔」、雅利洛-Ⅵ、仙舟「罗浮」 -->,default,
5,|任务类型=冒险任务<!-- 开拓任务、同行任务、冒险任务、日常任务、活动任务 -->,default,
6,|角色=<!-- 同行任务填写 -->,default,
7,|所属版本=1.0,default,
8,|任务描述=试着向虎克讨教一些管理学经验，不过…虎克真的懂吗？{{#info:试着向佩拉/杰帕德/布洛妮娅/娜塔莎/史瓦罗与克拉拉讨教一些管理学经验。}},default,
9,|时间=接取任务后4小时<!-- 限时任务填写，可留空 -->,default,
10,|奖励={{图标|稀薄以太|2}}{{图标|陨铁|1}}{{图标|信用点|8000}}<!-- {{图标|材料名|个数}} -->,default,
11,|任务条件=,default,
12,|开放等级=17,default,
13,|相关活动=,default,
14,|相关成就=<!-- 合集名#成就名 顿号分隔 -->,default,
15,|相关道具=,default,
16,|相关书籍=,default,
17,|出场人物=帕姆、佩拉、杰帕德、布洛妮娅、虎克、娜塔莎、克拉拉、史瓦罗,default,
18,|领取地点=与帕姆对话随机出现,default,
19,|系列任务=帕姆任务,default,
20,|任务编号=30<!-- 有系列任务时填写 -->,default,
21,|前置任务=<!-- *[[前置任务]] -->,default,
22,|后续任务=<!-- *[[后续任务]] -->,default,
23,|任务流程=,default,
24,*向佩拉/杰帕德/布洛妮娅/虎克/娜塔莎/史瓦罗与克拉拉请教,default,
25,*回去向帕姆复命,default,
26,}},default,
27,==剧情内容==,default,
28,*帕姆：开拓者……,content,帕姆
29,{{剧情选项,default,
30,|选项1=我回来咯！,option,开拓者
31,|图标1=任务,default,
32,}},default,
33,*帕姆：禁止乘客躺在沙发上吃东西…禁止乘客在帕姆刚拖干净的地板上踩出脚印…禁止……,content,帕姆
34,{{剧情选项,default,
35,|选项1=不如禁止乘客上列车。,option,开拓者
36,|剧情1=*帕姆：禁止乘客上列车…不对！列车上没有乘客了，那还叫什么列车！,branch_content,帕姆
37,|选项2=你这规矩也太多了吧！,option,开拓者
38,|剧情2=*帕姆：诶？有吗！我一直闷着头写准则，自己还没来得及仔细看看呢！,branch_content,帕姆
39,}},default,
40,*帕姆：哎，现在列车上的乘客越来越多，什么人都有——呃，我不是在说你，不是每个乘客都像你一样乖巧懂事。,content,帕姆
41,*帕姆：帕姆在想，身为列车长，接下来得加强对列车的管控，这需要管理学知识……,content,帕姆
42,*帕姆：对了，开拓者乘客，我听三月七乘客说，贝洛伯格可是个大城市，你们还认识那里的大人物！,content,帕姆
43,*帕姆：想必会有精通于此的人帕！你有什么推荐的人选吗？,content,帕姆
44,{{剧情选项,default,
45,|选项1=诚挚向你推荐上层区的…,option,开拓者
46,|剧情1=,branch_content,
47,{{剧情选项,default,
48,|选项1=佩拉。,option,开拓者
49,|剧情1=*帕姆：我就说嘛，你果然是在贝洛伯格认识了不少新朋友，那就麻烦你代我去请教一二帕！,branch_content,帕姆
50,===向佩拉请教===,default,
51,{{任务描述|试着向佩拉讨教一些管理学经验。|雅利洛-Ⅵ-行政区}},default,
52,{{剧情选项,default,
53,|选项1=请教管理经验…,option,开拓者
54,|图标1=任务,default,
55,}},default,
56,*佩拉：这其实和情报官的工作一样，都要依靠脑力。,content,佩拉
57,*佩拉：细心地搜集每个人的资料，梳理出有用的部分，根据实际情况分门别类备份整理…基本就是这些了。,content,佩拉
58,*佩拉：听起来虽然很庞杂，但实际做起来会很有成就感。诀窍的话，就是细致。,content,佩拉
59,|选项2=杰帕德。,option,开拓者
60,|剧情2=*帕姆：我就说嘛，你果然是在贝洛伯格认识了不少新朋友，那就麻烦你代我去请教一二帕！,branch_content,帕姆
61,===向杰帕德请教===,default,
62,{{任务描述|试着向杰帕德讨教一些管理学经验。|雅利洛-Ⅵ-铁卫禁区}},default,
63,{{剧情选项,default,
64,|选项1=请教管理经验…,option,开拓者
65,|图标1=任务,default,
66,}},default,
67,*杰帕德：要管理列车…大概就是要有一定的觉悟。,content,杰帕德
68,*杰帕德：要负责列车乘客的日常生活，事项繁琐又枯燥，那就得有勇气，随时准备好承担一切职责。,content,杰帕德
69,*杰帕德：必要时，连休息时间都要贡献出来，得有这样的觉悟才行。,content,杰帕德
70,|选项3=布洛妮娅。,option,开拓者
71,|剧情3=*帕姆：我就说嘛，你果然是在贝洛伯格认识了不少新朋友，那就麻烦你代我去请教一二帕！,branch_content,帕姆
72,===向布洛妮娅请教===,default,
73,{{任务描述|试着向布洛妮娅讨教一些管理学经验。|雅利洛-Ⅵ-行政区}},default,
74,{{剧情选项,default,
75,|选项1=请教管理经验…,option,开拓者
76,|图标1=任务,default,
77,}},default,
78,*布洛妮娅：我最近也在思考这方面的内容。你要是问从前的我，可能会得到无数个听上去很专业的回答。,content,布洛妮娅
79,*布洛妮娅：但现在，我的答案只有一个——,content,布洛妮娅
80,*布洛妮娅：要站在大家的角度切身处地去思考。因为我的每一个决策，都可能影响到无数人的生活……,content,布洛妮娅
81,|选项4=我再想想…,option,开拓者
82,|图标4=返回,default,
83,}},default,
84,|选项2=诚挚向你推荐下层区的…,option,开拓者
85,|剧情2=,branch_content,
86,{{剧情选项,default,
87,|选项1=虎克。,option,开拓者
88,|剧情1=*帕姆：我就说嘛，你果然是在贝洛伯格认识了不少新朋友，那就麻烦你代我去请教一二帕！,branch_content,帕姆
89,===向虎克请教===,default,
90,{{任务描述|试着向虎克讨教一些管理学经验，不过…虎克真的懂吗？|雅利洛-Ⅵ-磐岩镇}},default,
91,{{剧情选项,default,
92,|选项1=请教管理经验…,option,开拓者
93,|图标1=任务,default,
94,}},default,
95,*虎克：管理经验？你很有眼色嘛！,content,虎克
96,*虎克：记住组织里的每个成员，还要带大家一起吃好吃的，玩好玩的！还有…还有…定期组织大探险活动！,content,虎克
97,*虎克：这样才能当好鼹鼠党的老大！怎么样，虎克是不是很厉害！一般人可做不到呢！,content,虎克
98,|选项2=娜塔莎。,option,开拓者
99,|剧情2=*帕姆：我就说嘛，你果然是在贝洛伯格认识了不少新朋友，那就麻烦你代我去请教一二帕！,branch_content,帕姆
100,===向娜塔莎请教===,default,
