line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=列车长的馈赠,default,
4,|任务地区=星穹列车,default,
5,|任务类型=冒险任务<!-- 开拓任务、同行任务、冒险任务、日常任务、活动任务 -->,default,
6,|所属版本=1.0,default,
7,|任务描述=帕姆似乎有什么礼物要给你，快回去看看吧。,default,
8,|时间=<!-- 限时任务填写，可留空 -->,default,
9,|奖励={{图标|星琼|10}}{{图标|冒险记录|2}}{{图标|稀薄以太|3}}{{图标|信用点|15000}}<!-- {{图标|材料名|个数}} -->,default,
10,|任务条件=,default,
11,|开放等级=13,default,
12,|相关活动=,default,
13,|相关成就=,default,
14,|相关道具=,default,
15,|出场人物=帕姆,default,
16,|领取地点=开拓等级到达13级后收到帕姆短信接取,default,
17,|前置任务=<!-- *[[前置任务]] -->,default,
18,|后续任务=<!-- *[[后续任务]] -->,default,
19,|任务流程=*回到列车，与帕姆交谈<!-- *任务流程 -->,default,
20,}},default,
21,==剧情内容==,default,
22,===任务接取短信===,default,
23,{{角色对话|模板开始|帕姆|开拓奖励找我！以后会优化}},default,
24,{{角色对话|左|帕姆|文本|感觉开拓者乘客好久没有回列车了……}},default,
25,{{剧情选项,default,
26,|选项1=我们不是刚分开？,option,开拓者
27,|剧情1={{角色对话|右|开拓者|文本|距离我们上一次说再见好像没有过去很久吧？}},branch_content,
28,{{角色对话|左|帕姆|文本|不要在意这些细节帕！}},default,
29,|选项2=好像的确蛮久了…,option,开拓者
30,|剧情2={{角色对话|右|开拓者|文本|唔…确实感觉过了挺久，都有点忘记帕姆长什么样子了}},branch_content,
31,{{角色对话|左|帕姆|文本|倒也没有那么久帕！}},default,
32,}},default,
33,{{角色对话|左|帕姆|文本|有时间还是回来一趟帕，我有一些东西要给你}},default,
34,{{角色对话|左|帕姆|表情|07-02}},default,
35,{{角色对话|模板结束}},default,
36,===回到列车，与帕姆交谈===,default,
37,{{任务描述|帕姆似乎有什么礼物要给你，快回去看看吧。}},default,
38,*帕姆：让列车长看看…开拓者乘客，你已经不是帕姆最开始认识的你了！,content,帕姆
39,{{剧情选项,default,
40,|选项1=是我成长过于飞速。,option,开拓者
41,|选项2=是你对我看法有变。}},option,开拓者
42,*帕姆：列车长的眼光是不会出错的。开拓者乘客，现在的你，已经不再是过去的你了！,content,帕姆
43,*帕姆：三月七乘客最开始在外冒险的时候，也发生了这样的转变。帕姆不知道怎么说比较好…感觉，更加成熟？更加稳重？,content,帕姆
44,*帕姆：嗯…就是更加靠谱了帕！这是来自列车长的肯定。,content,帕姆
45,*帕姆：作为成长的奖励，我给你准备了一些小小的礼物。别客气，尽管收下帕。,content,帕姆
46,*帕姆：之后帕姆也会见证你的进步，并给你准备一些小礼物的哦。至于具体是什么礼物…到时候就知道啦！,content,帕姆
