line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=初花剑客行,default,
4,|任务地区=仙舟「罗浮」,default,
5,|任务类型=活动任务,default,
6,|所属版本=2.4,default,
7,|任务描述=三月七正式开始了向彦卿、云璃开始学剑之旅，并且得到了一个确切的目标：「在15日后击败斯科特」。<br>时间紧，学务重，多亏了有你这样的助教帮助三月七规划日程…没有你，她该怎么办啊？,content,并且得到了一个确切的目标
8,|时间=<!-- 限时任务填写，可留空 -->,default,
9,|奖励={{图标|星琼|30}}{{图标|漫游指南|2}}{{图标|提纯以太|2}}{{图标|信用点|30000}},default,
10,|任务条件=开拓等级≥21级<br>,default,
11,※建议完成开拓续闻「仙舟『罗浮』」-「[[游园惊梦]]」「[[授剑传行，腾然流星]]」，解锁三月七的「巡猎」命途后体验本内容。,default,
12,|开放等级=21,default,
13,|相关活动=「初花习剑录」,default,
14,|相关成就=<!-- 合集名#成就名 顿号分隔 -->,default,
15,|相关道具=,default,
16,|相关书籍=,default,
17,|出场人物=三月七、彦卿、云璃,default,
18,|领取地点=,default,
19,|系列任务=初花习剑录,default,
20,|任务编号=01,default,
21,|前置任务=<!-- *[[前置任务]] -->,default,
22,|后续任务=*[[初花剑客行•剑斗]],default,
23,*[[初花剑客行•祓除]],default,
24,*[[初花剑客行•辩辞]],default,
25,*[[初花剑客行•泄火]],default,
26,*[[初花剑客行•夺主]],default,
27,|任务流程=*前往司辰宫后花园，监督三月七学剑,default,
28,*前往不夜侯，准备拜师仪式,default,
29,*与梦茗交谈,default,
30,*前往司辰宫后花园，监督三月七学剑,default,
31,*协助三月七学剑，尝试故事其他的走向,default,
32,}},default,
33,,default,
34,==剧情内容==,default,
35,=== 前往司辰宫后花园，监督三月七学剑 ===,default,
36,{{任务描述|让我们将时间拨回到三月七刚收下二位小师父赠礼的时候，她收下双剑，满心期待着就像剑侠幻戏中的大侠一样行侠仗义。<br>不如趁这个机会，你也正好了解一番三月七到底是怎样学剑的吧。|仙舟「罗浮」-星槎海中枢}},default,
37,:{{颜色|描述|让时间回到三月七刚开始学剑的时候……}},default,
38,*彦卿：既然三月小姐已经到位，那我们就开始今日的教学吧。,content,彦卿
39,*云璃：我不擅长摆什么师父架子，既然爷爷叫我来教你习剑，我绝不藏私。,content,云璃
40,*三月七：哪里哪里，两位师父客气了。欸，等等，咱们的教学现在才算是正式开始吗？,content,三月七
41,*云璃：毕竟观察了你前几日的练习之后，我们才能判断出你的资质嘛。,content,云璃
42,*三月七：师父师父，我的资质如何呢？,content,三月七
43,*彦卿：三月小姐天资聪颖，有学剑的天赋。,content,彦卿
44,*三月七：欸，开拓者你来了，听到了吗？两位师父说我是学剑的天才。,content,三月七
45,{{剧情选项,default,
46,|选项1=确实，不愧是咱家的三月七。,option,开拓者
47,|剧情1=*三月七：嘿嘿，我要是学成回去，大家还不得对我刮目相看。,branch_content,三月七
48,|选项2=三月，要当心仙舟的客套话。,option,开拓者
49,|剧情2=*三月七：对哦！害我白高兴一场。,branch_content,三月七
50,*云璃：我是有话直说的。放心吧，你是真有天赋。,content,云璃
51,*三月七：嘿嘿，开拓者你听你听，我是真的天才！,content,三月七
52,}},default,
53,*彦卿：剑术修行从来都是苦修，三月小姐既然决心习剑，就得在正式修行前找到能够让自己坚持下去的理由，这个理由可大可小，但是不可暧昧不清。,content,彦卿
54,*云璃：换句话说，虽然成为徒弟的过程是挺被动的，但是学习的过程你得主动一些。,content,云璃
55,*彦卿：彦卿曾经有幸与一名剑术高手同行论剑，她问我小小年纪为何踏上习剑之路，为何挥剑…今日第一课，我也想从这个问题开始——,content,彦卿
56,*彦卿：三月小姐，你为何挥剑？,content,彦卿
57,*三月七：为何挥剑…我挥剑是为了击倒敌人！难道不是吗？,content,三月七
58,*彦卿：我也曾问过那名剑术高手为何挥剑，她说「为杀敌而挥剑，仅此而已」。三月小姐竟然给出了相似的回复，看来你确有天赋。,content,彦卿
59,{{剧情选项,default,
60,|选项1=击倒对手的方法要多少有多少。,option,开拓者
61,|选项2=只想击倒敌人的话用弓也可以。,option,开拓者
62,}},default,
63,*三月七：「要想击倒对方，最好的办法就是用爆能枪。」我在幻戏里听过类似的话！大侠还说习剑能将人的体能推向最高的极限。,content,三月七
64,*彦卿：看来三月小姐没少看幻戏。不过在彦卿看来，三月小姐若是以「提升自己」为目标，学成之后即便放下剑再拾起弓，你一样会感到学有所成。,content,彦卿
65,*云璃：别听彦卿那些虚头巴脑的鸡汤了。,content,云璃
66,*彦卿：哦？我倒要听听云璃大师有什么高见……,content,彦卿
67,*云璃：三月，我问你，你学剑有没有什么具体可实现的目标呢？比如在演武仪典上拿到个什么段位或者名次？有没有想要战胜的人，比如彦卿、或者是我？,content,云璃
68,*三月七：我要战胜谁呢…开拓者？丹恒？姬子姐姐？杨叔？,content,三月七
69,*云璃：…要是想不到具体的人，不如把目标设定得简单一些，比如用剑能同时打倒多少个对手？,content,云璃
70,*三月七：「我要打十个！」,content,三月七
71,*云璃：…十个？,content,云璃
72,*三月七：啊啊啊，其实「我要打十个！」也是幻戏里的台词，不小心就脱口而出了……,content,三月七
73,{{剧情选项,default,
74,|选项1=你这人满脑子都是幻戏呢。,option,开拓者
75,|剧情1=*三月七：…我就是喜欢看这个嘛。,branch_content,三月七
76,|选项2=对面场上有五个就已是极限了。,option,开拓者
77,|剧情2=*三月七：…不知道你在说什么。,branch_content,三月七
78,}},default,
79,*云璃：我好像已经明白三月七学剑的动力是什么了。,content,云璃
80,*彦卿：…不会是剑侠幻戏吧？,content,彦卿
81,*三月七：你们这么一说，有道理欸！,content,三月七
82,*三月七：本姑娘对仙舟幻戏、小说，都很感兴趣的！我虽然是用弓箭的，但是幻戏里的大侠几乎全都是用剑的，我也想成为那样的大侠！,content,三月七
83,*云璃：你看吧？,content,云璃
84,{{剧情选项,default,
85,|选项1=感觉这是你对大侠的偏见。,option,开拓者
86,|剧情1=*三月七：…那有什么关系嘛，一千个读者眼中就会有一千个大侠。,branch_content,三月七
87,|选项2=用来激励自己学剑的好理由！,option,开拓者
88,|剧情2=*三月七：对吧对吧，你就说谁的心里没有一个剑侠梦呢？,branch_content,三月七
