line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=初花剑客行•剑斗,default,
4,|任务地区=仙舟「罗浮」,default,
5,|任务类型=活动任务,default,
6,|所属版本=2.4,default,
7,|任务描述=三月七用自己掌握的剑技，堂堂正正地战胜了斯科特。决斗的最后，就连斯科特也不得不承认，三月七，真的有两把刷子…啊，不对，是有两柄剑。,default,
8,|时间=<!-- 限时任务填写，可留空 -->,default,
9,|奖励={{图标|星琼|10}}{{图标|遗失晶块|2}}{{图标|信用点|20000}},default,
10,|任务条件=完成任务[[初花剑客行]],default,
11,|开放等级=21,default,
12,|相关活动=「初花习剑录」,default,
13,|相关成就=,default,
14,|相关道具=,default,
15,|相关书籍=,default,
16,|出场人物=三月七、彦卿、云璃,default,
17,|领取地点=,default,
18,|系列任务=初花习剑录,default,
19,|任务编号=02,default,
20,|前置任务=*[[初花剑客行]],default,
21,|后续任务=,default,
22,|任务流程=*前往金人巷，参加约定的决斗,default,
23,}},default,
24,,default,
25,==剧情内容==,default,
26,=== 前往金人巷，参加约定的决斗 ===,default,
27,{{任务描述|十五日约定的时间已经到了，无论剑法好坏，既然彦卿师父、云璃师父说了三月七可以一战，你也大可相信她有作为胜者的能耐。<br>想必斯科特已经在金人巷等候多时了，现在就去会会他吧。|仙舟「罗浮」-金人巷}},default,
28,*斯科特：瞧瞧，这不是我们的女侠三月七吗？,content,斯科特
29,*三月七：哼，本姑娘没有躲没有藏，你下了战帖，我自会前来应战。,content,三月七
30,*三月七：…不过咱就是问一下，你干嘛非得选在金人巷里？这里游人还挺多的，要是有人被误伤到了也不好。,content,三月七
31,*斯科特：为什么是金人巷？你身边这位小兄弟/小妹妹最清楚不过了。,content,斯科特
32,{{剧情选项,default,
33,|选项1=毕竟，这是你学狗叫的地方。,option,开拓者
34,|剧情1=*斯科特：我无法否认，我始终忘不掉那一天的事情。,branch_content,斯科特
35,|选项2=你在这里遭遇了事业的挫折。,option,开拓者
36,|剧情2=*斯科特：没错，从那天起，我被抽调出分部的核心业务。,branch_content,斯科特
37,}},default,
38,*斯科特：我特意选在金人巷，那是因为我得让当初那些嘲笑我的父老乡亲们前来围观。,content,斯科特
39,*斯科特：他们会惊讶「啊——？！当初那个斯科特怎么又回来了？这次他又要做什么？」,content,斯科特
40,*斯科特：他们会看到，当初被当众羞辱的斯科特重新回到了金人巷一雪前耻。,content,斯科特
41,*斯科特：我得让父老乡亲们听个明白，今天在这里学小畜生的，不会是我，而是你——！,content,斯科特
42,{{剧情选项,default,
43,|选项1=感觉你的格局太小了。,option,开拓者
44,|剧情1=*三月七：是啊，要是幻戏里的反派就这点追求，我肯定是要退票的。,branch_content,三月七
45,|选项2=是不是找错复仇对象了？,option,开拓者
46,|剧情2=*斯科特：错，我要复仇的是整个金人巷！,branch_content,斯科特
47,}},default,
48,*三月七：…可是你复仇金人巷，与欺负不夜侯的小老板娘有什么关系？,content,三月七
49,*斯科特：闭嘴——！,content,斯科特
50,*斯科特：我有自己的原则，我不想一辈子都陷在金人巷的阴影里！你以为我是公司臭要饭的？,content,斯科特
51,*斯科特：我忍了这么久，就是想等一个机会！我要争一口气，不是要证明我有多了不起，我是要告诉金人巷里的所有人，我失去的东西，我一定要拿回来！,content,斯科特
52,{{剧情选项,default,
53,|选项1=少废话，你失去的拿不回去了！,option,开拓者
54,|剧情1=*三月七：就是就是！,branch_content,三月七
55,|选项2=你应该堂堂正正拿回你的尊严！,option,开拓者
56,|剧情2=*三月七：而不是用这种肮脏的手段！,branch_content,三月七
57,}},default,
58,*斯科特：我调查过了，你不过是学剑才十五天的菜鸟，就这还想打败我无敌的机甲？痴人说梦！,content,斯科特
59,*斯科特：客套话就到此为止了！兄弟们，给我上！,content,斯科特
60,*三月七：哼，等你输了以后，你就知道本姑娘到底有什么本事了！,content,三月七
61,:{{颜色|灰|进入战斗}},default,
62,<tabber>,default,
63,赢得比试=,default,
64,*斯科特：啊啊啊啊——你们这些好吃懒做的废物！你们怎么、怎么就输给了那个菜鸟了呢？！,content,斯科特
65,*三月七：你别赖别人，你不也被我打败了吗？,content,三月七
66,*斯科特：难道说，我又要…我不！我不我不我不！凭什么，仙舟的小铁片子就能击败公司的无敌机甲！肯、肯定是你们作弊了，这一场不算，我要求重来！,content,斯科特
67,*三月七：小铁片子、小铁片子…真正决定胜利的可从来不是什么武器，是人！,content,三月七
68,{{剧情选项,default,
69,|选项1=在那之前，按照老规矩……,option,开拓者
70,|剧情1=*三月七：老规矩，别忘了！,branch_content,三月七
71,|选项2=金人巷的父老乡亲都看着呢。,option,开拓者
72,|剧情2=*三月七：就是就是，都是老熟人了。,branch_content,三月七
73,|选项3=我其实很佩服你愿赌服输。,option,开拓者
74,|剧情3=*三月七：你要是说到做到，咱也佩服你。,branch_content,三月七
75,}},default,
76,*斯科特：够了——也不是第一次了，我道歉！,content,斯科特
77,*斯科特：我要向不夜侯的小老板娘道歉，是我惹事生非、故意找事，全都怪我！,content,斯科特
78,{{剧情选项,default,
79,|选项1=你还没学猪叫呢？,option,开拓者
80,|剧情1=*三月七：对啊，猪叫呢！,branch_content,三月七
81,|选项2=（适当地沉默，暗示他）,option,开拓者
82,|剧情2=*某个码头工人：你刚才怎么说的，学猪叫呢？,branch_content,某个码头工人
83,}},default,
84,*人群的嘈杂声：对啊，对啊。,content,人群的嘈杂声
85,*三月七：等一下，我要录下来。,content,三月七
86,*斯科特：此时此刻，恰如彼时彼刻…在学猪叫之前，我还有一句话要说！,content,斯科特
87,*斯科特：公司机甲，猪头才要——,content,斯科特
88,*斯科特：哼哧！呼噜呼噜！哼——,content,斯科特
89,*斯科特：哼哧哼哧呼噜噜——,content,斯科特
90,:{{颜色|描述|斯科特专员垂头丧气地离开了码头。}},default,
91,:{{颜色|描述|一段小插曲结束了，而三月七的剑术学习还将继续。}},default,
92,,default,
93,|-|输掉比试=,default,
94,*三月七：呜…我输了……,content,三月七
95,{{剧情选项,default,
96,|选项1=你还好吧？,option,开拓者
97,|剧情1=*三月七：我没受什么伤，但是……,branch_content,三月七
98,|选项2=斯科特，你完蛋了。,option,开拓者
