line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=初花剑客行•夺主,default,
4,|任务地区=仙舟「罗浮」,default,
5,|任务类型=活动任务,default,
6,|所属版本=2.4,default,
7,|任务描述=多亏了银狼的协助，三月七剑术进步了不少…银狼将普罗米交给三月七，三月七直接控制了公司的机甲。<br>就结果而言，三月七确实战胜了斯科特，只是这跟剑法毫无关系。,default,
8,|时间=<!-- 限时任务填写，可留空 -->,default,
9,|奖励={{图标|星琼|10}}{{图标|遗失晶块|2}}{{图标|信用点|20000}},default,
10,|任务条件=完成任务[[初花剑客行]],default,
11,|开放等级=21,default,
12,|相关活动=「初花习剑录」,default,
13,|相关成就=<!-- 合集名#成就名 顿号分隔 -->,default,
14,|相关道具=,default,
15,|相关书籍=,default,
16,|出场人物=三月七、银狼,default,
17,|领取地点=,default,
18,|系列任务=初花习剑录,default,
19,|任务编号=06,default,
20,|前置任务=*[[初花剑客行]],default,
21,|后续任务=,default,
22,|任务流程=*与银狼交谈,default,
23,*前往金人巷，参加约定的决斗,default,
24,}},default,
25,,default,
26,==剧情内容==,default,
27,:{{颜色|描述|时间回到三月七与斯科特立下赌约之后。<br>三月七需严格按照日程练习剑术，十五日内通过三次试剑……}},default,
28,:{{颜色|灰|这次在银狼的帮助下完成了训练…}},default,
29,,default,
30,=== 与银狼交谈 ===,default,
31,{{任务描述|经过十五日的剑术练习与奇遇，三月七与你所想一致，仅仅是剑斗胜利已经不能满足了。<br>十五日中，你们多次与银狼一同经历「江湖奇遇」，也许可以向银狼寻求一点建议。|仙舟「罗浮」-星槎海中枢}},default,
32,*三月七：马上就要和斯科特对决了，真是紧张。,content,三月七
33,*银狼：紧张什么？对付几个公司的杂鱼，很简单的。,content,银狼
34,*三月七：可是，到了比武的时候，斯科特肯定会用上他们公司的机甲。那东西怎么想也不是能用两把剑解决掉的吧！,content,三月七
35,{{剧情选项,default,
36,|选项1=彦卿和云璃肯定可以。,option,开拓者
37,|剧情1=*三月七：师父们肯定可以啊！但和他们比，是不是太为难我人见人欺的小三月了？,branch_content,三月七
38,|选项2=那东西的装甲太厚了。,option,开拓者
39,|剧情2=*三月七：对吧？就算彦卿师父说这剑器里暗藏有助于切割的机关…但它真的能切开敌人的机甲吗？,branch_content,三月七
40,}},default,
41,*银狼：为什么要执着于物理破坏呢？对黑客来说，最理想的战斗是从内部攻破对手。,content,银狼
42,*银狼：来，把你的剑给我。,content,银狼
43,:{{颜色|描述|没人知道银狼到底对三月七的剑做了什么。}},default,
44,*银狼：行啊，你被强化了，上吧。,content,银狼
45,{{剧情选项,default,
46,|选项1=你做了什么？,option,开拓者
47,|剧情1=*银狼：等到比武的时候你们就明白了。,branch_content,银狼
48,|选项2=另一把剑不用强化吗？,option,开拓者
49,|剧情2=*银狼：编程讲究少即是多，做太多事反而容易出纰漏。,branch_content,银狼
50,}},default,
51,*三月七：这样…就可以打败斯科特了？,content,三月七
52,*银狼：哼哼～很喜欢仙舟人的一句俗语：「知己知彼，对手狗殆。」,content,银狼
53,*三月七：后半句是你自己乱编的吧……,content,三月七
54,*银狼：你懂什么，这叫狗尾续…这叫继往开来！好了，现在不是讨论仙舟俗语的时候，快去让斯科特尝尝你的厉害吧。,content,银狼
55,,default,
56,=== 前往金人巷，参加约定的决斗 ===,default,
57,{{任务描述|银狼对三月七的剑斗不以为意，就当是连日来帮忙的回馈，她给三月七的剑植入了「内部攻破公司机甲」的手段。<br>既然银狼说没问题了，你们也该去金人巷了。|仙舟「罗浮」-金人巷}},default,
58,*斯科特：三月七，你来晚了。我还以为你不敢来了，正发愁该怎么找你算账呢～,content,斯科特
59,*三月七：我那是不敢来吗？我那是给你一个反悔的机会！没想到你不但没逃走，竟然还敢在这里叫嚣！,content,三月七
60,{{剧情选项,default,
61,|选项1=我们是列车，难免晚点。,option,开拓者
62,|剧情1=*斯科特：能把迟到说得这么理直气壮，要是在我手底下干活，我一定扒你一层皮。,branch_content,斯科特
63,|选项2=那么着急比武，活不到明天了？,option,开拓者
64,|剧情2=*斯科特：呵，希望你们手上的功夫和嘴上的功夫一样强。,branch_content,斯科特
65,}},default,
66,*三月七：也不知道银狼到底在我的剑上动了什么手脚，真能赢过斯科特吗？,content,三月七
67,*？？？：嘿，尊敬的三月七小姐，请放心，会赢赢的。,content,
68,*三月七：呜哇！我的剑说话了！,content,三月七
69,*？？？：尊敬的三月七小姐，我是战术人工智能普罗米括弧{{注音|学习版|未付费破解版}}括弧，我将协助您战胜敌人。,content,
70,{{剧情选项,default,
71,|选项1=你能提高武器性能？,option,开拓者
72,|剧情1=*普罗米：不能，恰恰相反，在将我接入您的武器时，银狼粗糙的焊接技能使得剑体的抗冲击性能下降了百分之十二。,branch_content,普罗米
73,*普罗米：但是，请别担心，我能帮助您获得胜利。,content,普罗米
74,|选项2=银狼真的好厉害…,option,开拓者
75,|剧情2=*普罗米：银狼一点也不厉害，在将我接入您的武器时，银狼粗糙的焊接技能使得剑体的抗冲击性能下降了百分之十二。,branch_content,普罗米
76,*普罗米：但是，请别担心，我能帮助您获得胜利，因为我更厉害。,content,普罗米
77,}},default,
78,*三月七：呃…你准备怎么打败他们？,content,三月七
79,*普罗米：银狼给我的要求是：「知己知彼，对手狗殆。」,content,普罗米
80,*普罗米：我会在剑尖接触机甲的瞬间，将一个小小的病毒加载到对方的操作系统中。去吧，向对手出剑吧。,content,普罗米
81,*斯科特：我是不是听到她的剑在说话？是幻觉吗？,content,斯科特
82,*三月七：好嘞，看剑！这样就行了吗？,content,三月七
83,:没等三月七摆好持剑架势，她手中的「战术人工智能」普罗米已经飞了出去，就像是巡航导弹一样找到公司机甲，插中了要害。,default,
84,*公司机甲：控制系统…重启…侦测到程序故障。,content,公司机甲
85,*斯科特：怎么回事？我的机甲…三月七，你对我的机甲做了什么？,content,斯科特
86,*三月七：我…我也不知道啊？,content,三月七
87,*公司机甲：识别到更高权限指令，进入备战模式——,content,公司机甲
88,*普罗米：尊敬的三月七小姐，现在，开战吧。,content,普罗米
89,*斯科特：不好！兄弟们，机甲被他们控制了，快准备应战！！！,content,斯科特
90,:{{颜色|灰|进入战斗}},default,
