line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=初花剑客行•泄火,default,
4,|任务地区=仙舟「罗浮」,default,
5,|任务类型=活动任务,default,
6,|所属版本=2.4,default,
7,|任务描述=多亏了椒丘的协助，三月七剑术进步了不少…椒丘贡献了曜青的灵药，让斯科特在最后的战斗中实力大减。<br>这一招确实是卑鄙，希望斯科特不要留下太多心理阴影。,default,
8,|时间=<!-- 限时任务填写，可留空 -->,default,
9,|奖励={{图标|星琼|10}}{{图标|遗失晶块|2}}{{图标|信用点|20000}},default,
10,|任务条件=完成任务[[初花剑客行]],default,
11,|开放等级=21,default,
12,|相关活动=「初花习剑录」,default,
13,|相关成就=<!-- 合集名#成就名 顿号分隔 -->,default,
14,|相关道具=,default,
15,|相关书籍=,default,
16,|出场人物=三月七、椒丘、灵砂、白露,default,
17,|领取地点=,default,
18,|系列任务=初花习剑录,default,
19,|任务编号=05,default,
20,|前置任务=*[[初花剑客行]],default,
21,|后续任务=,default,
22,|任务流程=*与椒丘等人交谈,default,
23,*前往金人巷，参加约定的决斗,default,
24,}},default,
25,,default,
26,==剧情内容==,default,
27,:{{颜色|描述|时间回到三月七与斯科特立下赌约之后。<br>三月七需严格按照日程练习剑术，十五日内通过三次试剑……}},default,
28,:{{颜色|灰|这次在椒丘的帮助下完成了训练…}},default,
29,,default,
30,=== 与椒丘等人交谈 ===,default,
31,{{任务描述|经过十五日的剑术练习与奇遇，三月七与你所想一致，仅仅是剑斗胜利已经不能满足了。<br>十五日中，你们多次与椒丘一同经历「江湖奇遇」，也许可以向椒丘寻求一点建议。|仙舟「罗浮」-星槎海中枢}},default,
32,*三月七：哎…马上就要和斯科特决战了，我怎么觉得自己的武艺还没什么决定性的进步呢！这样真的能打败斯科特吗？担忧！,content,三月七
33,*三月七：难道没有那种，可以在短时间内打通经脉、提升修为、强身健体的仙丹吗？就是那种，只要吃一颗，立刻能成为绝世邪剑仙的丹药！,content,三月七
34,{{剧情选项,default,
35,|选项1=你是药王秘传吗？,option,开拓者
36,|剧情1=*三月七：唉唉唉！当着这几位医士的面可不敢这么乱说，我怕被扭送地衡司！,branch_content,三月七
37,*椒丘：虽然这个想法很危险，但三月小姐终于学会不择手段赢得胜利了，我心甚慰。,content,椒丘
38,*三月七：这夸奖我听了一点也不开心！,content,三月七
39,|选项2=怎么可能会有那种丹药啦！,option,开拓者
40,|剧情2=*三月七：怎么不可能？西衍先生的《开拓豪侠传》里不是就有吗？吃下那个「九转升天丹」能暴打幻胧，暴打个斯科特不过分吧？,branch_content,三月七
41,*白露：《开拓豪侠传》写得靠不靠谱，难道你自己不知道吗？,content,白露
42,}},default,
43,*灵砂：仙舟上可没有那么方便的药物啦。不过如果只是为了在赛前让自己的体力短暂提升，那也不是做不到。,content,灵砂
44,*白露：三月小姐，我给你熬了一碗「松茸龙眼山白竹雀汤」，又滋养又大补，吃完以后保准你浑身都是劲儿。,content,白露
45,{{剧情选项,default,
46,|选项1=我也要喝！我也要喝！,option,开拓者
47,|剧情1=*白露：去去去，你别凑热闹！这药膳是大补之物，若稍后没有大运动量消耗，反而对身体有害。,branch_content,白露
48,|选项2=赛前灌个水饱真的好吗？,option,开拓者
49,|剧情2=*白露：放心吧，身体会提醒你速战速决的～,branch_content,白露
50,}},default,
51,*三月七：那我能不能先喝一半，剩下一半？万一被斯科特打败了，拿来补身体……,content,三月七
52,*白露：三月小姐这么缺乏自信吗？唔…我本来还等着给公司的人治伤看诊，收三倍诊金呢。,content,白露
53,*三月七：小神医你是不知道，那公司的机甲，打起人来可疼了！,content,三月七
54,*灵砂：只是怕疼，妾身倒是有办法……,content,灵砂
55,*灵砂：此药名唤「押不芦」，只消吃上三钱，就能屏蔽人体感官，让人不觉疼痛。,content,灵砂
56,*灵砂：云骑军某些丹药中也有微量此成分。战阵之上，人人都难免因疼痛而怯懦，所以只要屏蔽疼痛，那自然胜券在握。,content,灵砂
57,*三月七：哇～还有这种神药！但…不会有什么副作用吧？,content,三月七
58,*灵砂：那不会。丹鼎司做手术都用它，能有什么副作用？只不过……,content,灵砂
59,*三月七：只不过？,content,三月七
60,*灵砂：只不过，痛觉是人体的警告信号，无视痛觉，一意孤行战斗下去…那很有可能，受了致命伤却不自知啊。,content,灵砂
61,*灵砂：妾身曾接诊过一名患者，此人与人决斗前服用该药，打完了架才发现…他已经只剩下上半身了……,content,灵砂
62,*三月七：噫！快别说了，我不吃了，疼就疼吧！,content,三月七
63,*白露：我们都在出主意想办法，怎么只有椒丘大夫一直都不说话？,content,白露
64,*白露：椒丘大夫，椒丘！三月小姐马上就要去和斯科特决战了，你在干什么呢！,content,白露
65,*椒丘：啊，不好意思。刚听闻三月小姐准备靠「丹药」解决斯科特，就稍微做了些安排。,content,椒丘
66,*椒丘：唉，诸位的医道理论仍然不尽完善啊。战斗能力提升是个相对概念，其实只要敌弱我强就行，请诸位将思路打开。,content,椒丘
67,*三月七：莫非曜青的医术里有什么秘方能助我一臂之力？,content,三月七
68,*椒丘：没错，这是曜青「染指派」医食同源之术的秘中之秘！若不是为三月小姐出战，我是绝不外传的。,content,椒丘
69,*三月七：你…难道你准备给斯科特下泻药？？？,content,三月七
70,*椒丘：…你是怎么知道的？哼，鄙人的城府还是不够深啊。,content,椒丘
71,{{剧情选项,default,
72,|选项1=太伟大了，仙舟医学。,option,开拓者
73,|剧情1=*灵砂：别把这家伙和我们相提并论。,branch_content,灵砂
74,|选项2=太卑鄙了，「鄙人」医生。,option,开拓者
75,|剧情2=*椒丘：你们称之为「卑鄙」，而我称之为「高效」。,branch_content,椒丘
76,}},default,
77,*三月七：那个…椒丘大夫，这是不是不太好？我们是不是应该堂堂正正一点…要不还是别这么做了吧？,content,三月七
78,*椒丘：啊？你不同意啊？可是现在已经晚了，貊泽已经把事情办妥了。,content,椒丘
79,*三月七：难道你刚才低头玩手机就是在安排貊泽…你们曜青人行动力都这么强的吗！,content,三月七
80,*椒丘：诶呀，已经到决战的时间了，快去和斯科特先生决一死战吧！我还有事，先走一步。,content,椒丘
81,:{{颜色|灰|椒丘离开了}},default,
