line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=初花剑客行•祓除,default,
4,|任务地区=仙舟「罗浮」,default,
5,|任务类型=活动任务,default,
6,|所属版本=2.4,default,
7,|任务描述=多亏了藿藿的协助，三月七剑术进步了不少…尾巴提出要彻底将斯科特改心，最后斯科特也成为了真正的「孤狼」。<br>这也算是一种洗心革面，三月七不战而胜。,default,
8,|时间=<!-- 限时任务填写，可留空 -->,default,
9,|奖励={{图标|星琼|10}}{{图标|提纯以太|2}}{{图标|信用点|20000}},default,
10,|任务条件=完成任务[[初花剑客行]],default,
11,|开放等级=21,default,
12,|相关活动=「初花习剑录」,default,
13,|相关成就=<!-- 合集名#成就名 顿号分隔 -->,default,
14,|相关道具=,default,
15,|相关书籍=,default,
16,|出场人物=三月七、藿藿,default,
17,|领取地点=,default,
18,|系列任务=初花习剑录,default,
19,|任务编号=03,default,
20,|前置任务=*[[初花剑客行]],default,
21,|后续任务=,default,
22,|任务流程=*与藿藿交谈,default,
23,*探索斯科特的内心世界,default,
24,}},default,
25,,default,
26,==剧情内容==,default,
27,=== 与藿藿交谈 ===,default,
28,{{任务描述|经过十五日的剑术练习与奇遇，三月七与你所想一致，仅仅是剑斗胜利已经不能满足了。<br>十五日中，你们多次与藿藿一同经历「江湖奇遇」，也许可以向藿藿寻求一点建议。|仙舟「罗浮」-星槎海中枢}},default,
29,*藿藿：三月七小姐、开拓者，听说斯科特已经送来了战帖，我们想着能不能做点什么，帮助三月小姐战胜斯科特。,content,藿藿
30,*三月七：谢谢藿藿，你愿意教咱学会摆弄除魔道具，就已经帮了我很多了！多亏了各位相助，本姑娘虽然学剑没有多长时间，但击败公司的机甲我还是有信心的。,content,三月七
31,*藿藿：哪里哪里，是我要多感谢三月七小姐才是。,content,藿藿
32,*尾巴：我记得那个斯科特不是被开拓者教训过一次了吗？怎么还敢回来？人类是学不会吸取教训嘛？,content,尾巴
33,*三月七：尾巴大爷此言差矣，有句话叫「君子报仇十年不晚」。但是斯科特是个小人，我猜他连隔夜仇都忍不了，现在可让他逮着机会了。,content,三月七
34,*三月七：不过嘛，要是就这样击败他…总觉得有一些…不够痛快！,content,三月七
35,{{剧情选项,default,
36,|选项1=狠狠击败斯科特也不够痛快？,option,开拓者
37,|剧情1=*三月七：唔…说不出来，就是感觉不够痛快。,branch_content,三月七
38,|选项2=怎么样才算是足够痛快呢？,option,开拓者
39,|剧情2=*三月七：我也说不清楚……,branch_content,三月七
40,}},default,
41,*尾巴：我明白。这种学不会吸取教训的家伙，就算毒打他千遍万遍，也还是不会吸取任何教训。他是不会发自内心被你打服的。,content,尾巴
42,*藿藿：那…有什么办法，能让他输得心服口服？,content,藿藿
43,{{剧情选项|选项1=尾巴大爷有什么好办法？}},default,
44,*尾巴：不是本大爷说你呀，你太顺着那个斯科特的思路走了。,content,尾巴
45,*尾巴：他订下规则用机甲与你手中三尺剑比斗，你就同意了。他说赢了怎样、输了怎样，你也同意了…这整个儿就是一场斯科特组织的运动会啊，赢了也没劲！,content,尾巴
46,{{剧情选项,default,
47,|选项1=规则就是用来打破的！,option,开拓者
48,|剧情1=*尾巴：你小子/小姑娘，别动不动耍帅。这样的机会要好好留给本大爷。,branch_content,尾巴
49,|选项2=尾巴大爷有何高见呢？,option,开拓者
50,|剧情2=*尾巴：哼哼，你算是问对人了。,branch_content,尾巴
51,}},default,
52,*尾巴：咱是岁阳，你要是信得过我的话，大爷我有些岁阳的本事！藿藿，揭开封印吧……,content,尾巴
53,{{剧情选项,default,
54,|选项1=揭开封印没关系吗？,option,开拓者
55,|剧情1=*尾巴：能有什么关系？只要你不给女鬼判官打小报告就行。,branch_content,尾巴
56,|选项2=你打算去附身斯科特？,option,开拓者
57,|剧情2=*尾巴：嘿嘿嘿，只是附身可是不够的，我要深入他的内心。,branch_content,尾巴
58,}},default,
59,*尾巴：你们等着瞧吧，本大爷会让斯科特洗心革面，诚心诚意地认输，你说这痛快不痛快！,content,尾巴
60,*三月七：喔！不愧是尾巴大爷！,content,三月七
61,{{剧情选项,default,
62,|选项1=就拜托你了，尾巴大爷！,option,开拓者
63,|选项2=稍等，我还有些事情。,option,开拓者
64,|图标2=退出,default,
65,}},default,
66,----,default,
67,:{{颜色|描述|藿藿在尾巴大爷建议下做了些准备，随后你们如期赶往金人巷赴约……}},default,
68,*斯科特：瞧瞧，这不是我们的女侠三月七吗？,content,斯科特
69,*三月七：哼，本姑娘没有躲没有藏，你下了战帖，我就前来应战。,content,三月七
70,*斯科特：你们这些人是不是有毛病啊？比武就比武，还给我写恐吓信，吓唬谁呢？,content,斯科特
71,*三月七：恐吓信？什么恐吓信啊？,content,三月七
72,*斯科特：少装傻，这不是你们偷偷塞我口袋里的吗？,content,斯科特
73,*三月七：「恃强凌弱、傲慢无礼的大罪人，斯科特先生。」,content,三月七
74,*三月七：「你将扭曲的权力欲望施加在无辜的店主身上，并对拥有历史与传承的仙舟剑术出言不逊。」,content,三月七
75,*三月七：「我们决定，让你亲口坦白你的一切罪行，你那扭曲的欲望，将由我们取走。」,content,三月七
76,*斯科特：这字也太难看了…你刚才要没给我读一遍，我都没认出来写的是什么。,content,斯科特
77,*尾巴：你找死！,content,尾巴
78,*斯科特：刚才谁说话？,content,斯科特
79,*藿藿：没…谁都没说话！你听错了！,content,藿藿
80,*斯科特：好了，废话少说，三月七，准备好学狗……,content,斯科特
81,:{{颜色|灰|正在叫嚣的斯科特突然卡住了…}},default,
82,*斯科特：我甚至没看到她拔剑，时间好像静止一般，而我只看到一道绿色火光闪过。,content,斯科特
83,*斯科特：刹那间我回想起，儿时我曾在海边凝望彼方，看到浓雾背后有一盏绿灯若隐若现。后来我才知道，那是那个女孩——拉克什米家的房子。,content,斯科特
84,*斯科特：什么人会在家里点绿灯啊？他们家真的蛮不正常的。,content,斯科特
85,*斯科特：啊…为什么会突然想起这些事？这是走马灯吗？我是不是…已经死了……,content,斯科特
86,----,default,
87,:{{颜色|灰|跟随尾巴大爷进入斯科特的内心世界}},default,
88,*尾巴：看起来这就是斯科特的内心世界了，老子得找找他最扭曲的欲望是哪里。,content,尾巴
89,,default,
