line_number,content,category,character
1,{{光锥图鉴<!-- 本段为备注信息，以下请在=后填写对应数据-->,default,
2,|名称=制胜的瞬间,default,
3,|稀有度=5星,default,
4,|命途=存护,default,
5,|命途材料=存护1,default,
6,|技能名称=决断,default,
7,|技能效果=使装备者的防御力提高{{颜色|描述2|24%/30%/36%/42%/48%}}，效果命中提高{{颜色|描述2|24%/28%/32%/36%/40%}}，同时使自身受到敌方攻击的概率提高。当装备者受到攻击后，防御力额外提高{{颜色|描述2|24%/30%/36%/42%/48%}}，持续到自身回合结束。,default,
8,|获取方式=跃迁、商店兑换,default,
9,|光锥TAG=防御力、效果命中、受击概率提升、受击,default,
10,|相关角色=杰帕德、希露瓦,default,
11,|光锥故事=''「输了想哭就哭吧，杰帕德。」<br>「但哭着也要站起来，直到你能赢过我…无论需要五年还是十年。」''<br>几年后，小男孩不再哭鼻子，也不再输给姐姐。<br><br>如今在战场上，无论以何种姿态，骁勇无畏的银鬃铁卫戍卫官总会坚守至最后<br>——只为找到彻底摧毁敌人的一瞬。,default,
12,|生命值=48,default,
13,|20生命值=184,default,
14,|20+生命值=242,default,
15,|30生命值=314,default,
16,|30+生命值=391,default,
17,|40生命值=463,default,
18,|40+生命值=540,default,
19,|50生命值=612,default,
20,|50+生命值=688,default,
21,|60生命值=760,default,
22,|60+生命值=837,default,
23,|70生命值=909,default,
24,|70+生命值=986,default,
25,|80生命值=1058,default,
26,|攻击力=21,default,
27,|20攻击力=83,default,
28,|20+攻击力=109,default,
29,|30攻击力=141,default,
30,|30+攻击力=176,default,
31,|40攻击力=208,default,
32,|40+攻击力=243,default,
33,|50攻击力=275,default,
34,|50+攻击力=309,default,
35,|60攻击力=342,default,
36,|60+攻击力=376,default,
37,|70攻击力=409,default,
38,|70+攻击力=443,default,
39,|80攻击力=476,default,
40,|防御力=27,default,
41,|20防御力=103,default,
42,|20+防御力=136,default,
43,|30防御力=176,default,
44,|30+防御力=220,default,
45,|40防御力=260,default,
46,|40+防御力=303,default,
47,|50防御力=344,default,
48,|50+防御力=387,default,
49,|60防御力=427,default,
50,|60+防御力=471,default,
51,|70防御力=511,default,
52,|70+防御力=554,default,
53,|80防御力=595,default,
54,|晋阶材料=铁卫,default,
55,|实装版本=1.0}},default,
56,<br>,default,
57,{{主观提示|攻略相关}},default,
58,==推荐角色==,default,
59,"{| class=""wikitable"" style=""text-align:center""",default,
60,! 角色,default,
61,! 推荐说明,default,
62,|-,default,
63,| {{角色头像|杰帕德}},default,
64,"| style=""text-align:left"" | 杰帕德的五星毕业光锥，提供高额的基础数值以及百分比防御力，最大化他的辅助能力。光锥技能同样提供了效果命中，增加战技的冰冻命中率。同时提供了受击概率提升，进一步保护队友不受伤害。",default,
65,|-,default,
66,|{{角色头像|开拓者•存护}},default,
67,"| style=""text-align:left"" | 火主的五星毕业光锥，提供高基础面板，同时提供了火主所需要的效果命中，并且光锥技能的受击概率提升可以提高嘲讽的容错率。",default,
68,|-,default,
69,| {{角色头像|三月七}},default,
70,"| style=""text-align:left"" | 作为五星光锥提供高基础面板和防御力加成，效果命中增加终结技的冰冻命中率。但是光锥技能的受击概率提升'''不适合'''搭配{{图标|克拉拉}}。",default,
71,|-,default,
72,| {{角色头像|砂金}},default,
73,"| style=""text-align:left"" | 专武之下最优，提供高额的防御白值和防御百分比，自身嘲讽有利于为队友分摊伤害和叠加【盲注】层数。",default,
74,|-,default,
75,| {{角色头像|符玄}},default,
76,"| style=""text-align:left"" | 歪到可用，提供五星的高基础面板，作用类似于{{图标|朗道的选择}}给符玄自身提供嘲讽，但和符玄的分摊伤害机制不符。推荐酌情选择。",default,
77,|}{{WIKI底部导航|光锥=展开}},default,
