line_number,content,category,character
1,{{面包屑|角色图鉴|{{#titleparts:{{PAGENAME}}|1}}}}{{角色导航}},default,
2,==官方介绍==,default,
3,[[File:加拉赫官方介绍图.png|thumb|200px]],default,
4,"<div class=""row"">",default,
5,"<div class=""col-sm-9"">",default,
6,[[File:加拉赫官方介绍图2.png|500px|center]]<br>,default,
7,{{角色介绍,default,
8,|职业背景=281D23,default,
9,|职业颜色=F9C8B1,default,
10,|职业=「匹诺康尼」猎犬家系的治安官,default,
11,|介绍=我是加拉赫，匹诺康尼的猎犬之一。<br>如果有一天，你在匹诺康尼遇到了麻烦或危险，可以来找我。<br>当然，如果感到无聊，想来一杯调饮，也可以来找我。,default,
12,|表格背景=EFE4D0,default,
13,|表格边框=,default,
14,|标题颜色=F9C8B1,default,
15,|标题背景=302928,default,
16,|内容颜色=3B332A,default,
17,|备注颜色=8e6450,default,
18,|标题1=对匹诺康尼的印象,default,
19,|内容1=&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;一场只有快乐的美梦。<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;但仔细观察，你会发现这份快乐并不平等。当所有人都淹没在快乐的海洋里，失意者的情绪就如同不和谐的音符，关于悲与痛的记忆犹如巨石，缓缓沉进更深的海底….<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;好像说了些莫名其妙的事…不过，美梦也有美梦的好处，比如可以在「惊梦酒吧」点一杯特调，找个角落坐一整天。脱离梦境的真言、不切实际的谎言…故事多得听不完。有句话怎么说得来着？人和人总需要某种契机才能开始交流，而美梦中的各种特调便是化学反应的催化剂。「惊梦酒吧」随时欢迎你，如果你感兴趣的话。「开拓特调」，包你满意。,default,
20,|备注1=舒翁：「开拓特调」没问题，但原材料还得好好挑选一下才行，「空洞」的咸味似乎不太适合……,content,舒翁
21,|标题2=调饮和治安有无关联之处？,default,
22,|内容2=&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;这两者与其说是毫无关联，不如说是大相径庭。<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;治安是严谨又无趣的工作——审问满口谎言的嫌犯，或是追捕在阴暗角落穿梭的老鼠…就算一千个嫌犯有一千种个性，被关进牢笼的结局和过程也都大差不差。流程上也要谨慎处理，多不得少不得。所以说，治安体验和调饮的新鲜感相比，差得可不是一星半点。<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;嗯？怎么个新鲜法？譬如一口苦酒，通过加入不同的原材料调配，不仅尝不出一点苦味，还能实现味道的随意转换。除去酸和甜，甚至可能变成草莓味的重辣调饮。相较之下，犯人的意志可不是加这些材料就能轻易转变的……,default,
23,|备注2=星期日：猎犬们是维护梦境稳定的基石，感谢治安官先生的付出。,content,星期日
24,|标题3=谈谈日常生活中的你,default,
