line_number,content,category,character
1,{{面包屑|角色图鉴|{{#titleparts:{{PAGENAME}}|1}}}}{{角色导航}},default,
2,==官方介绍==,default,
3,[[File:卢卡官方介绍图.jpg|thumb|200px]],default,
4,"<div class=""row"">",default,
5,"<div class=""col-sm-9"">",default,
6,{{角色介绍,default,
7,|职业背景=9b2146,default,
8,|职业颜色=fef3f6,default,
9,|职业=「地火」的格斗家,default,
10,|介绍=唷，你好！自我介绍一下，我叫卢卡，是下层区「地火」的干部。<br>我平时要么是在炉心周边巡逻，要么是在裂界里对付难缠的怪物，<br>不经常回镇上来…不过即使这样，磐岩镇的各位也还是跟我眼熟——<br>谁叫我是连续卫冕的搏击大赛冠军呢！,default,
11,|表格背景=fbf4ea,default,
12,|表格边框=c17c8a,default,
13,|标题颜色=972143,default,
14,|内容颜色=4e1e15,default,
15,|标题1=成为冠军的秘诀……,default,
16,|内容1=秘诀？秘诀就是：努力加上自律！训练过程中留下的每一滴汗，都是自身实力更进一步的证明！<br>不过师傅说过，天赋和努力同样重要——哪怕经历的都是相同的训练，有些人就是能成长得更快，变得更强——这也是没办法的事。<br>但无论资质如何，一旦定下了目标就该全力以赴，毫无保留！人生只有一回，千万别给自己留下遗憾！,content,秘诀就是
17,|备注1='''奥列格的备注：'''<br><small>卢卡这小子…给人灌起鸡汤来真是一套一套的，也不知道跟谁学的？</small>,content,奥列格的备注
18,|标题2=听说你和鼹鼠党关系不错……,default,
19,|内容2=你没听错，除了「地火」的干部和冠军格斗家，我其实还有第三重身份——「鼹鼠党」的荣誉队员！<br>等会儿，你说你也是？那太好了，这下咱们可以好好交流一拨经验了！,default,
20,|备注2='''虎克的备注：'''<br><small>荣誉队员卢卡，今天也向漆黑的虎克大人进贡了可口的肉排…真是太可靠啦！</small>,content,虎克的备注
21,|标题3=遇到过最难缠的对手是……,default,
22,|内容3=难缠的对手？那还得属史瓦罗大佬手下的那些自动机兵。<br>浑身铁皮…身形比普通拳手大上几倍…还搭载了智能战斗模组，想想都叫人头疼！<br>不过还好，只要是机器人就一定有弱点。现在再让我碰上那些铁疙瘩，一个打三个不成问题!,default,
23,|备注3='''希儿的备注：'''<br><small>一挑三？以卢卡的实力没什么问题。前提是周围没有东西让他分心…他那只胳膊就是这么丢的。</small>,content,希儿的备注
24,|标题4=关于未来的目标……,default,
25,|内容4=.…当然是要为下层区的复兴继续贡献力量！<br>上下层的联系已经重新建立，裂界里外的形势也稍稍稳定了些。大伙的日子过得越来越有盼头，但还是得防着那些想在背后插刀的坏家伙…我会继续当好下层区人的后盾!,default,
26,|备注4='''娜塔莎的备注：'''<br><small>卢卡，你要记住一件事——想要拯救别人，就必须先保护好自己。</small>,content,娜塔莎的备注
27,}},default,
28,<center><gallery mode=nolines>,default,
29,File:卢卡官方故事图.jpg|角色故事,default,
30,File:卢卡角色介绍图1.jpg|角色介绍1,default,
31,File:卢卡角色介绍图2.jpg|角色介绍2,default,
32,卢卡手机壳.png|手机壳,default,
33,File:卢卡壁纸.jpg|手机壁纸,default,
