line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=即使喝彩停息•第一章,default,
4,|任务地区=仙舟「罗浮」,default,
5,|任务类型=活动任务,default,
6,|所属版本=2.5,default,
7,|任务描述=为了帮助贝洛伯格重归宇宙社会，卢卡拿着一张过时的邀请函，来到了仙舟「罗浮」，参加星天演武仪典。机缘巧合之下，你成为了他的教练，并陪他一起斩获了一场又一场胜利……<br>但前路迢迢，你们的旅程才刚刚开始。,default,
8,|时间=<!-- 限时任务填写，可留空 -->,default,
9,|奖励={{图标|星琼|30}}{{图标|漫游指南|3}}{{图标|遗失晶块|3}}{{图标|信用点|30000}},default,
10,|任务条件=开拓等级≥21级<br>,default,
11,※建议完成开拓续闻「仙舟『罗浮』」-「[[玉阙黄钟，天外归鸿]]」后体验本内容。,default,
12,|开放等级=21,default,
13,|相关活动=「星天演武仪典」,default,
14,|相关成就=与你同行的回忆#拳愿非天,default,
15,|相关道具=,default,
16,|相关书籍=,default,
17,|出场人物=三月七、卢卡、素裳、叽米、托帕,default,
18,|领取地点=,default,
19,|系列任务=星天演武仪典,default,
20,|任务编号=01,default,
21,|前置任务=<!-- *[[前置任务]] -->,default,
22,|后续任务=*[[雪国飘摇寒苦愁]],default,
23,*[[孤拳铁铸赴仙舟]],default,
24,|任务流程=*前往竞锋舰,default,
25,*去演武仪典的后台看看,default,
26,*听听卢卡为什么来到罗浮,default,
27,*寻找第一场比赛的对手,default,
28,*开始比赛，对阵「桂宝应援会」,default,
29,*学习一下比赛规则,default,
30,*参加叩关赛，赢取积分,default,
31,*前往接待大厅，确认攻擂资格,default,
32,*回到休息室，准备第一场擂台赛,default,
33,*比赛开始，对阵托帕,default,
34,}},default,
35,,default,
36,==剧情内容==,default,
37,=== 前往竞锋舰 ===,default,
38,{{任务描述|三月七竟然给你搞来了演武仪典的内场通行证？这不去看看可就亏大了。<br>话说总感觉在这短短几周时间里，她已经迅速混成了罗浮的大人物…也不知道去餐馆报她的名字有没有优惠。|仙舟「罗浮」-竞锋舰}},default,
39,:{{颜色|灰|登上竞锋舰后，收到三月七的短信…}},default,
40,{{角色对话|模板开始|三月七|今天也是三月七~}},default,
41,{{角色对话|左|三月七|文本|开拓者，你还记不记得我们这次来罗浮是干什么的？}},default,
42,{{短信选项,option,开拓者
43,|选项1=见证你成为第一剑豪,option,开拓者
44,|剧情1={{角色对话|右|开拓者|文本|当然记得！见证你成为列车第一剑豪！}},branch_content,
45,{{角色对话|左|三月七|文本|这也很重要啦！但这不是一开始的目的吧！}},default,
46,|选项2=不是参加演武仪典嘛？,option,开拓者
47,|剧情2={{角色对话|右|开拓者|文本|我们不是来参加演武仪典的嘛？}},branch_content,
48,{{角色对话|左|三月七|文本|没错！我要是不说你都快忘了吧！}},default,
49,}},default,
50,{{角色对话|左|三月七|文本|我们一开始作为贵宾，受邀参加演武仪典的！结果不出意外地又出了意外！}},default,
51,{{角色对话|左|三月七|文本|竞锋舰上咱们顺利擒住了呼雷，景元将军决定正式召开演武仪典了}},default,
52,{{角色对话|左|三月七|文本|本姑娘背靠两位师父好乘凉，给你和丹恒搞了两张工作人员通行证，可以直接去竞锋舰的后台，畅行无阻！}},default,
53,{{角色对话|左|三月七|文本|我厉害吧！快夸我！}},default,
54,{{短信选项,option,开拓者
55,|选项1=感谢三月女侠！,option,开拓者
56,|剧情1={{角色对话|右|开拓者|文本|感谢三月女侠！就知道你最靠谱了！}},branch_content,
57,{{角色对话|左|三月七|文本|还是你好！丹恒那家伙就很冷淡，说什么「观看体育比赛，还是应该和选手保持一点距离」，真没劲～}},default,
58,|选项2=后台有什么好看的？,option,开拓者
59,|剧情2={{角色对话|右|开拓者|文本|后台有什么好看的？总觉得观众还是要和选手保持一定距离}},branch_content,
60,{{角色对话|左|三月七|文本|怪了，你怎么跟丹恒的反应差不多？后台可以看到很多擂台上看不到的东西啊！仙舟人不都说「台上一分钟，台下十年功」吗！}},default,
61,{{角色对话|左|三月七|文本|算了，你们俩爱去不去，不理你们了！哼！}},default,
62,}},default,
63,{{角色对话|左|三月七|文本|我继续去练剑了，回聊！}},default,
64,{{角色对话|模板结束}},default,
65,----,default,
66,*开拓者：（机会难得，去竞锋舰的后台看看吧。搞不好后台还真有什么观众席上看不到的乐子呢。）,content,开拓者
67,:{{颜色|描述|一段时间后……}},default,
68,,default,
69,=== 去演武仪典的后台看看 ===,default,
70,*摄像头记者：你为什么想来参加演武仪典？,content,摄像头记者
71,*卢卡：因为…因为…因为我赢得了比赛资格？,content,卢卡
72,*开拓者：（那不是卢卡吗？他怎么跑到罗浮来了？）,content,开拓者
73,----,default,
74,*开拓者：卢卡，没想到会在这里遇到你。,content,开拓者
75,*卢卡：开拓者？你怎么在这里？,content,卢卡
76,{{剧情选项,default,
77,|选项1=我经常来罗浮。,option,开拓者
78,|剧情1=*卢卡：哈哈，原来如此。这还是我第一次离开贝洛伯格，跑到…「外星」去打比赛。,branch_content,卢卡
79,|选项2=我是来看比赛的。,option,开拓者
80,|剧情2=*卢卡：那巧了，我是来打比赛的！唔…虽然，现在实在没什么获胜的信心吧，哈哈。,branch_content,卢卡
81,}},default,
82,*摄像头记者：您是卢卡先生的朋友吗？自我介绍一下，我是星际和平娱乐的实习记者「卡美丽」。,content,摄像头记者
83,*卡美丽：原本这次是跟着叽米先生一起来报道演武仪典的。但叽米先生日理万机，实在很忙，所以采访热门选手、制作特别节目的工作就落到我肩上咯。,content,卡美丽
84,*卡美丽：唉，职责重大啊…我当了那么多年的实习生，如果这次搞砸了，恐怕就更没有转正的希望了。,content,卡美丽
85,*卢卡：公司真是严苛啊……,content,卢卡
86,*卡美丽：不必担心，这些都是领导给我的历练！只要这次我能拍到足够震撼人心的节目素材，今年一定可以顺利转正！,content,卡美丽
87,*卡美丽：…我在卢卡选手身上感受到了这种节目潜力！,content,卡美丽
88,*卢卡：真的吗？我没什么信心呢……,content,卢卡
89,{{剧情选项|选项1=你怎么来参加演武仪典了？}},default,
90,*卢卡：我为什么会来参加演武仪典呢？这件事说来话长……,content,卢卡
91,*卢卡：两位，咱们一起走走。路上给你们讲讲我为什么来到这儿。,content,卢卡
