line_number,content,category,character
1,{{攻略,default,
2,|标题=受击概率机制,default,
3,|文章上级页面=战斗         <!--在：游戏更新公告、游戏攻略、活动专题中选填一个，不填则文章不会被分类检索-->,content,在
4,|时间=20230509        <!--文章发布时间，格式：20190703-->,content,格式
5,|更新时间=20230530,default,
6,|是否原创=是         <!--是或否-->,default,
7,|作者=浮浪克派蒙       <!--原创者ID、昵称或姓名-->,default,
8,|来源=           <!--贴吧、NGA、bigfun或其他来源，原创文章不填此项-->,default,
9,|原文地址=        <!--非原创内容请务必填写此项，复制原贴链接即可-->,default,
10,|攻略封面图=测试攻略封面.png    <!--尺寸:240 x 150-->,default,
11,|版本=1.0        <!--游戏版本-->,default,
12,|TAG=受击、仇恨、游戏机制 <!--支持多个，用、号隔开-->,default,
13,}},default,
14,[[分类:新手教程]][[分类:攻略]],default,
15,== 受击概率的定义 ==,default,
16,受击概率即为角色在阵容中受到敌对目标选中的概率，<font orange=red>仇恨值</font>会影响此数值。'''基础仇恨值来自角色的命途。'''<br>,default,
17,仇恨值变化源有：战技、终结技、秘技、行迹、光锥。<br>,content,仇恨值变化源有
18,''萌新常犯错误：以为受击概率是角色被攻击的概率''<br>,content,萌新常犯错误
19,<font color=orange>嘲讽</font>和<font color=orange>被选中</font>无视仇恨值，嘲讽的优先级比被选中更高。<br>,default,
20,"{| class=""wikitable""",default,
21,|+ 命途的基础仇恨值,default,
22,|-,default,
23,! 命途 !! 基础仇恨值,default,
24,|-,default,
25,| [[file:存护.png|24px|link=]]存护 || 150,default,
26,|-,default,
27,| [[file:毁灭.png|24px|link=]]毁灭 || 125,default,
28,|-,default,
29,| [[file:同谐.png|24px|link=]]同谐 || 100,default,
30,|-,default,
31,| [[file:丰饶.png|24px|link=]]丰饶 || 100,default,
32,|-,default,
33,| [[file:虚无.png|24px|link=]]虚无 || 100,default,
34,|-,default,
35,| [[file:巡猎.png|24px|link=]]巡猎 || 75,default,
36,|-,default,
37,| [[file:智识.png|24px|link=]]智识 || 75,default,
38,|},default,
39,== 仇恨值变化源 ==,default,
40,官方给出的仇恨值变化源的幅度：提高（角色为300%，光锥为200%）、大幅提高（500%）、降低（50%），但有少部分角色不遵循此规律<br>,content,官方给出的仇恨值变化源的幅度
41,"{| class=""wikitable""",default,
42,|+ 各种变化源对应的数值,default,
43,|-,default,
44,! 角色/光锥 !! 变化源 !! 官方描述 !! 变化数值,default,
45,|-,default,
46,|{{图标|三月七}} || 战技：{{图标|技能|可爱即是正义|可爱即是正义}} || 大幅提高 || 500%,content,战技
47,|-,default,
48,|{{图标|玲可}} || 战技：{{图标|技能|盐渍野营罐头|盐渍野营罐头}} || 大幅提高 || 500%,content,战技
49,|-,default,
50,| {{图标|克拉拉}} || 终结技：{{图标|技能|是约定不是命令|是约定不是命令}} || 大幅提高 || 500%,content,终结技
51,|-,default,
52,| {{图标|克拉拉}} || 秘技：{{图标|技能|胜利的小小代价|胜利的小小代价}} || 提高 || 500%,content,秘技
53,|-,default,
54,|{{图标|杰帕德}} || 行迹：{{图标|技能|刚正|刚正}} || 提高 || 300%,content,行迹
55,|-,default,
56,| {{图标|落日时起舞}} || 常驻 || 大幅提高 || 500%,default,
57,|-,default,
58,| {{图标|制胜的瞬间}} || 常驻 || 提高 || 200%,default,
59,|-,default,
60,| {{图标|朗道的选择}} || 常驻 ||  提高|| 200%,default,
61,|-,default,
62,| {{图标|彦卿}} || 天赋：{{图标|技能|呼剑如影|呼剑如影}} || 降低 || 60%,content,天赋
63,|-,default,
64,| {{图标|希儿}} || 行迹：{{图标|技能|夜行|夜行}}（条件触发）  || 降低 || 50%,content,行迹
65,|-,default,
66,| {{图标|素裳}} || 行迹：{{图标|技能|赤子|赤子}}（条件触发）  || 降低 || 50%,content,行迹
67,|-,default,
68,| {{图标|丹恒}} || 行迹：{{图标|技能|潜龙|潜龙}}（条件触发） || 降低 || 50%,content,行迹
69,|},default,
70,== 受击概率及仇恨值计算 ==,default,
71,'''角色受击概率=角色仇恨值/阵容仇恨值（无嘲讽、被选中的影响下）'''<br>,default,
72,'''仇恨值计算=基础仇恨值*（1+仇恨值提高-仇恨值降低）'''<br>,default,
73,''数据来源：浮浪克派蒙、寂恒、666bj<br>,content,数据来源
