line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=启程！以太战线,default,
4,|任务地区=雅利洛-Ⅵ,default,
5,|任务类型=活动任务,default,
6,|所属版本=1.4,default,
7,|任务描述=一位名叫维尔德的公司员工向你强烈推荐一款名叫《以太战线》的游戏，并对你发出参加「星际决胜庆典」的邀请。<br>到底要不要去线下体验这款游戏呢？先跟三月七商量一下吧。,default,
8,|时间=<!-- 限时任务填写，可留空 -->,default,
9,|奖励={{图标|里程|200}}{{图标|星琼|40}}{{图标|漫游指南|6}}{{图标|遗失晶块|4}}{{图标|信用点|40000}},default,
10,|任务条件=完成开拓续闻「[[未来市场•其二]]」,default,
11,|开放等级=34,default,
12,|相关活动=「以太战线」,default,
13,|相关成就=<!-- 合集名#成就名 顿号分隔 -->,default,
14,|相关道具=以太硬币,default,
15,|相关书籍=,default,
16,|出场人物=三月七、维尔德、乔瓦尼、埃里克,default,
17,|领取地点=,default,
18,|系列任务=星际决胜庆典,default,
19,|任务编号=01,default,
20,|前置任务=<!-- *[[前置任务]] -->,default,
21,|后续任务=*[[出发！残响回廊]],default,
22,|任务流程=*与三月七商量一下,default,
23,*去铆钉镇与维尔德会面,default,
24,*跟随维尔德,default,
25,*前往「以太战线玩家终端」,default,
26,}},default,
27,==剧情内容==,default,
28,===任务接取短信===,default,
29,{{角色对话|模板开始|维尔德|上班开会，下班上班}},default,
30,{{角色对话|左|维尔德|文本|你好！|是}},default,
31,{{角色对话|左|维尔德|文本|请问是开拓者吗？|是}},default,
32,{{角色对话|左|维尔德|表情|07-01|是}},default,
33,{{短信选项,option,开拓者
34,|选项1=我是。,option,开拓者
35,|剧情1={{角色对话|右|开拓者|文本|我是，您哪位}},branch_content,
36,{{角色对话|左|维尔德|文本|那就好办了|是}},default,
37,|选项2=我不是。,option,开拓者
38,|剧情2={{角色对话|右|开拓者|文本|我不是，您找错人了}},branch_content,
39,{{角色对话|左|维尔德|文本|不该啊？我这儿显示是对的|是}},default,
40,}},default,
41,{{角色对话|左|维尔德|文本|总之我先作自我介绍|是}},default,
42,{{角色对话|左|维尔德|文本|我是星际和平公司「战略投资部」的员工维尔德|是}},default,
43,{{角色对话|左|维尔德|文本|这次联系您，是想向您推荐一款电子游戏|是}},default,
44,{{短信选项,option,开拓者
45,|选项1=什么游戏？,option,开拓者
46,|剧情1={{角色对话|右|开拓者|文本|游戏好啊！什么游戏？}},branch_content,
47,{{角色对话|右|开拓者|表情|07-02}},default,
48,|选项2=我没兴趣。,option,开拓者
49,|剧情2={{角色对话|右|开拓者|表情|07-05}},branch_content,
50,{{角色对话|右|开拓者|文本|今天就聊到这里吧不好意思我还有事}},default,
51,{{角色对话|左|维尔德|文本|！！！诶您先别急着屏蔽，没准您听过介绍就感兴趣了呢|是}},default,
52,|选项3=又是推销…,option,开拓者
53,|剧情3={{角色对话|右|开拓者|表情|07-05}},branch_content,
54,{{角色对话|右|开拓者|文本|你们公司就没别的宣发手段了吗……}},default,
55,{{角色对话|左|维尔德|文本|哈哈，虽然现在科技发达了，但还是短信容易拉近人的距离嘛|是}},default,
56,}},default,
57,{{角色对话|左|维尔德|文本|我先继续介绍了|是}},default,
58,{{角色对话|左|维尔德|文本|这款游戏叫作《以太战线》，是由公司市场开拓部牵头，联合星际互联网络与星际和平影视共同打造的宇宙级重磅文化品牌|是}},default,
59,{{短信选项,option,开拓者
60,|选项1=这么厉害？,option,开拓者
61,|剧情1={{角色对话|右|开拓者|文本|这么厉害啊}},branch_content,
62,{{角色对话|左|维尔德|文本|哈哈，毕竟是我们公司的头部项目之一|是}},default,
63,|选项2=说重点…,option,开拓者
64,|剧情2={{角色对话|右|开拓者|文本|快说重点……}},branch_content,
65,{{角色对话|左|维尔德|文本|您别急，马上就说重点|是}},default,
66,}},default,
67,{{角色对话|左|维尔德|文本|以太战线主打卡牌集换对战，但和您想象中的卡牌游戏一定大有不同！|是}},default,
68,{{角色对话|左|维尔德|文本|在这里，您可以利用公司最尖端的以太复印技术，将您见过的任何生物记录在以太硬币中|是}},default,
69,{{角色对话|左|维尔德|文本|然后，您可以把它们打印出来，与其他玩家切磋对战，让以太灵伙伴为您争取荣誉！|是}},default,
70,{{角色对话|左|维尔德|文本|怎么样？是不是很酷炫？！|是}},default,
71,{{短信选项|表情,option,开拓者
72,|选项1=07-02,option,开拓者
73,|剧情1={{角色对话|右|开拓者|表情|07-02}},branch_content,
74,{{角色对话|右|开拓者|文本|有点意思，在哪里可以玩到呢}},default,
75,{{角色对话|左|维尔德|文本|哈哈，终于把我最喜欢的游戏推销出去了|是}},default,
76,|选项2=07-05,option,开拓者
77,|剧情2={{角色对话|右|开拓者|表情|07-05}},branch_content,
78,{{角色对话|右|开拓者|文本|感觉不如…宇宙大战争<ref>原神公测初期，曾有人将群友拍下的夜景当成游戏画面，并说出“感觉没原神好…画质”的名言，并在传播中形成了“感觉不如xx…xx”的句式梗</ref>}},default,
79,{{角色对话|左|维尔德|文本|？宇宙大战争是什么，我以太战线分分钟秒了|是}},default,
80,|选项3=07-06,option,开拓者
81,|剧情3={{角色对话|右|开拓者|表情|07-06}},branch_content,
82,{{角色对话|右|开拓者|文本|你怎么突然激动起来了}},default,
83,{{角色对话|左|维尔德|文本|实不相瞒，我本人是以太战线狂粉|是}},default,
84,}},default,
85,{{角色对话|左|维尔德|文本|无论如何，如果您有兴趣，不妨来雅利洛-Ⅵ的铆钉镇商业广场，实地了解详情！|是}},default,
86,{{角色对话|左|维尔德|文本|我们即将在这里举办以太战线线下粉丝节——「星际决胜庆典」！请一定要来看看啊！|是}},default,
87,{{短信选项,option,开拓者
88,|选项1=马上就到。,option,开拓者
89,|剧情1={{角色对话|右|开拓者|文本|还有这么巧的事？我就在雅利洛-Ⅵ}},branch_content,
90,{{角色对话|右|开拓者|文本|你别跑，我马上到}},default,
91,|选项2=有空就去。,option,开拓者
92,|剧情2={{角色对话|右|开拓者|文本|呃呃}},branch_content,
93,{{角色对话|右|开拓者|文本|有空就去}},default,
94,}},default,
95,{{角色对话|左|维尔德|文本|没问题！我就在这里等您|是}},default,
96,{{角色对话|模板结束}},default,
97,,default,
