line_number,content,category,character
1,{{面包屑|命路歧图}},default,
2,"<div class=""linebox"" id=""myViewport"">",default,
3,"<div id=""myContent"">",default,
4,"{{命路歧图|开始|id=fatesAtlasLine|tm1-tm2,tm2-tm3,tm3-tm4,tm4-tm5,tm5-tm6,tm5-tm5am1,tm6-tm7,tm7-tm8,tm8-tm9,tm9-tm9cm1,tm9-tm9cm2,tm9-tm9cm3,tm9-tm9am1,tm9-tm9am2,tm9-tm9am3,tm9am3-tm9am4,tm9-tm9am5}}",default,
5,{{命路歧图|列开始}},default,
6,{{命路歧图|开拓任务|旅进青霄，不速之邀|乘槎驭风仙窟游|告别风雪转霁的贝洛伯格，列车再次驶入星穹深处。<br>少女的心思犹如三月春风飘忽，等闲变却风向。在投出关键一票后，列车即将奔赴下一站：仙舟「罗浮」。<br>不知为何，丹恒坚持留在车上。于是这一次的开拓，只能由你、三月和瓦尔特先生来完成了。|编号=tm1}},content,列车即将奔赴下一站
7,{{命路歧图|列结束}},default,
8,,default,
9,{{命路歧图|列开始}},default,
10,{{命路歧图|开拓任务|行遏流云，身入魔阴|乘槎驭风仙窟游|在救下天舶司的接渡使停云后，你们与她一路同行，试图在魔阴身横行的「流云渡」中找到离开的船只。然而形如虬枝古木的怪异敌人却阻住去路。<br>击败了不知来历的怪物后，停云亲自操舵，将你们渡往安全地带，「星槎海」的中枢。|编号=tm2}},default,
11,{{命路歧图|列结束}},default,
12,,default,
13,{{命路歧图|列开始}},default,
14,{{命路歧图|开拓任务|紫府通谒，将军定策|乘槎驭风仙窟游|司辰宫中，满心以为会获得支持的你们却遭到了驭空的回绝。<br>所幸云骑军将军景元现身定策。但他并未将搜索星核的重任交给你们，而是让你们找到行踪无定的卡芙卡。<br>出得司辰宫，你们暂得片刻休憩，却不知此时此刻，丹恒正在做什么呢？|编号=tm3}},default,
15,{{命路歧图|列结束}},default,
16,,default,
17,{{命路歧图|列开始}},default,
18,{{命路歧图|开拓任务|犬迹追从，谛听狐踪|乘槎驭风仙窟游|一切准备停当，你们即将出发前往「迴星港」——罗浮仙舟的造船重地。在那里，星核猎手邀请你们抵达仙舟的秘密即将揭晓。|编号=tm4}},default,
19,{{命路歧图|列结束}},default,
20,,default,
21,{{命路歧图|列开始}},default,
22,{{命路歧图|开拓任务|迴星周旋，未卜知先|乘槎驭风仙窟游|追踪星核猎手——你们想象着这桩任务的艰巨危险，猜测卡芙卡会准备怎样的诡计和陷阱。她却悠闲自若地现身，告诉你们已等候许久。一切并不如你们所想的那样。|编号=tm5}},default,
23,{{命路歧图|列结束}},default,
24,,default,
25,{{命路歧图|列开始}},default,
26,{{命路歧图|开拓任务|长乐新朋，青鸟候风|乘槎驭风仙窟游|砂金将所有宝石四散一空，最终如愿以偿地令假面愚者花火上钩。向花火再三确认某个重要的线索后，砂金确信自己稳操胜券，向克劳克影视乐园进发……|编号=tm6}},default,
