line_number,content,category,character
1,{{面包屑|命路歧图}},default,
2,"<div class=""linebox"" id=""myViewport"">",default,
3,"<div id=""myContent"">",default,
4,"{{命路歧图|开始|id=fatesAtlasLine|1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-11,11-12,11-13,11-14,11-15,11-16,11-17,16-18,17-19,18-20,19-21,12-22,22-23,22-24,22-25,22-26,25-27,27-28}}",default,
5,{{命路歧图|列开始}},default,
6,{{命路歧图|开拓任务|激「冻」人心的大冒险|于枯索的冬夜里|你的开拓第一站，是名为「雅利洛-VI」的冰雪星球。<br>怀着激动的心情，你将与三月七、丹恒共同踏上这段旅程。|编号=1|主角=是}},default,
7,{{命路歧图|列结束}},default,
8,{{命路歧图|列开始}},default,
9,{{命路歧图|开拓任务|如果在冬夜，一群旅人|于枯索的冬夜里|由三人组成的开拓小分队降落在了雅利洛-VI的地表。<br>你们只找到了无尽的风雪，还有一名不靠谱的蓝头发向导——这里真的有文明存在吗？|编号=2}},default,
10,{{命路歧图|列结束}},default,
11,{{命路歧图|列开始}},default,
12,{{命路歧图|开拓任务|永冬城之夜|于枯索的冬夜里|从银鬃铁卫的口中得知，名为「贝洛伯格」的城市是雅利洛-VI唯一的聚居地，人类文明的最后堡垒。<br>开拓者们在这里会见了贝洛伯格的「大守护者」，随后遭遇了背叛……|编号=3}},default,
13,{{命路歧图|列结束}},default,
14,{{命路歧图|列开始}},default,
15,{{命路歧图|开拓任务|躲得过初一，躲不过十五|于枯索的冬夜里|银鬃铁卫的统领布洛妮娅•兰德奉命逮捕三人。<br>情急之下，你们逃入了遭到裂界侵蚀的商店街，最后被「老朋友」桑博带到了贝洛伯格的下层区。|编号=4}},default,
16,{{命路歧图|列结束}},default,
17,{{命路歧图|列开始}},default,
18,{{命路歧图|开拓任务|捉迷藏|于枯索的冬夜里|你在阵阵眩晕中发觉自己没被五花大绑，而是被安置在某处的床板上，同伴们也失去了踪影。在一番紧张刺激的捉迷藏后，你成功与三月七回合，并准备出发寻找丹恒。|编号=5}},default,
19,{{命路歧图|列结束}},default,
20,{{命路歧图|列开始}},default,
21,{{命路歧图|开拓任务|第八条、也是最后一条规则|于枯索的冬夜里|你们协助丹恒赢下了搏击俱乐部的战斗，并找到了一切事情的罪魁祸首——桑博。<br>你们最好问问他为什么要这样做。|编号=6}},default,
22,{{命路歧图|列结束}},default,
23,{{命路歧图|列开始}},default,
24,{{命路歧图|开拓任务|她等待刀尖已经太久|于枯索的冬夜里|桑博终于提出要将你们引荐给「地火」，可「地火」干部希儿似乎并不领情——除非你们能和她一起解决「地火」眼下遇到的大麻烦。|编号=7}},default,
25,{{命路歧图|列结束}},default,
26,{{命路歧图|列开始}},default,
