line_number,content,category,character
1,{{面包屑|命路歧图}},default,
2,"<div class=""linebox"" id=""myViewport"">",default,
3,"<div id=""myContent"">",default,
4,"{{命路歧图|开始|id=fatesAtlasLine|1-2,2-3,3-4,4-5,5-6,5-7,5-8,5-9,5-10,5-11,5-12,5-13,5-14,5-15,12-16,15-17,16-18}}",default,
5,{{命路歧图|列开始}},default,
6,{{命路歧图|开拓任务|混乱行至深处|今天是昨天的明天|在入侵现场优雅踱步的女人如同一道谜题，她嘲弄着受害者的同时又残酷地将加害者消灭殆尽。<br>通讯里神秘的协助者透露出两人似乎怀抱着某种目的。<br>她们很清楚这个故事的主角并不是自己。<br>那么，准备已经就绪。是时候醒过来了，即将踏上旅途的你。|编号=1}},default,
7,{{命路歧图|列结束}},default,
8,{{命路歧图|列开始}},default,
9,{{命路歧图|开拓任务|漩涡止于中心|今天是昨天的明天|目光从陌生的天花板上移开后，你看着周围的各色「奇物」，脑袋中似乎还残留着一个女人的声音。<br>「当你有机会做出选择的时候，不要让自己后悔。」<br>于是你选择了相信眼前这位名为「三月七」的少女。<br>好了，现在路上有了伴，先离开这里吧。|编号=2}},default,
10,{{命路歧图|列结束}},default,
11,{{命路歧图|列开始}},default,
12,{{命路歧图|开拓任务|宇宙安宁片刻|今天是昨天的明天|先前出手相救的姬子终于登场，她的笃定与从容几乎让你忘了他们也是被卷入这场险境的外来者。<br>如今，连空间站的代理站长艾丝妲都不知道，这场危机是已经过去还是正在进行……|编号=3|主角=是}},default,
13,{{命路歧图|列结束}},default,
14,{{命路歧图|列开始}},default,
15,{{命路歧图|开拓任务|阴影从未离去|今天是昨天的明天|新的危机「末日兽」来袭，而你似乎成为了某种「关键」。<br>想要摆脱这样的困境，让空间站免于毁灭的命运，或许只有前往月台，与列车、与那个被称为「瓦尔特」的男人完成汇合。|编号=4}},default,
16,{{命路歧图|列结束}},default,
17,{{命路歧图|列开始}},default,
18,{{命路歧图|开拓任务|旅途正在继续|今天是昨天的明天|你睁开眼，发现自己仍在空间站。<br>「当你有机会做出选择的时候，不要让自己后悔。」<br>你还未下决心，又或是你心中已经有了决定，只是你还不确定，这么想的是不是只有自己……<br>没关系，你还可以把它藏在心中，听听别人的想法……<br>说不定，你们想的完全一样呢？|编号=5}},default,
19,{{命路歧图|列结束}},default,
20,{{命路歧图|列开始}},default,
21,{{命路歧图|开拓任务|星间流浪|今天是昨天的明天|星穹列车的旅途仍在继续，对它来说你只是暂时同行的一个过客。<br>但是于你而言，这是一个选择，也是一个开始。<br>「今天的列车就逛到这里了。下一站，会去哪里呢？」|编号=6|主角=是}},default,
22,{{命路歧图|同行任务|阴差阳错|劫后新生|阿兰失踪了，你和艾丝妲几经努力，总算找到了他。原来他为了抵抗上司带来的压力，在进行一项秘密修行……<br>没想到一向成熟稳重的阿兰大哥，也会有脆弱的一面。不过，上司是黑塔的话，倒也不奇怪了。|编号=7|角色=艾丝妲、阿兰}},default,
