line_number,content,category,character
1,{{面包屑|命路歧图}},default,
2,"<div class=""linebox"" id=""myViewport"">",default,
3,"<div id=""myContent"">",default,
4,"{{命路歧图|开始|id=fatesAtlasLine|ac1-ac2,ac1-ac3,ac1-ac4,ac1-ac5,ac1-ac6}}",default,
5,{{命路歧图|列开始}},default,
6,{{命路歧图|占位}} <!-- 决斗结局占位 -->,default,
7,{{命路歧图|占位}} <!-- 藿藿结局占位 -->,default,
8,{{命路歧图|冒险任务|初花剑客行|初花习剑录|三月七正式开始了向彦卿、云璃开始学剑之旅，并且得到了一个确切的目标：「在15日后击败斯科特」。<br>时间紧 ，学务重，多亏了有你这样的助教帮助三月七规划日程…没有你，她该怎么办啊？|编号=ac1}},content,并且得到了一个确切的目标
9,{{命路歧图|列结束}},default,
10,,default,
11,{{命路歧图|列开始}},default,
12,{{命路歧图|冒险任务|初花剑客行•剑斗|初花习剑录|三月七用自己掌握的剑技，堂堂正正地战胜了斯科特。决斗的最后，就连斯科特也不得不承认，三月七，真的有两把刷子…啊，不对，是 有两柄剑。|编号=ac2}},default,
13,{{命路歧图|冒险任务|初花剑客行•祓除|初花习剑录|多亏了藿藿的协助，三月七剑术进步了不少…尾巴提出要彻底将斯科特改心，最后斯科特也成为了真正的「孤狼」。<br>这也算是一种洗心 革面，三月七不战而胜。|编号=ac3}},default,
14,{{命路歧图|冒险任务|初花剑客行•辩辞|初花习剑录|多亏了青雀的协助，三月七剑术进步了不少…青雀希望能在开战前和斯科特聊聊，聊完之后斯科特已经彻底丧失了战意。<br>这一次连任何 形式的武斗都没有了，是和平的完全胜利。|编号=ac4}},default,
15,{{命路歧图|冒险任务|初花剑客行•泄火|初花习剑录|多亏了椒丘的协助，三月七剑术进步了不少…椒丘贡献了曜青的灵药，让斯科特在最后的战斗中实力大减。<br>这一招确实是卑鄙，希望斯 科特不要留下太多心理阴影。|编号=ac5}},default,
16,{{命路歧图|冒险任务|初花剑客行•夺主|初花习剑录|多亏了银狼的协助，三月七剑术进步了不少…银狼将普罗米交给三月七，三月七直接控制了公司的机甲。<br>就结果而言，三月七确实战胜 了斯科特，只是这跟剑法毫无关系。|编号=ac6}},default,
17,{{命路歧图|列结束}},default,
18,{{命路歧图|结束}},default,
19,</div>,default,
20,"<div id=""fatesAtlasLine-infocontent"" style=""display: none""><div class=""fatesAtlasLine-infoclose""></div><div class=""fatesAtlasLine-infocontent""></div></div>",default,
21,</div>,default,
22,{{#Widget:FatesAtlas}},default,
