line_number,content,category,character
1,{{面包屑|命路歧图}},default,
2,"<div class=""linebox"" id=""myViewport"">",default,
3,"<div id=""myContent"">",default,
4,"{{命路歧图|开始|id=fatesAtlasLine|tm1-tm1cm1,tm1-tm1cm2,tm1-tm1cm3}}",default,
5,{{命路歧图|列开始}},default,
6,{{命路歧图|开拓任务|安灵布奠，天清路远|劫波渡尽战云收|此次仙舟的开拓之行，终于抵达了尾声。列车上，你与姬子聊起了原本列车计划前往的下一站——盛会之星，匹诺康尼。|编号=tm1}},default,
7,{{命路歧图|列结束}},default,
8,,default,
9,{{命路歧图|列开始}},default,
10,{{命路歧图|占位}} <!-- 主线占位 -->,default,
11,{{命路歧图|同行任务|龙返其乡|无尽形寿|丹恒与白露携手结成了建木封印，并给居心叵测的龙师们一次恰如其分的警告。<br>丹恒究竟是否能找到一直困惑他的答案，仅此一趟旅途还是不够的。|角色=丹恒&bull;饮月、白露|编号=tm1cm1}},default,
12,{{命路歧图|同行任务|全面回忆|无尽形寿|经历了一场惊险刺激记忆宫殿大冒险，三月七终究还是没能找回她的「记忆」。<br>但这段经历本身，已经化作新的「记忆」，成为了她的一部分。|角色=三月七、符玄|编号=tm1cm2}},default,
13,{{命路歧图|同行任务|云无留迹|无尽形寿|一位罪囚归来自首，一位英雄前来会友。不会有人知晓，她手中之剑所指，始终只有自己心头的创痕。|角色=镜流、丹恒、景元、刃|编号=tm1cm3}},default,
14,{{命路歧图|列结束}},default,
15,{{命路歧图|结束}},default,
16,</div>,default,
17,"<div id=""fatesAtlasLine-infocontent"" style=""display: none""><div class=""fatesAtlasLine-infoclose""></div><div class=""fatesAtlasLine-infocontent""></div></div>",default,
18,</div>,default,
19,{{#Widget:FatesAtlas}},default,
