line_number,content,category,character
1,{{面包屑|命路歧图}},default,
2,"<div class=""linebox"" id=""myViewport"">",default,
3,"<div id=""myContent"">",default,
4,"{{命路歧图|开始|id=fatesAtlasLine|1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9-10,9-11,9-12,9-13,9-14}}",default,
5,{{命路歧图|列开始}},default,
6,{{命路歧图|开拓任务|长日入夜行|喧哗与骚动|尽管忆质过敏的体验不甚愉快，你和列车组终究成功抵达了匹诺康尼，只是后者趁你睡着时先行一步办理了入住，只留下一向忠诚的三月七等你醒来。<br>和三月七一起前往「白日梦」酒店前台，同他们会合吧。|编号=1|主角=是}},default,
7,{{命路歧图|列结束}},default,
8,{{命路歧图|列开始}},default,
9,{{命路歧图|开拓任务|那些逐梦的年轻人|喧哗与骚动|你终于捱过了入梦前的一系列神秘遭遇，并且顺利入梦——「黄金的时刻」——这就是你此行的目的地。|编号=2|主角=是}},default,
10,{{命路歧图|列结束}},default,
11,{{命路歧图|列开始}},default,
12,{{命路歧图|开拓任务|无眠之夜|喧哗与骚动|你在梦境贩售店体验了一枚奇怪的梦泡，又救下了一位名为流萤的美少女。为了报答你的恩情，她决定担任你的一日导游。|编号=3}},default,
13,{{命路歧图|列结束}},default,
14,{{命路歧图|列开始}},default,
15,{{命路歧图|开拓任务|黄金年代的故事|喧哗与骚动|你与流萤一同在「黄金的时刻」城区体验了许多有趣的事物。现在，她似乎有话要告诉你……|编号=4|主角=是}},default,
16,{{命路歧图|列结束}},default,
17,{{命路歧图|列开始}},default,
18,{{命路歧图|开拓任务|好兆头，我的朋友|喧哗与骚动|你在匹诺康尼意外遇到了桑博，并跟随他体验了何为「大人的世界」。末了，他给你撂下一段不甚友善的谜语便转身离去，而流萤也不见了踪影。|编号=5}},default,
19,{{命路歧图|列结束}},default,
20,{{命路歧图|列开始}},default,
21,{{命路歧图|开拓任务|夜色名为温柔|喧哗与骚动|你和流萤重归于好，摆平了黄泉遭遇的麻烦，还在她的「秘密据点」梦境边缘听她袒露了心声。现在终于到分别的时候了。|编号=6}},default,
22,{{命路歧图|列结束}},default,
23,{{命路歧图|列开始}},default,
24,{{命路歧图|开拓任务|犹在镜中|喧哗与骚动|你和流萤中了假面愚者的幻术，来到了一片陌生而危险的忆域，并在那里遭遇了暗喻死亡和谋杀的忆域迷因。<br>好消息是，一位穿戴黑纱的美丽忆者救下了你们，带你们返回现实。|编号=7|主角=是}},default,
25,{{命路歧图|列结束}},default,
26,{{命路歧图|列开始}},default,
27,{{命路歧图|开拓任务|倘若在午夜醒来|喧哗与骚动|流萤消失在了「死亡」的翼刃下。这座美梦究竟发生了什么？|编号=8|主角=是}},default,
28,{{命路歧图|列结束}},default,
29,{{命路歧图|列开始}},default,
30,{{命路歧图|开拓任务|是谁杀死了…|喧哗与骚动|黑天鹅「背叛」了你，将你带到公司使节砂金面前，却也令你领教了另一个足以颠覆美梦的事实——知更鸟在你面前化作了泡影。<br>美梦的序曲以一个强有力的休止符作结…好戏即将正式开场了。|编号=9|主角=是}},default,
31,{{命路歧图|列结束}},default,
32,{{命路歧图|列开始}},default,
33,{{命路歧图|占位}},default,
34,{{命路歧图|同行任务|假面双人舞|喧哗与骚动|你在黑天鹅留下的记忆中，深度体验了「花火大人的推理剧场」。<br>你最好别对花火好不容易想出来的诡计挑三拣四，小心她拄杖无时夜叩门。|编号=10|角色=黑天鹅、花火}},default,
35,{{命路歧图|冒险任务2|想象一朵未来的玫瑰|与匹诺康尼的梦相比，柯柯娜的梦想如沧海一粟般脆弱。<br>即便如此，你依然见证了那朵存在于想象之中的玫瑰，它在柯柯娜的梦中盛开，虽易逝而短暂，却依然热烈又芬芳。|编号=11}},default,
36,{{命路歧图|冒险任务2|好人难寻|蒂索克二世不得不从梦中醒来，面对自己的罪与罚。<br>看来，即使躲在梦境之中，也终究有不得不醒来的一天。|编号=12}},default,
37,{{命路歧图|冒险任务2|树海归于谧宁|卡尔德隆•查德威克曾是一位天才科学家，然而他主导研发的「虚数坍缩脉冲」却夺走了千万人的家园和生命。<br>他穷尽余生渴望救赎，却在肉体消亡后的数百年才得到了应有的归宿。|编号=13}},default,
38,{{命路歧图|冒险任务2|银河之星|英年早逝的银河巨星莱斯利•迪恩的身影在黄金的时刻再次显现。<br>但他并非真实的个体，而是由许多无法割舍的念想汇聚而成的幻象。<br>在梦境中，这个幻象不断追寻着自己存在的证据。|编号=14}},default,
39,{{命路歧图|列结束}},default,
40,{{命路歧图|结束}},default,
41,</div>,default,
42,"<div id=""fatesAtlasLine-infocontent"" style=""display: none""><div class=""fatesAtlasLine-infoclose""></div><div class=""fatesAtlasLine-infocontent""></div></div>",default,
43,</div>,default,
44,{{#Widget:FatesAtlas}},default,
