line_number,content,category,character
1,{{面包屑|命路歧图}},default,
2,"<div class=""linebox"" id=""myViewport"">",default,
3,"<div id=""myContent"">",default,
4,"{{命路歧图|开始|id=fatesAtlasLine|1-2,1-3,1-4,1-5,2-10,10-11,3-9,9-11,4-6,6-11,5-7,5-8,8-11,11-12,12-13,13-14,14-15,14-16}}",default,
5,{{命路歧图|列开始}},default,
6,{{命路歧图|占位}},default,
7,{{命路歧图|占位}},default,
8,{{命路歧图|占位}},default,
9,{{命路歧图|开拓任务|火车大劫案|在我们的时代里|巡海游侠波提欧乍看来者不善，原来只是为了在与星穹列车达成合作前验明身份。在看到列车持有仙舟联盟赠予的「巡猎」信物后，他展示了自己的诚意，并道出一个令人不安的事实：「虚无」的阴影正在美梦中弥漫，而列车组很可能处于危险之中。|编号=1}},content,并道出一个令人不安的事实
10,{{命路歧图|列结束}},default,
11,{{命路歧图|列开始}},default,
12,{{命路歧图|角色|知更鸟|知更鸟：鸟，孤儿和愚人|编号=2}},content,知更鸟
13,{{命路歧图|角色|波提欧|波提欧：折箭为盟|编号=3}},content,波提欧
14,{{命路歧图|角色|知更鸟|知更鸟？：愚者总按两遍铃|编号=4}},content,知更鸟
15,{{命路歧图|角色|开拓者|开拓者：开拓记事|编号=5}},content,开拓者
16,{{命路歧图|列结束}},default,
17,{{命路歧图|列开始}},default,
18,{{命路歧图|占位}},default,
19,{{命路歧图|占位}},default,
20,{{命路歧图|开拓任务|愚者总按两遍铃|在我们的时代里|匹诺康尼因影视乐园骚动一时陷入混乱，而受某人委托扮作知更鸟的花火正在街头安抚群众，确保谐乐大典有序进行——顺便趁机派发她用途不明的小礼物。|编号=6}},default,
21,{{命路歧图|占位}},default,
22,{{命路歧图|列结束}},default,
23,{{命路歧图|列开始}},default,
24,{{命路歧图|占位}},default,
25,{{命路歧图|占位}},default,
26,{{命路歧图|占位}},default,
27,{{命路歧图|开拓任务|小城畸人|在我们的时代里|流萤向你解释了此前她种种不寻常举动背后的深层原因，并指引你下潜至原初忆域中的聚落「流梦礁」。你与列车组重新会合，四下探索，更在这里遇到了失踪已久的银河巨星知更鸟。|编号=7|主角=是}},default,
28,{{命路歧图|列结束}},default,
29,{{命路歧图|列开始}},default,
30,{{命路歧图|占位}},default,
31,{{命路歧图|占位}},default,
32,{{命路歧图|占位}},default,
33,{{命路歧图|开拓任务|国民公敌|在我们的时代里|虚构史学家加拉赫将众人聚集一处，道出了美梦崩溃的真相：家族中的叛徒确有其人，而此人长久以来借助星核控制梦境，更是准备利用此次谐乐大典颠覆匹诺康尼。众人就处置星核一事达成共识，「钟表匠」前无名客米哈伊尔还为列车组留下了宝贵的遗产——可当你们做好受领的准备时，才发现遗产早已不知所踪。|编号=8|主角=是}},content,道出了美梦崩溃的真相
34,{{命路歧图|列结束}},default,
35,{{命路歧图|列开始}},default,
36,{{命路歧图|占位}},default,
