line_number,content,category,character
1,{{面包屑|命路歧图}},default,
2,"<div class=""linebox"" id=""myViewport"">",default,
3,"<div id=""myContent"">",default,
4,"{{命路歧图|开始|id=fatesAtlasLine|tc1-tc2,tc2-tc3,tc3-tc4,tc4-tc5,tc5-ch1,tc5-ch2,ch1-ch1tc6,ch2-ch2tc6,ch1tc6-tc7,ch2tc6-tc7,tc7-tc7cm1}}",default,
5,{{命路歧图|列开始}},default,
6,{{命路歧图|占位}} <!-- 主线三月七视角占位 -->,default,
7,{{命路歧图|开拓续闻|故客重游，演武天舟|明霄竞武试锋芒•上|在尚未踏入下一站旅程前，列车接到了来自罗浮仙舟的通讯，景元向暂无去向的众人发出邀请，参加演武仪典。|编号=tc1}},default,
8,{{命路歧图|列结束}},default,
9,,default,
10,{{命路歧图|列开始}},default,
11,{{命路歧图|占位}} <!-- 主线三月七视角占位 -->,default,
12,{{命路歧图|开拓续闻|衔令来使，真意难识|明霄竞武试锋芒•上|在彦卿的陪同下，你们终于见到了景元，得知罗浮仙舟在建木灾异之后重开演武仪典的用意，更得知了来自朱明与曜青两座仙舟的将军前来观礼的消息。<br>所谓来者不善，大概如是了。|编号=tc2}},default,
13,{{命路歧图|列结束}},default,
14,,default,
15,{{命路歧图|列开始}},default,
16,{{命路歧图|占位}} <!-- 主线三月七视角占位 -->,default,
17,{{命路歧图|开拓续闻|狴犴吠狂，妙语生香|明霄竞武试锋芒•上|演武仪典召开之际，罗浮仙舟成了诸多是非与矛盾的交集处，除却各怀心思的客人，还有遭遇步离人袭击被迫停靠的公司舰船。<br>为了解决与公司的纠纷，你们陪同彦卿抵达工造司。|编号=tc3}},default,
18,{{命路歧图|列结束}},default,
19,,default,
20,{{命路歧图|列开始}},default,
21,{{命路歧图|占位}} <!-- 主线三月七视角占位 -->,default,
22,{{命路歧图|开拓续闻|锷击刃鸣，止戈罢兵|明霄竞武试锋芒•上|在丹鼎司新任司鼎的斡旋下，你们顺利打发了来自公司专员的责难，随她一同前往丹鼎司小叙。但这场未期的谈话却再起波折，与彦卿交锋的少女剑客早已等候多时。|编号=tc4}},default,
23,{{命路歧图|列结束}},default,
24,,default,
25,{{命路歧图|列开始}},default,
26,{{命路歧图|占位}} <!-- 主线三月七视角占位 -->,default,
27,{{命路歧图|开拓续闻|神锋有归，众议难违|明霄竞武试锋芒•上|神策府中，景元邀请你们与怀炎将军一番恳谈，并剖陈曜青与朱明将军的来意。<br>此刻你们意识到，在解决建木危机的同时，星穹列车已然进入了仙舟联盟的视野之中。令你们颇为意外的，则是怀炎将军那若有似无，推波助澜的态度。|编号=tc5}},default,
28,{{命路歧图|列结束}},default,
29,,default,
30,{{命路歧图|列开始}},default,
31,{{命路歧图|角色|三月七•巡猎|三月七：屯蒙御寇|编号=ch1}},content,三月七
32,{{命路歧图|角色|开拓者|开拓者：开拓记事|编号=ch2}},content,开拓者
33,{{命路歧图|列结束}},default,
34,,default,
35,{{命路歧图|列开始}},default,
36,{{命路歧图|开拓续闻|授剑传行，腾然流星|明霄竞武试锋芒•上|在怀炎半是玩笑、半是试探的邀请下，三月七意外得到了登上演武仪典的机会。受学于罗浮与朱明两大将军的高足，有机会一窥仙舟剑术的堂奥，三月真是前途无量、可喜可贺啊。|编号=ch1tc6}},default,
37,{{命路歧图|列结束}},default,
38,,default,
39,{{命路歧图|列开始}},default,
40,{{命路歧图|占位}} <!-- 主线三月七视角占位 -->,default,
41,{{命路歧图|开拓续闻|诘辩无愧，折狱论非|明霄竞武试锋芒•上|按照飞霄的要求，你们踏入幽囚狱留下证词。而她派出的曜青信使将自罗浮仙舟接走关押在此许久的步离人首领，呼雷。<br>深入幽囚狱中，你们渐渐察觉到个中之事的诡谲。|编号=ch2tc6}},default,
42,{{命路歧图|列结束}},default,
43,,default,
44,{{命路歧图|列开始}},default,
45,{{命路歧图|占位}} <!-- 主线三月七视角占位 -->,default,
46,{{命路歧图|开拓续闻|狼戾亡命，群凶未定|明霄竞武试锋芒•上|在局外人的操弄之下，罗浮仙舟羁押许久的巨恶，步离人战首呼雷最终脱出牢笼大开杀戒。此刻幽囚狱中的局势危如累卵，你们唯一能做的，只有在他逃出此间前，关上幽囚狱的大门。|编号=tc7}},default,
47,{{命路歧图|列结束}},default,
48,,default,
49,{{命路歧图|列开始}},default,
50,{{命路歧图|占位}} <!-- 主线三月七视角占位 -->,default,
51,{{命路歧图|占位}} <!-- 主线开拓者视角占位 -->,default,
52,{{命路歧图|同行任务|铸剑为犁|无尽形寿|远道而来的卡勒瓦拉使团带回了仙舟的宝剑孤云，却被云璃一眼识出那是柄「魔剑」。任性的小姑娘誓要熔毁魔剑未遂，却被指控为偷剑人。<br>借助孤云讲述的无名剑士经历，云璃重新审视了自己，审视了魔剑，并有所改变。|角色=云璃|编号=tc7cm1}},default,
53,{{命路歧图|列结束}},default,
54,{{命路歧图|结束}},default,
55,</div>,default,
56,"<div id=""fatesAtlasLine-infocontent"" style=""display: none""><div class=""fatesAtlasLine-infoclose""></div><div class=""fatesAtlasLine-infocontent""></div></div>",default,
57,</div>,default,
58,{{#Widget:FatesAtlas}},default,
