line_number,content,category,character
1,{{面包屑|命路歧图}},default,
2,"<div class=""linebox"" id=""myViewport"">",default,
3,"<div id=""myContent"">",default,
4,"{{命路歧图|开始|id=fatesAtlasLine|tc1-js1,tc1-js2,tc1-js3,tc1-js4,tc1-js5,tc1-js6,js1-js1tc1,js2-js2tc1,js3-js3tc1,js3tc1-js3tc2,js3tc2-js3tc3,js4-js4tc1,js5-js5tc1,js5tc1-js5tc2,js6-js6tc1,js6tc1-js6tc2,js6tc2-js6tc3,js1tc1-tc2,js2tc1-tc2,js3tc3-tc2,js4tc1-tc2,js5tc2-tc2,js6tc3-tc2}}",default,
5,{{命路歧图|列开始}},default,
6,{{命路歧图|占位}}<!--云璃-->,default,
7,{{命路歧图|占位}}<!--飞霄-->,default,
8,{{命路歧图|占位}}<!--三月七-->,default,
9,{{命路歧图|占位}}<!--椒丘-->,default,
10,{{命路歧图|占位}}<!--灵砂-->,default,
11,{{命路歧图|开拓续闻|烽举烟传，枕弧待战|明霄竞武试锋芒•下|步离重犯呼雷挟持曜青仙舟的使节破狱出逃，令「演武仪典」岌岌可危。神策府中，三月与云璃正聆听怀炎将军剖析利害；而彦卿则焦急等候着猎狼的指示……|编号=tc1}}<!---开拓者--->,default,
12,{{命路歧图|列结束}},default,
13,{{命路歧图|列开始}},default,
14,{{命路歧图|角色|云璃|云璃：猎野围城|编号=js1}},content,云璃
15,{{命路歧图|角色|飞霄|飞霄：矢射天狼|编号=js2}},content,飞霄
16,{{命路歧图|角色|三月七•巡猎|三月七：猎野围城|编号=js3}},content,三月七
17,{{命路歧图|角色|椒丘|椒丘：人莫予毒|编号=js4}},content,椒丘
18,{{命路歧图|角色|灵砂|灵砂：无妄之药|编号=js5}},content,灵砂
19,{{命路歧图|角色|开拓者|开拓者：开拓记事|编号=js6}},content,开拓者
20,{{命路歧图|列结束}},default,
21,{{命路歧图|列开始}},default,
22,{{命路歧图|占位}}<!--云璃-->,default,
23,{{命路歧图|占位}}<!--飞霄-->,default,
24,{{命路歧图|占位}}<!--三月七-->,default,
25,{{命路歧图|占位}}<!--椒丘-->,default,
26,{{命路歧图|开拓续闻|缕析条分，故事重问|明霄竞武试锋芒•下|幽囚狱中，神策将军携丹恒与灵砂驾临探查劫狱之事的真相，从群狼遗留的蛛丝马迹间，罗浮仙舟与呼雷的恩怨再度被提起。|编号=js5tc1}}<!--灵砂-->,default,
27,{{命路歧图|占位}}<!---开拓者--->,default,
28,{{命路歧图|列结束}},default,
29,{{命路歧图|列开始}},default,
30,{{命路歧图|占位}}<!--云璃-->,default,
31,{{命路歧图|占位}}<!--飞霄-->,default,
32,{{命路歧图|占位}}<!--三月七-->,default,
33,{{命路歧图|开拓续闻|刀俎横陈，掌中孤魂|明霄竞武试锋芒•下|落入呼雷狼爪，椒丘犹如俎上块肉，在劫难逃。除却自保之外，他仍有想要自呼雷身上获得的答案。|编号=js4tc1}}<!--椒丘-->,default,
34,{{命路歧图|占位}}<!--灵砂-->,default,
