line_number,content,category,character
1,{{面包屑|命路歧图}},default,
2,"<div class=""linebox"" id=""myViewport"">",default,
3,"<div id=""myContent"">",default,
4,"{{命路歧图|开始|id=fatesAtlasLine|am1-am2,am2-am3,am3-am4,am4-am5,am5-am6}}",default,
5,{{命路歧图|列开始}},default,
6,{{命路歧图|冒险任务|启程！以太战线|星际决胜庆典|雅利洛债务危机告一段落后，一款名叫《以太战线》的游戏席卷了贝洛伯格的手机市场。<br>在公司员工维尔德的强烈推荐下，你和三月七完成了以太灵决斗的初体验，并决心向冠军之路发起挑战。|编号=am1}},default,
7,{{命路歧图|列结束}},default,
8,,default,
9,{{命路歧图|列开始}},default,
10,{{命路歧图|冒险任务|出发！残响回廊|星际决胜庆典|为了获得挑战冠军的资格，你们必须先完成所有「决胜乐园」的试炼。<br>你们通关了残响回廊的决胜乐园，取得了希露瓦与佩拉的资格徽章。|主角=是|编号=am2}},default,
11,{{命路歧图|列结束}},default,
12,,default,
13,{{命路歧图|列开始}},default,
14,{{命路歧图|冒险任务|前进！流云渡|星际决胜庆典|为了获得挑战冠军的资格，你们必须先完成所有「决胜乐园」的试炼。<br>你们通关了流云渡的决胜乐园，取得了公输先生的资格徽章。|编号=am3}},default,
15,{{命路歧图|列结束}},default,
16,,default,
17,{{命路歧图|列开始}},default,
18,{{命路歧图|冒险任务|智斗！空间站「黑塔」|星际决胜庆典|为了获得挑战冠军的资格，你们必须先完成所有「决胜乐园」的试炼。<br>你们通关了空间站「黑塔」的决胜乐园，取得了黑塔的资格徽章。|主角=是|编号=am4}},default,
19,{{命路歧图|列结束}},default,
20,,default,
21,{{命路歧图|列开始}},default,
22,{{命路歧图|冒险任务|激战！大矿区|星际决胜庆典|为了获得挑战冠军的资格，你们必须先完成所有「决胜乐园」的试炼。<br>你们通关了大矿区的决胜乐园，取得了乔瓦尼的资格徽章。|主角=是|编号=am5}},default,
23,{{命路歧图|列结束}},default,
24,,default,
25,{{命路歧图|列开始}},default,
26,{{命路歧图|冒险任务|决胜！星际庆典|星际决胜庆典|观众们的热情已达巅峰。天空为鼓，大地也随之震颤。你踏上舞台，准备迎接你的冠军之战。<br>击败所有对手后，你在永冬岭与那位「神秘高手」展开了真正的传奇对决。<br>最终，你夺得冠军，彻底征服了这款游戏。|主角=是|编号=am6}},default,
27,{{命路歧图|列结束}},default,
28,{{命路歧图|结束}},default,
29,</div>,default,
30,"<div id=""fatesAtlasLine-infocontent"" style=""display: none""><div class=""fatesAtlasLine-infoclose""></div><div class=""fatesAtlasLine-infocontent""></div></div>",default,
31,</div>,default,
32,{{#Widget:FatesAtlas}},default,
