line_number,content,category,character
1,{{面包屑}},default,
2,{{多义词|商店、NPC商店}},default,
3,{{系统相关导航}},default,
4,==推荐==,default,
5,===列车补给凭证===,default,
6,{| class=wikitable,default,
7,! 名称 !! 价格 !! 说明,default,
8,|-,default,
9,| {{图标|列车补给凭证}} || ¥30 || 购买即可获得{{图标|古老梦华|300}}，30日内每日赠送{{图标|星琼|90}}<br>(30日总计可获得{{图标|星琼|2700}}与{{图标|古老梦华|300}},default,
10,|},default,
11,详细规则说明：,content,详细规则说明
12,*每次购买列车补给凭证，可立即获得{{图标|古老梦华|300}}，同时使列车补给凭证生效时间延长30日。,default,
13,*在生效期间，每日登录游戏可领取{{图标|星琼|90}}，每日凌晨4点重置【GMT+8】。,default,
14,*在生效期间，因为未登录游戏而未领取的星琼，不会返还。,default,
15,<br>,default,
16,*列车补给凭证生效时间小于170天时，才可继续购买并正常增加生效时长；,default,
17,*当生效时间大于等于179天时，将无法进行列车补给凭证的购买。,default,
18,*{{颜色|描述|'''如果因特殊情况导致重复购买，总生效时间将无法进行累加，并将直接返还{{图标|古老梦华|330}}。'''}},default,
19,,default,
20,==星芒兑换==,default,
21,*'''每月一日4:00刷新''',default,
22,{| class=wikitable,default,
23,|+角色轮换顺序,default,
24,|-,default,
25,!1月!!2月!!3月!!4月!!5月!!6月!!7月!!8月!!9月!!10月!!11月!!12月,default,
26,|-,default,
27,|{{图标|三月七}}<br>{{图标|停云}},default,
28,|{{图标|佩拉}}<br>{{图标|虎克}},default,
29,|{{图标|青雀}}<br>{{图标|素裳}},default,
30,|{{图标|艾丝妲}}<br>{{图标|阿兰}},default,
31,|{{图标|丹恒}}<br>{{图标|希露瓦}},default,
32,|{{图标|娜塔莎}}<br>{{图标|桑博}},default,
33,|{{图标|三月七}}<br>{{图标|停云}},default,
34,|{{图标|佩拉}}<br>{{图标|虎克}},default,
35,|{{图标|青雀}}<br>{{图标|素裳}},default,
36,|{{图标|艾丝妲}}<br>{{图标|阿兰}},default,
37,|{{图标|丹恒}}<br>{{图标|希露瓦}},default,
38,|{{图标|娜塔莎}}<br>{{图标|桑博}},default,
39,|},default,
40,{{#subobject:星芒兑换数据,default,
41,"|角色兑换={{#switch:{{LOCALMONTH1}}|4|10=艾丝妲,阿兰|5|11=丹恒,希露瓦|6|12=娜塔莎,桑博|7|1=三月七,停云|8|2=佩拉,虎克|9|3=青雀,素裳}}|+sep=,}}",default,
42,"{| class=""wikitable sortable mw""",default,
43,|-,default,
44,! 名称 !! 数量 !! 价格 !! 限购,default,
45,|-,default,
46,| {{图标|星轨专票}} || 1 || {{图标|未熄的星芒|20}} || 无限,default,
47,|-,default,
48,| {{图标|星轨通票}} || 1 || {{图标|未熄的星芒|20}} || 无限,default,
49,|-,default,
50,| {{图标|命运的足迹}} || 1 || {{图标|未熄的星芒|50}} || 无限,default,
51,|-,default,
52,| {{图标|{{#switch:{{LOCALMONTH1}}|4|10=艾丝妲|5|11=丹恒|6|12=娜塔莎|7|1=三月七|8|2=佩拉|3|9=青雀}}}} || 1 || {{图标|未熄的星芒|140}} || 1,default,
53,|-,default,
54,| {{图标|{{#switch:{{LOCALMONTH1}}|4|10=阿兰|5|11=希露瓦|6|12=桑博|7|1=停云|8|2=虎克|3|9=素裳}}}} || 1 || {{图标|未熄的星芒|140}} || 1,default,
55,|-,default,
56,| {{图标|银河铁道之夜}} || 1 ||{{图标|未熄的星芒|600}} || 1,default,
57,|-,default,
58,| {{图标|无可取代的东西}} || 1 ||{{图标|未熄的星芒|600}} || 1,default,
59,|-,default,
60,| {{图标|但战斗还未结束}} || 1 ||{{图标|未熄的星芒|600}} || 1,default,
61,|-,default,
62,| {{图标|以世界之名}} || 1 ||{{图标|未熄的星芒|600}} || 1,default,
63,|-,default,
64,| {{图标|制胜的瞬间}} || 1 ||{{图标|未熄的星芒|600}} || 1,default,
65,|-,default,
66,| {{图标|如泥酣眠}} || 1 ||{{图标|未熄的星芒|600}} || 1,default,
67,|-,default,
68,| {{图标|时节不居}} || 1 || {{图标|未熄的星芒|600}} || 1,default,
69,|},default,
70,,default,
71,==余烬兑换==,default,
72,*'''每月一日4:00刷新''',default,
73,"{| class=""wikitable sortable mw""",default,
74,|-,default,
75,! 名称 !! 数量 !! 价格 !! 限购 !! 开拓等级,default,
76,|-,default,
77,| {{图标|星轨专票}} || 1 || {{图标|未熄的余烬|90}} || 5 ||,default,
78,|-,default,
79,| {{图标|星轨通票}} || 1 || {{图标|未熄的余烬|90}} || 5 ||,default,
80,|-,default,
81,| {{图标|命运的足迹}} || 1 || {{图标|未熄的余烬|60}} || 2 || 40,default,
82,|-,default,
83,| {{图标|冒险记录}} || 2 || {{图标|未熄的余烬|6}} || 80 ||,default,
84,|-,default,
85,| {{图标|凝缩以太}} || 1 || {{图标|未熄的余烬|5}} || 80 ||,default,
86,|-,default,
87,| {{图标|遗失碎金}} || 2 || {{图标|未熄的余烬|10}} || 80 ||,default,
88,|-,default,
89,| {{图标|信用点}} || 10000 || {{图标|未熄的余烬|12}} || 80 ||,default,
90,|-,default,
91,| {{图标|无生残刃}} || 1 || {{图标|未熄的余烬|18}} || 30 || 30,default,
92,|-,default,
93,| {{图标|屠魔之矢}} || 1 || {{图标|未熄的余烬|18}} || 30 || 30,default,
94,|-,default,
95,| {{图标|启迪之钥}} || 1 || {{图标|未熄的余烬|18}} || 30 || 30,default,
96,|-,default,
97,| {{图标|寒铁的誓言}} || 1 || {{图标|未熄的余烬|18}} || 30 || 30,default,
98,|-,default,
99,| {{图标|虚空黑曜}} || 1 || {{图标|未熄的余烬|18}} || 30 || 30,default,
100,|-,default,
101,| {{图标|家族颂歌}} || 1 || {{图标|未熄的余烬|18}} || 30 || 30,default,
102,|-,default,
103,| {{图标|生命之芽}} || 1 || {{图标|未熄的余烬|18}} || 30 || 30,default,
104,|-,default,
105,| {{图标|狼毒锯牙}} || 1 || {{图标|未熄的余烬|18}} || 30 || 30,default,
106,|-,default,
107,| {{图标|命定死因}} || 1 || {{图标|未熄的余烬|18}} || 30 || 30,default,
108,|-,default,
109,| {{图标|动态线稿}} || 1 || {{图标|未熄的余烬|18}} || 30 || 30,default,
110,|-,default,
111,| {{图标|流星棱晶}} || 1 || {{图标|未熄的余烬|18}} || 30 || 30,default,
112,|-,default,
113,| {{图标|星火之精}} || 1 || {{图标|未熄的余烬|18}} || 30 || 30,default,
114,|-,default,
115,| {{图标|空际小节}} || 1 || {{图标|未熄的余烬|18}} || 30 || 30,default,
116,|-,default,
117,| {{图标|滋长花蜜}} || 1 || {{图标|未熄的余烬|18}} || 30 || 30,default,
118,|-,default,
119,| {{图标|破碎残刃}} || 2 || {{图标|未熄的余烬|12}} || 20 || 30,default,
120,|-,default,
121,| {{图标|猎兽之矢}} || 2 || {{图标|未熄的余烬|12}} || 20 || 30,default,
122,|-,default,
123,| {{图标|灵感之钥}} || 2 || {{图标|未熄的余烬|12}} || 20 || 30,default,
124,|-,default,
125,| {{图标|青铜的执着}} || 2 || {{图标|未熄的余烬|12}} || 20 || 30,default,
126,|-,default,
127,| {{图标|黯淡黑曜}} || 2 || {{图标|未熄的余烬|12}} || 20 || 30,default,
