line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=外邦为何争闹？,default,
4,|任务地区=匹诺康尼,default,
5,|任务类型=开拓任务,default,
6,|所属版本=2.1,default,
7,|任务描述=加拉赫示意各位择地继续讨论。他将你们带到了「惊梦酒吧」，浮华美梦中一处毫不起眼的清冷角落。,default,
8,|奖励={{图标|里程|600}}{{图标|星琼|80}}{{图标|漫游指南|5}}{{图标|提纯以太|5}}{{图标|金表钞|300}}{{图标|《假如醒于午夜》|1}}{{图标|信用点|90000}},default,
9,|任务条件=完成任务[[人间天堂]],default,
10,|开放等级=34,default,
11,|相关成就=通往群星的轨道#烈酒一滴,default,
12,|相关道具=调饮材料：经典苏乐达、调饮材料：孤注一掷、调饮材料：噼咔白葡萄汽水、调饮材料：恒久忍耐、调饮材料：美梦糖浆、调饮材料：展望美好未来、,content,调饮材料
13,|相关书籍=,default,
14,|出场人物=加拉赫、姬子、三月七、瓦尔特、舒翁、艾米绮,default,
15,|系列任务=鸽群中的猫,default,
16,|任务编号=06,default,
17,|前置任务=*[[人间天堂]],default,
18,|后续任务=*[[泄密的心]],default,
19,|任务流程=*前往惊梦酒吧,default,
20,*收集调饮用的材料,default,
21,*调查骚动,default,
22,*对艾米绮使用「钟表把戏」,default,
23,*（可选）继续收集调饮用的材料,default,
24,*与加拉赫交谈，开始调饮,default,
25,*进入克劳克影视乐园,default,
26,}},default,
27,,default,
28,==剧情内容==,default,
29,=== 前往惊梦酒吧 ===,default,
30,{{任务描述|加拉赫示意各位择地继续讨论。他将你们带到了「惊梦酒吧」，浮华美梦中一处毫不起眼的清冷角落。|匹诺康尼-「白日梦」酒店-梦境}},default,
31,*？？？：加拉赫，什么风把你给吹来了？,content,
32,*加拉赫：几位老朋友找上门。现在有空吗，舒翁？,content,加拉赫
33,*舒翁：我都空了一天啦。各位，欢迎光临「惊梦酒吧」——,content,舒翁
34,*舒翁：酒水单上的什么都卖，唯独苏乐达不卖，这里没有那种无聊的饮料；酒吧里的什么都不卖，唯独快乐能购买，这里只愿你能够开怀大笑。,content,舒翁
35,*舒翁：想喝点什么？我来准备。,content,舒翁
36,*三月七：快看，开拓者，是个好帅气的大姐姐——和希露瓦同一款哎！,content,三月七
37,{{剧情选项,default,
38,|选项1=确实帅。,option,开拓者
39,|选项2=就是本人。,option,开拓者
40,}},default,
41,*舒翁：希露瓦是谁？介绍给我认识认识呗。,content,舒翁
42,*三月七：呀，被人家听到啦……,content,三月七
43,*加拉赫：别逗他们了，我的好酒保。不劳烦你，今天我来露一手。,content,加拉赫
44,*加拉赫：年纪大了，再不复健，怕是连当年吃饭的手艺都要忘咯。调饮用的原材料呢，你放哪儿了？,content,加拉赫
45,*舒翁：喏，就在柜台下面。几位客人远道而来，你不打算弄点特调饮品么？,content,舒翁
46,*加拉赫：正有此意。朋友们，帮我做件事——{{颜色|描述1|在酒吧里四处转转，把喜欢的材料带回来吧}}。,content,加拉赫
47,*加拉赫：这案子估计得谈上很久，我来为各位准备些合适的饮品——量身定制，不含酒精。,content,加拉赫
48,*三月七：酒吧里？能用的材料不都在柜台上吗？,content,三月七
49,*舒翁：这里是梦境，可爱的小姐，只要你想，任何东西都可以下咽，安逸、饥饿、迷茫、厌倦…应有尽有，俯拾皆是。,content,舒翁
50,*三月七：她管我叫可爱的小姐哎…！,content,三月七
51,*加拉赫：即便在现实中，调饮也不只是酒水和食材的混合，调饮师会捕捉吧台上的氛围，注重手法与故事的结合，再加入一点小小的神秘和期待……,content,加拉赫
52,*舒翁：才能和顾客一同调制出每个人人生的风味。,content,舒翁
53,*加拉赫：换句话说——喝到什么都看命。所以别想太多，犹豫不决是享受的大忌。,content,加拉赫
54,{{折叠|标题=额外对话（舒翁）|内容=,default,
55,*舒翁：别小看匹诺康尼的调饮师，尤其是加拉赫。这家伙八成会点魔法…无论顾客的需求多么刁钻，他都能给你调出恰到好处的滋味。,content,舒翁
56,*舒翁：机会难得，你们可要给这个老家伙出点难题啊。,content,舒翁
57,|折叠=是}},default,
58,{{折叠|标题=额外对话（加拉赫）|内容=,default,
59,*加拉赫：说了这么多，其实调饮远没有你想的那么复杂，挑选喜欢的材料，再全部丢进杯子里拌匀，就这么简单。,content,加拉赫
60,*加拉赫：在酒吧里四处转转，把喜欢的材料带回来，决定好了就跟我说吧。,content,加拉赫
61,{{剧情选项|选项1=那我再去找找。|图标1=退出}},default,
62,*加拉赫：去吧，朋友。相信你会有更多收获。,content,加拉赫
63,|折叠=是}},default,
64,,default,
65,=== 收集调饮用的材料 ===,default,
66,{{任务描述|加拉赫示意各位择地继续讨论。他将你们带到了「惊梦酒吧」，浮华美梦中一处毫不起眼的清冷角落。考虑到案情复杂，他决定浅露一手，调制特饮款待各位，以免交涉过程过于冗长——要是接下来的二十分钟你都将在听故事中度过，没有任何操作，那就没意思了。<br>你可以在惊梦酒吧各处寻找调饮用的原材料，加拉赫会用神秘的魔法将它们完美调和。|匹诺康尼-「白日梦」酒店-梦境}},default,
67,:{{颜色|灰|调查桌上的苏乐达}},default,
68,*三月七：是苏乐达！那姐姐不是说店里不卖这个嘛？,content,三月七
69,*三月七：——我摇！嗯，气还很足，保质期也很安全！,content,三月七
70,{{剧情选项,default,
71,|选项1=或许是其他人带过来的。,option,开拓者
72,|剧情1=*三月七：有可能。这东西随处可见，有人随手拿进来一瓶也不稀奇。,branch_content,三月七
73,|选项2=或许是摆在这做装饰的。,option,开拓者
74,|剧情2=*三月七：也许吧。匹诺康尼的经典饮品，酒吧里少了它确实有点怪怪的。,branch_content,三月七
75,|选项3=别，你摇过我们就用不了了。,option,开拓者
76,|剧情3=*三月七：啊！我…没、没事，多放一会儿就好了…吧。,branch_content,三月七
77,}},default,
78,*三月七：为什么这间酒吧不卖苏乐达呢，是有什么隐情吗？,content,三月七
79,*姬子：是调饮师的矜持吧。如果来这的客人还能点到外面随处可见的饮料，就太没意思了。我在冲咖啡时也会有这样的想法。,content,姬子
80,*三月七：呃…哈哈，姬子姐姐说得对。,content,三月七
81,:{{颜色|描述|获得物品{{图标|调饮材料：经典苏乐达}}}},content,调饮材料
82,----,default,
